Number of reads: 315202
Number of reads within tile: 2570 (0.82%)
Distance	Count
1	19
2	19
3	322
4	437
5	171
6	37
7	21
8	5
9	4
10	4
11	2
12	2
13	1
14	1
15	2
22	2
26	2
28	1
36	1
38	1
42	2
44	2
45	1
47	1
53	1
54	1
63	1
65	1
70	1
72	1
81	1
88	1
89	1
90	1
93	3
94	2
107	1
126	1
129	1
131	1
132	1
138	1
141	1
166	1
183	1
189	1
194	1
197	1
205	1
207	1
212	1
213	1
231	1
255	1
259	1
284	1
287	1
289	1
304	1
326	1
379	1
400	1
423	1
438	1
463	1
540	1
558	1
578	1
580	1
586	1
600	1
613	1
628	1
632	1
636	1
646	1
674	1
694	1
768	1
770	1
786	1
790	1
804	1
833	1
846	1
850	1
890	1
909	1
994	1
1023	1
1025	1
1067	1
1068	1
1076	1
1091	1
1137	1
1166	1
1170	1
1196	1
1245	1
1269	1
1280	1
1281	1
1299	1
1311	1
1314	1
1320	1
1358	2
1363	1
1378	1
1388	1
1425	1
1433	1
1499	1
1536	1
1538	1
1583	1
1587	1
1598	1
1626	1
1729	1
1763	1
1782	1
1790	1
1805	1
1844	1
1845	1
1848	1
1863	1
1875	1
1890	1
1895	2
1933	1
1935	1
1947	1
1951	1
1978	2
1983	1
1998	1
2004	1
2021	1
2024	1
2054	1
2064	2
2072	1
2078	1
2083	1
2110	1
2112	1
2116	1
2144	1
2147	1
2161	1
2216	1
2289	1
2303	1
2306	1
2324	1
2362	1
2467	1
2490	1
2502	1
2532	1
2538	1
2543	1
2560	1
2562	1
2582	1
2606	1
2615	1
2645	1
2648	1
2658	1
2671	1
2690	1
2691	1
2719	1
2762	1
2780	1
2783	1
2797	1
2801	1
2905	1
2915	1
2935	1
2937	1
2964	1
2978	1
2986	1
2989	1
3006	2
3015	1
3043	1
3053	1
3076	1
3116	1
3130	1
3153	1
3182	1
3193	1
3204	1
3226	1
3270	1
3277	1
3285	1
3297	1
3301	1
3331	1
3340	1
3344	1
3348	1
3355	1
3442	1
3443	1
3478	1
3481	1
3573	1
3583	1
3591	1
3602	1
3768	1
3830	2
3884	1
3892	1
3898	1
3924	1
4029	1
4070	1
4089	1
4091	1
4113	1
4433	1
4590	1
4591	1
4637	1
4654	1
4724	1
4788	1
5028	1
5034	1
Size	Count
2	77932
3	478
4	56
5	11
6	4
