## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --TAG_DUPLICATE_SET_MEMBERS true --INPUT aviti_hq_OPM2.chr20.bam --OUTPUT dups/aviti_hq_OPM2.chr20.bam --METRICS_FILE dups/aviti_hq_OPM2.chr20.bam.metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 10 16:08:30 GMT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
OPM2	31319	12540926	144300	31319	5269	67319	1267	0.005571	1186113834

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000101	12289181	0	12290436
2.0	1.989683	66724	1265	65481
3.0	2.968857	235	1	223
4.0	3.937732	35	0	35
5.0	4.896418	5	0	5
6.0	5.845021	0	0	0
7.0	6.783647	0	0	0
8.0	7.712401	0	0	0
9.0	8.631387	0	0	0
10.0	9.540707	0	0	0
11.0	10.440464	0	0	0
12.0	11.330758	0	0	0
13.0	12.211688	0	0	0
14.0	13.083353	0	0	0
15.0	13.945851	0	0	0
16.0	14.799277	0	0	0
17.0	15.643727	0	0	0
18.0	16.479296	0	0	0
19.0	17.306077	0	0	0
20.0	18.124162	0	0	0
21.0	18.933643	0	0	0
22.0	19.73461	0	0	0
23.0	20.527153	0	0	0
24.0	21.311361	0	0	0
25.0	22.087321	0	0	0
26.0	22.85512	0	0	0
27.0	23.614843	0	0	0
28.0	24.366577	0	0	0
29.0	25.110404	0	0	0
30.0	25.846407	0	0	0
31.0	26.57467	0	0	0
32.0	27.295274	0	0	0
33.0	28.008298	0	0	0
34.0	28.713824	0	0	0
35.0	29.411929	0	0	0
36.0	30.102692	0	0	0
37.0	30.786189	0	0	0
38.0	31.462498	0	0	0
39.0	32.131695	0	0	0
40.0	32.793852	0	0	0
41.0	33.449046	0	0	0
42.0	34.097349	0	0	0
43.0	34.738833	0	0	0
44.0	35.373571	0	0	0
45.0	36.001632	0	0	0
46.0	36.623088	0	0	0
47.0	37.238008	0	0	0
48.0	37.846461	0	0	0
49.0	38.448514	0	0	0
50.0	39.044236	0	0	0
51.0	39.633691	0	0	0
52.0	40.216948	0	0	0
53.0	40.794069	0	0	0
54.0	41.365122	0	0	0
55.0	41.930168	0	0	0
56.0	42.489271	0	0	0
57.0	43.042494	0	0	0
58.0	43.589898	0	0	0
59.0	44.131545	0	0	0
60.0	44.667496	0	0	0
61.0	45.197809	0	0	0
62.0	45.722545	0	0	0
63.0	46.241762	0	0	0
64.0	46.755519	0	0	0
65.0	47.263872	0	0	0
66.0	47.766878	0	0	0
67.0	48.264594	0	0	0
68.0	48.757075	0	0	0
69.0	49.244377	0	0	0
70.0	49.726554	0	0	0
71.0	50.203659	0	0	0
72.0	50.675746	0	0	0
73.0	51.142869	0	0	0
74.0	51.605078	0	0	0
75.0	52.062426	0	0	0
76.0	52.514964	0	0	0
77.0	52.962742	0	0	0
78.0	53.405811	0	0	0
79.0	53.84422	0	0	0
80.0	54.278019	0	0	0
81.0	54.707254	0	0	0
82.0	55.131975	0	0	0
83.0	55.55223	0	0	0
84.0	55.968064	0	0	0
85.0	56.379524	0	0	0
86.0	56.786658	0	0	0
87.0	57.189509	0	0	0
88.0	57.588123	0	0	0
89.0	57.982545	0	0	0
90.0	58.372819	0	0	0
91.0	58.758988	0	0	0
92.0	59.141095	0	0	0
93.0	59.519184	0	0	0
94.0	59.893296	0	0	0
95.0	60.263473	0	0	0
96.0	60.629757	0	0	0
97.0	60.992189	0	0	0
98.0	61.350809	0	0	0
99.0	61.705657	0	0	0
100.0	62.056773	0	0	0

