Distance,Dups,ComplementaryDups,NoncomplementaryDups
0.0,1227,0,1227
10.0,11,0,11
20.0,8,0,8
30.0,3,0,3
40.0,4,0,4
50.0,2,0,2
60.0,4,0,4
70.0,4,0,4
80.0,4,0,4
90.0,2,0,2
100.0,2,1,1
120.0,1,0,1
140.0,1,1,0
150.0,1,0,1
170.0,2,0,2
220.0,1,0,1
260.0,1,0,1
280.0,2,1,1
290.0,1,1,0
370.0,1,1,0
400.0,2,2,0
440.0,1,0,1
450.0,1,1,0
460.0,2,2,0
470.0,1,1,0
490.0,1,1,0
510.0,1,1,0
560.0,1,0,1
570.0,2,2,0
580.0,2,2,0
590.0,2,2,0
620.0,1,1,0
640.0,2,2,0
650.0,2,2,0
660.0,1,1,0
680.0,1,1,0
690.0,1,1,0
700.0,1,1,0
720.0,2,1,1
760.0,1,1,0
810.0,1,1,0
830.0,2,2,0
840.0,1,1,0
850.0,1,1,0
860.0,1,1,0
870.0,1,1,0
880.0,3,3,0
890.0,1,1,0
900.0,2,2,0
910.0,2,1,1
960.0,1,1,0
970.0,1,1,0
1000.0,1,0,1
1010.0,1,1,0
1020.0,1,1,0
1030.0,1,1,0
1070.0,1,1,0
1080.0,1,1,0
1090.0,1,1,0
1120.0,1,1,0
1130.0,2,2,0
1140.0,2,2,0
1190.0,2,2,0
1200.0,1,1,0
1210.0,3,3,0
1220.0,1,1,0
1230.0,1,1,0
1240.0,2,2,0
1270.0,1,1,0
1280.0,1,1,0
1290.0,2,1,1
1320.0,1,1,0
1330.0,3,3,0
1340.0,1,1,0
1360.0,1,1,0
1380.0,1,0,1
1410.0,1,1,0
1440.0,1,1,0
1450.0,2,2,0
1460.0,1,1,0
1500.0,2,2,0
1510.0,2,2,0
1520.0,2,2,0
1540.0,2,2,0
1560.0,1,1,0
1570.0,1,1,0
1590.0,1,1,0
1600.0,3,3,0
1610.0,1,1,0
1620.0,1,1,0
1630.0,1,1,0
1650.0,1,1,0
1660.0,1,1,0
1680.0,1,1,0
1690.0,1,1,0
1710.0,2,2,0
1720.0,1,0,1
1750.0,2,2,0
1760.0,1,1,0
1770.0,1,1,0
1780.0,1,1,0
1790.0,1,1,0
1800.0,1,1,0
1840.0,1,1,0
1850.0,1,1,0
1860.0,1,1,0
1910.0,1,1,0
1930.0,3,3,0
1940.0,1,1,0
1950.0,1,1,0
1960.0,1,1,0
1980.0,2,2,0
1990.0,2,2,0
2010.0,2,2,0
2020.0,3,3,0
2040.0,2,2,0
2050.0,1,1,0
2060.0,2,2,0
2080.0,2,2,0
2130.0,1,1,0
2140.0,1,1,0
2150.0,1,1,0
2160.0,1,0,1
2170.0,1,1,0
2180.0,2,2,0
2190.0,1,0,1
2200.0,1,1,0
2210.0,1,0,1
2220.0,1,1,0
2230.0,3,3,0
2250.0,2,2,0
2290.0,2,2,0
2300.0,1,0,1
2320.0,1,1,0
2360.0,2,2,0
2380.0,1,1,0
2390.0,4,3,1
2400.0,1,1,0
2410.0,1,1,0
2420.0,2,1,1
2440.0,2,2,0
2460.0,1,1,0
2470.0,1,1,0
2490.0,1,1,0
2510.0,2,2,0
2520.0,1,1,0
2640.0,1,0,1
2650.0,1,1,0
2660.0,1,1,0
2670.0,1,1,0
2680.0,1,0,1
2700.0,1,1,0
2710.0,1,1,0
2720.0,1,1,0
2760.0,2,1,1
2790.0,1,1,0
2800.0,1,1,0
2810.0,1,1,0
2830.0,3,3,0
2840.0,1,1,0
2860.0,1,1,0
2880.0,1,1,0
2890.0,1,1,0
2910.0,1,1,0
2920.0,1,1,0
2940.0,1,1,0
2950.0,1,1,0
2970.0,3,3,0
2980.0,1,1,0
2990.0,1,1,0
3010.0,1,1,0
3020.0,1,1,0
3030.0,2,2,0
3040.0,1,0,1
3050.0,2,2,0
3110.0,1,1,0
3130.0,1,1,0
3140.0,1,1,0
3150.0,1,1,0
3160.0,2,2,0
3170.0,1,1,0
3200.0,1,1,0
3210.0,1,1,0
3220.0,1,1,0
3230.0,2,2,0
3260.0,3,2,1
3270.0,1,1,0
3280.0,1,0,1
3290.0,1,1,0
3320.0,2,2,0
3350.0,1,1,0
3360.0,1,1,0
3370.0,1,1,0
3390.0,1,1,0
3410.0,1,1,0
3440.0,2,2,0
3450.0,2,1,1
3470.0,1,0,1
3480.0,1,1,0
3550.0,1,1,0
3570.0,1,1,0
3600.0,1,1,0
3660.0,1,1,0
3680.0,1,1,0
3690.0,1,1,0
3720.0,1,1,0
3750.0,1,1,0
3760.0,1,1,0
3820.0,1,1,0
3870.0,1,1,0
3880.0,1,1,0
3900.0,1,1,0
3910.0,1,1,0
3930.0,1,1,0
3940.0,1,1,0
3960.0,1,0,1
3990.0,1,1,0
4020.0,1,1,0
4060.0,2,2,0
4070.0,1,1,0
4150.0,2,2,0
4190.0,1,1,0
4270.0,2,2,0
4280.0,1,0,1
4290.0,1,1,0
4300.0,1,1,0
4320.0,1,0,1
4480.0,1,1,0
4500.0,1,1,0
4510.0,1,1,0
4590.0,1,1,0
4660.0,2,1,1
4670.0,1,1,0
4680.0,1,1,0
4690.0,1,1,0
4700.0,1,0,1
4720.0,1,1,0
4730.0,1,1,0
4770.0,1,1,0
4910.0,1,1,0
4930.0,1,1,0
4950.0,2,2,0
5020.0,1,1,0
5040.0,1,1,0
5120.0,1,1,0
5140.0,2,1,1
5220.0,1,1,0
5300.0,1,1,0
5400.0,1,1,0
