Distance,Dups,ComplementaryDups,NoncomplementaryDups
1,240,0,240
2,321,0,321
3,2628,0,2628
4,9028,0,9028
5,5148,0,5148
6,1628,0,1628
7,1001,0,1001
8,401,0,401
9,155,0,155
10,86,0,86
11,30,0,30
12,12,0,12
13,7,0,7
14,7,0,7
15,4,0,4
16,5,0,5
17,2,0,2
18,3,0,3
19,3,0,3
20,5,0,5
21,4,0,4
22,2,0,2
23,8,0,8
24,7,0,7
25,4,0,4
26,8,0,8
27,6,0,6
28,2,0,2
29,5,0,5
30,3,0,3
31,6,0,6
32,6,0,6
33,5,0,5
34,4,0,4
35,2,0,2
36,4,0,4
37,4,0,4
38,4,0,4
39,3,0,3
40,1,0,1
41,5,0,5
42,3,0,3
43,3,0,3
44,4,0,4
45,4,0,4
46,3,0,3
47,6,0,6
48,3,0,3
49,2,0,2
50,2,0,2
51,6,1,5
52,2,0,2
53,5,0,5
54,3,0,3
55,4,0,4
56,1,0,1
57,2,0,2
58,5,0,5
59,3,0,3
60,5,0,5
61,5,0,5
62,5,0,5
63,1,0,1
64,1,0,1
65,5,0,5
66,2,0,2
67,8,0,8
68,3,0,3
69,4,0,4
70,5,0,5
71,3,0,3
72,4,0,4
73,5,0,5
74,5,0,5
75,2,0,2
76,1,0,1
77,3,0,3
78,2,0,2
79,1,0,1
80,2,0,2
81,5,0,5
82,4,0,4
83,2,0,2
84,6,0,6
85,5,0,5
86,4,0,4
87,2,0,2
88,4,0,4
89,2,0,2
90,6,0,6
91,3,0,3
92,3,0,3
93,2,0,2
94,4,0,4
95,3,0,3
96,3,0,3
97,1,0,1
98,2,0,2
99,2,0,2
100,2,0,2
101,3,0,3
102,3,0,3
103,6,0,6
104,5,0,5
105,2,0,2
106,2,0,2
107,5,0,5
108,1,0,1
109,3,0,3
110,6,0,6
111,2,0,2
112,3,0,3
113,5,0,5
114,3,0,3
115,1,0,1
116,5,0,5
117,3,0,3
118,1,0,1
119,5,0,5
120,2,0,2
122,6,0,6
123,5,0,5
124,1,0,1
125,3,0,3
126,4,0,4
127,3,0,3
128,4,0,4
129,2,0,2
130,1,0,1
131,5,0,5
132,5,0,5
133,3,0,3
134,6,0,6
135,1,0,1
136,4,0,4
138,1,0,1
139,4,0,4
140,5,0,5
141,10,1,9
142,4,0,4
143,2,0,2
144,2,0,2
145,3,0,3
147,1,0,1
148,3,0,3
149,3,0,3
150,5,0,5
151,1,0,1
152,4,0,4
153,5,0,5
154,5,0,5
157,3,0,3
158,2,0,2
159,4,0,4
160,2,0,2
161,1,0,1
162,1,0,1
164,1,0,1
165,2,0,2
166,4,0,4
167,2,0,2
169,3,0,3
170,2,0,2
171,4,0,4
172,3,0,3
174,2,0,2
175,4,0,4
176,2,0,2
178,3,0,3
179,2,0,2
181,1,0,1
182,3,0,3
183,1,0,1
184,1,0,1
185,6,0,6
186,2,0,2
187,1,0,1
188,1,0,1
189,4,0,4
190,4,0,4
191,3,0,3
192,1,0,1
195,2,0,2
196,1,0,1
197,4,0,4
198,4,1,3
199,1,0,1
200,1,0,1
201,1,0,1
202,3,0,3
204,2,0,2
205,3,0,3
206,1,0,1
207,3,0,3
209,1,0,1
210,3,0,3
212,1,0,1
214,2,0,2
215,1,0,1
218,1,0,1
219,2,0,2
220,1,0,1
222,2,0,2
224,1,0,1
225,3,0,3
228,2,0,2
230,1,0,1
231,2,0,2
233,2,0,2
235,2,0,2
236,1,0,1
240,1,0,1
241,2,1,1
243,2,0,2
244,2,0,2
247,1,0,1
250,4,0,4
251,1,0,1
253,1,1,0
254,3,0,3
259,2,0,2
262,1,0,1
263,2,0,2
264,1,0,1
265,1,0,1
267,1,0,1
274,2,0,2
275,1,0,1
276,1,0,1
277,1,0,1
282,1,0,1
283,1,0,1
284,3,0,3
285,2,0,2
286,2,0,2
287,1,0,1
288,2,0,2
291,1,0,1
293,1,0,1
294,1,0,1
295,1,0,1
297,2,0,2
299,3,0,3
300,1,0,1
304,2,0,2
305,1,0,1
308,1,1,0
310,1,1,0
311,1,0,1
314,1,1,0
315,1,1,0
318,1,0,1
319,2,0,2
320,1,0,1
324,1,0,1
325,2,0,2
328,2,0,2
330,4,1,3
331,1,0,1
332,1,0,1
335,1,0,1
337,1,0,1
340,1,0,1
346,1,1,0
347,1,0,1
351,1,0,1
353,1,0,1
354,1,0,1
355,1,1,0
358,1,0,1
359,1,0,1
362,1,1,0
363,2,0,2
367,1,0,1
369,1,0,1
370,1,0,1
371,1,0,1
374,3,0,3
384,1,0,1
385,1,0,1
386,1,0,1
387,1,0,1
392,1,0,1
395,1,0,1
396,3,0,3
398,1,1,0
402,1,0,1
403,1,0,1
405,1,0,1
407,1,0,1
411,1,0,1
413,1,0,1
417,1,0,1
418,1,0,1
419,2,1,1
422,1,0,1
423,2,0,2
424,1,0,1
425,1,0,1
427,1,0,1
428,2,0,2
429,1,0,1
430,1,0,1
433,2,0,2
434,1,1,0
438,2,2,0
444,2,0,2
445,2,0,2
447,1,1,0
448,1,1,0
449,1,0,1
450,1,1,0
453,1,0,1
454,2,1,1
456,1,0,1
460,1,0,1
466,1,1,0
473,1,0,1
476,1,0,1
479,1,0,1
484,2,0,2
499,1,1,0
501,1,0,1
502,1,0,1
503,1,0,1
510,1,1,0
526,1,1,0
528,1,0,1
531,1,0,1
532,1,0,1
533,1,0,1
534,1,1,0
537,2,1,1
538,1,0,1
541,1,0,1
545,1,1,0
548,1,0,1
550,1,1,0
556,1,0,1
558,1,0,1
560,1,1,0
561,1,0,1
562,3,0,3
564,1,0,1
568,2,0,2
570,1,0,1
575,1,0,1
580,1,1,0
581,2,2,0
585,1,1,0
586,1,1,0
588,1,1,0
590,1,0,1
596,2,1,1
607,2,0,2
608,1,0,1
616,1,1,0
620,1,1,0
624,1,1,0
628,2,1,1
629,2,0,2
639,1,1,0
646,2,1,1
655,1,1,0
656,1,0,1
658,1,1,0
661,1,0,1
663,1,1,0
664,1,0,1
666,1,0,1
668,1,0,1
669,1,0,1
670,1,1,0
677,1,0,1
680,2,2,0
682,1,1,0
694,1,0,1
702,1,0,1
704,1,0,1
706,1,0,1
723,1,0,1
724,1,0,1
725,3,2,1
728,1,1,0
729,1,1,0
732,1,1,0
735,1,0,1
738,1,1,0
740,1,0,1
742,1,1,0
743,2,2,0
755,1,1,0
757,1,1,0
758,2,2,0
768,2,0,2
769,1,0,1
773,1,1,0
779,1,0,1
785,1,1,0
786,1,1,0
792,1,1,0
794,1,1,0
796,1,1,0
800,1,0,1
808,1,1,0
814,1,1,0
817,1,0,1
824,1,1,0
826,1,1,0
831,1,1,0
833,1,1,0
836,1,1,0
849,1,0,1
851,1,1,0
853,1,1,0
861,2,2,0
883,1,1,0
887,1,0,1
891,1,1,0
895,1,1,0
909,1,1,0
918,1,0,1
921,1,1,0
923,1,1,0
925,1,1,0
929,1,1,0
935,1,0,1
939,1,0,1
940,1,1,0
942,1,1,0
944,1,1,0
962,1,1,0
963,1,1,0
964,1,0,1
970,2,2,0
974,2,2,0
977,1,1,0
980,2,2,0
984,1,0,1
985,1,1,0
994,1,1,0
996,1,1,0
1001,1,1,0
1004,1,0,1
1012,1,1,0
1014,1,1,0
1018,1,0,1
1033,2,2,0
1038,1,1,0
1041,1,1,0
1047,1,0,1
1052,1,1,0
1056,1,1,0
1065,1,1,0
1070,1,1,0
1071,1,1,0
1072,1,1,0
1077,1,1,0
1089,1,1,0
1095,1,1,0
1097,1,1,0
1100,1,1,0
1107,2,2,0
1108,1,1,0
1126,1,1,0
1136,1,1,0
1146,1,1,0
1157,1,1,0
1159,1,1,0
1175,1,1,0
1176,1,1,0
1186,1,0,1
1191,1,1,0
1197,1,1,0
1203,1,1,0
1204,1,1,0
1223,1,1,0
1233,1,0,1
1241,2,2,0
1252,2,2,0
1264,2,2,0
1266,1,0,1
1269,1,1,0
1271,1,1,0
1278,1,1,0
1280,1,1,0
1283,1,1,0
1286,1,1,0
1289,1,1,0
1292,1,1,0
1299,1,1,0
1303,1,1,0
1304,2,2,0
1305,1,1,0
1306,1,1,0
1307,1,1,0
1310,1,1,0
1311,2,2,0
1320,1,1,0
1322,1,1,0
1327,1,1,0
1328,1,1,0
1331,1,1,0
1342,1,0,1
1347,1,1,0
1352,1,1,0
1353,1,1,0
1354,1,1,0
1361,1,1,0
1367,1,1,0
1371,1,1,0
1374,1,0,1
1375,1,1,0
1377,1,1,0
1378,1,1,0
1379,2,2,0
1380,1,0,1
1384,1,1,0
1386,1,1,0
1388,1,1,0
1394,1,1,0
1397,1,1,0
1400,2,2,0
1401,1,1,0
1408,1,1,0
1416,1,1,0
1418,1,1,0
1421,1,1,0
1442,1,1,0
1448,1,1,0
1451,1,1,0
1459,1,1,0
1461,1,1,0
1464,1,1,0
1465,1,1,0
1467,1,1,0
1468,1,1,0
1470,1,1,0
1471,1,1,0
1476,1,1,0
1480,2,2,0
1486,1,1,0
1488,2,2,0
1494,1,1,0
1499,1,1,0
1506,1,1,0
1510,1,1,0
1521,2,2,0
1524,1,1,0
1530,1,1,0
1535,1,1,0
1537,1,1,0
1539,1,1,0
1544,1,1,0
1547,2,2,0
1548,1,1,0
1549,2,2,0
1552,2,2,0
1553,1,1,0
1557,1,1,0
1562,1,1,0
1564,1,1,0
1565,2,2,0
1566,1,1,0
1573,1,1,0
1580,1,1,0
1582,1,1,0
1583,1,1,0
1594,1,1,0
1597,1,1,0
1600,1,1,0
1602,2,2,0
1607,1,0,1
1610,1,0,1
1613,1,1,0
1615,1,0,1
1617,1,1,0
1623,1,1,0
1625,1,1,0
1626,1,1,0
1628,1,1,0
1630,1,1,0
1632,1,1,0
1647,1,1,0
1649,1,1,0
1651,1,1,0
1659,1,1,0
1663,1,1,0
1667,1,1,0
1670,1,1,0
1678,1,1,0
1683,1,1,0
1697,1,1,0
1698,1,1,0
1704,1,0,1
1707,2,1,1
1709,1,1,0
1712,2,2,0
1719,1,1,0
1725,1,1,0
1728,1,1,0
1731,1,1,0
1744,1,1,0
1747,1,1,0
1751,2,2,0
1752,1,1,0
1755,1,1,0
1764,1,1,0
1775,1,1,0
1786,1,1,0
1788,1,1,0
1789,1,1,0
1793,1,1,0
1794,1,1,0
1799,1,0,1
1806,1,1,0
1807,1,1,0
1812,1,1,0
1817,1,1,0
1818,1,1,0
1819,1,1,0
1822,2,2,0
1823,1,1,0
1825,1,1,0
1833,1,1,0
1836,2,2,0
1838,1,1,0
1850,1,1,0
1857,1,1,0
1866,2,2,0
1870,2,2,0
1871,2,2,0
1873,1,1,0
1877,2,1,1
1889,1,1,0
1893,1,1,0
1896,1,1,0
1898,1,1,0
1901,2,2,0
1904,1,1,0
1905,1,1,0
