Number of reads: 684292
Number of reads within tile: 43443 (6.35%)
Distance	Count
1	236
2	307
3	2624
4	9008
5	5145
6	1627
7	998
8	402
9	154
10	86
11	31
12	12
13	7
14	7
15	4
16	5
17	2
18	3
19	3
20	5
21	4
22	2
23	8
24	6
25	4
26	8
27	6
28	2
29	5
30	3
31	6
32	6
33	5
34	4
35	2
36	4
37	4
38	4
39	3
40	1
41	5
42	3
43	3
44	4
45	4
46	2
47	6
48	3
49	2
50	2
51	6
52	2
53	6
54	3
55	4
56	1
57	2
58	5
59	3
60	5
61	5
62	5
63	1
64	1
65	5
66	3
67	8
68	3
69	4
70	5
71	3
72	4
73	5
74	5
75	2
76	1
77	3
78	2
79	1
80	2
81	5
82	4
83	2
84	6
85	5
86	4
87	2
88	4
89	2
90	6
91	3
92	3
93	2
94	4
95	3
96	3
97	1
98	2
99	1
100	2
101	3
102	3
103	6
104	5
105	2
106	2
107	5
108	1
109	3
110	6
111	2
112	3
113	5
114	3
115	1
116	5
117	3
118	1
119	5
120	2
122	6
123	5
124	1
125	3
126	4
127	3
128	4
129	2
130	1
131	5
132	5
133	3
134	6
135	1
136	4
138	1
139	4
140	5
141	10
142	4
143	2
144	2
145	3
147	1
148	3
149	3
150	5
151	1
152	4
153	5
154	5
157	3
158	2
159	4
160	2
161	1
162	1
164	1
165	2
166	4
167	2
169	3
170	2
171	4
172	3
174	3
175	4
176	2
178	3
179	2
181	1
182	3
183	1
184	1
185	6
186	2
187	1
188	1
189	4
190	4
191	3
192	1
195	2
196	1
197	4
198	4
199	1
200	1
201	1
202	3
204	2
205	3
206	1
207	3
209	1
210	3
212	1
214	2
215	1
218	1
219	2
220	1
222	2
224	1
225	3
228	2
230	1
231	2
233	2
235	2
236	1
240	1
241	2
243	2
244	2
247	1
250	4
251	1
253	1
254	3
259	2
262	1
263	2
264	1
265	1
267	1
274	2
275	1
276	1
277	1
282	1
283	1
284	3
285	2
286	2
287	1
288	2
291	1
293	1
294	1
295	1
297	2
299	3
300	1
304	2
305	1
308	1
310	1
311	1
314	1
315	1
318	1
319	2
320	1
324	1
325	2
328	2
330	4
331	1
332	1
335	1
337	1
340	1
346	1
347	1
351	1
353	1
354	1
355	1
358	1
359	1
362	1
363	2
367	1
369	1
370	1
371	1
374	3
384	1
385	1
386	1
387	1
392	1
395	1
396	3
398	1
402	1
403	1
405	1
407	1
411	1
413	1
417	1
418	1
419	2
422	1
423	2
424	1
425	1
427	1
428	2
429	1
430	1
433	2
434	1
438	2
444	2
445	1
447	1
448	1
449	1
450	1
453	1
454	2
456	1
460	1
466	1
473	1
476	1
479	1
484	2
499	1
501	1
502	1
503	1
510	1
526	1
528	1
531	1
532	1
533	1
534	1
537	2
538	1
541	1
545	1
548	1
550	1
556	1
558	1
560	1
561	1
562	3
564	1
568	2
570	1
575	1
580	1
581	2
585	1
586	1
588	1
590	1
596	2
607	2
608	1
616	1
620	1
623	1
624	1
628	2
629	2
639	1
646	2
655	1
656	1
658	1
661	1
663	1
664	1
666	1
668	1
669	1
670	1
677	1
680	2
682	1
694	1
702	1
704	1
706	1
723	1
724	1
725	3
728	1
729	1
732	1
735	1
738	1
740	1
742	1
743	2
755	1
757	1
758	2
