## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --TAG_DUPLICATE_SET_MEMBERS true --INPUT xplus_sns_KMS12BM.chr20.bam --OUTPUT dups/xplus_sns_KMS12BM.chr20.bam --METRICS_FILE dups/xplus_sns_KMS12BM.chr20.bam.metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 10 16:09:54 GMT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
KMS12BM	43134	17961374	222756	43134	18552	3586030	3027751	0.199929	194723132

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.193563	11380234	0	13601642
2.0	2.281957	2159612	1878999	547748
3.0	3.274447	467287	385485	5021
4.0	4.179485	110529	87487	124
5.0	5.004776	27547	20507	19
6.0	5.757347	6878	4808	7
7.0	6.443606	1866	1140	1
8.0	7.069396	438	251	0
9.0	7.640045	133	59	0
10.0	8.160411	29	16	0
11.0	8.634926	7	4	0
12.0	9.067629	2	0	0
13.0	9.462205	0	0	0
14.0	9.822014	0	0	0
15.0	10.150118	0	0	0
16.0	10.449311	0	0	0
17.0	10.722141	0	0	0
18.0	10.970931	0	0	0
19.0	11.197799	0	0	0
20.0	11.404676	0	0	0
21.0	11.593325	0	0	0
22.0	11.765351	0	0	0
23.0	11.92222	0	0	0
24.0	12.065265	0	0	0
25.0	12.195707	0	0	0
26.0	12.314655	0	0	0
27.0	12.423121	0	0	0
28.0	12.522031	0	0	0
29.0	12.612225	0	0	0
30.0	12.694471	0	0	0
31.0	12.769471	0	0	0
32.0	12.837862	0	0	0
33.0	12.900226	0	0	0
34.0	12.957096	0	0	0
35.0	13.008954	0	0	0
36.0	13.056243	0	0	0
37.0	13.099366	0	0	0
38.0	13.138688	0	0	0
39.0	13.174546	0	0	0
40.0	13.207244	0	0	0
41.0	13.237061	0	0	0
42.0	13.26425	0	0	0
43.0	13.289044	0	0	0
44.0	13.311653	0	0	0
45.0	13.33227	0	0	0
46.0	13.35107	0	0	0
47.0	13.368214	0	0	0
48.0	13.383847	0	0	0
49.0	13.398103	0	0	0
50.0	13.411102	0	0	0
51.0	13.422956	0	0	0
52.0	13.433766	0	0	0
53.0	13.443623	0	0	0
54.0	13.452612	0	0	0
55.0	13.460808	0	0	0
56.0	13.468282	0	0	0
57.0	13.475098	0	0	0
58.0	13.481313	0	0	0
59.0	13.486981	0	0	0
60.0	13.492149	0	0	0
61.0	13.496861	0	0	0
62.0	13.501159	0	0	0
63.0	13.505078	0	0	0
64.0	13.508651	0	0	0
65.0	13.51191	0	0	0
66.0	13.514881	0	0	0
67.0	13.517591	0	0	0
68.0	13.520062	0	0	0
69.0	13.522315	0	0	0
70.0	13.52437	0	0	0
71.0	13.526243	0	0	0
72.0	13.527952	0	0	0
73.0	13.52951	0	0	0
74.0	13.53093	0	0	0
75.0	13.532226	0	0	0
76.0	13.533407	0	0	0
77.0	13.534484	0	0	0
78.0	13.535467	0	0	0
79.0	13.536363	0	0	0
80.0	13.537179	0	0	0
81.0	13.537924	0	0	0
82.0	13.538604	0	0	0
83.0	13.539223	0	0	0
84.0	13.539788	0	0	0
85.0	13.540303	0	0	0
86.0	13.540772	0	0	0
87.0	13.541201	0	0	0
88.0	13.541591	0	0	0
89.0	13.541947	0	0	0
90.0	13.542272	0	0	0
91.0	13.542568	0	0	0
92.0	13.542838	0	0	0
93.0	13.543085	0	0	0
94.0	13.543309	0	0	0
95.0	13.543514	0	0	0
96.0	13.543701	0	0	0
97.0	13.543871	0	0	0
98.0	13.544026	0	0	0
99.0	13.544168	0	0	0
100.0	13.544297	0	0	0

