Number of reads: 13562870
Number of reads within tile: 5859850 (43.21%)
Distance	Count
18	2963747
19	644460
31	61578
32	287291
33	5308
36	59093
37	117252
38	2631
48	24277
49	5825
50	162
55	4287
56	997
63	222
64	410
65	115
66	664
67	107
73	109
74	68
80	116
81	7
84	107
85	32
92	57
93	8
95	16
96	23
97	72
98	16
102	29
103	36
110	15
111	27
112	57
113	3
114	3
115	69
116	6
120	1
121	62
122	10
127	1
128	48
129	65
130	12
132	13
133	35
134	2
138	2
139	36
140	11
144	54
145	7
146	26
147	27
148	13
150	4
151	31
152	5
157	31
158	11
159	4
160	28
161	23
162	3
164	32
165	3
166	21
167	2
169	13
170	7
175	6
176	43
177	21
178	18
179	6
181	15
182	16
183	1
184	2
185	5
187	22
188	6
191	5
192	31
193	18
194	26
195	37
196	4
199	19
200	19
202	2
203	9
204	3
205	18
206	15
207	5
208	30
209	31
210	15
211	1
212	10
213	39
214	5
217	17
218	9
221	7
222	4
223	12
224	67
225	16
226	5
227	17
228	5
230	9
231	26
232	6
235	16
236	9
239	8
240	28
241	26
242	22
243	15
244	17
245	6
248	12
249	14
250	17
251	1
253	12
254	11
255	3
256	22
257	6
258	23
259	19
260	19
261	14
262	8
263	2
265	1
266	14
267	6
268	13
269	1
271	1
272	30
273	16
274	6
275	7
276	11
277	5
278	9
279	25
280	9
284	7
285	8
286	7
287	5
288	17
289	7
290	20
291	7
293	16
294	3
295	2
296	3
297	26
298	9
302	14
303	8
304	16
305	25
306	7
307	3
308	26
309	7
310	6
311	14
312	1
314	7
315	20
316	16
319	2
320	25
321	15
322	11
323	12
324	11
325	5
326	9
327	13
328	16
329	4
332	6
333	21
334	14
335	4
336	13
337	20
338	15
339	23
340	10
342	22
343	5
345	17
346	15
347	2
350	3
351	9
352	35
353	21
354	11
356	15
357	12
359	8
360	16
361	3
363	7
364	16
365	1
367	1
368	13
369	29
370	17
371	21
372	3
373	9
374	17
375	10
376	1
377	7
378	7
379	7
380	3
381	8
382	11
