## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/aviti_ngi_MM1S.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/aviti_ngi_MM1S.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/aviti_ngi/outdir/preprocessing/markduplicates/MM1S/MM1S.md.cram OUTPUT=picard/aviti_ngi_MM1S.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 18:19:16 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133372	11131	15	0.6387	0.006054			
All Reads	ALL	1	96782	4777	15	0.377736	0.005465			
All Reads	ALL	2	112190	5672	16	0.38691	0.005137			
All Reads	ALL	3	143192	14178	19	0.757746	0.006364			
All Reads	ALL	4	154545	9334	16	0.462211	0.004784			
All Reads	ALL	5	158146	10493	17	0.507772	0.004957			
All Reads	ALL	6	179558	13807	17	0.588467	0.005008			
All Reads	ALL	7	193733	16714	17	0.660244	0.005107			
All Reads	ALL	8	221551	19543	17	0.675064	0.004829			
All Reads	ALL	9	251225	25142	17	0.765887	0.00483			
All Reads	ALL	10	295940	32256	18	0.834131	0.004644			
All Reads	ALL	11	361058	41184	18	0.872929	0.004301			
All Reads	ALL	12	469776	54746	19	0.891845	0.003812			
All Reads	ALL	13	618661	76170	19	0.942234	0.003414			
All Reads	ALL	14	876130	110585	20	0.965951	0.002905			
All Reads	ALL	15	1288160	165189	21	0.981384	0.002415			
All Reads	ALL	16	1927535	257555	21	1.022575	0.002015			
All Reads	ALL	17	2894502	423380	19	1.119397	0.00172			
All Reads	ALL	18	4340874	626972	20	1.105347	0.001396			
All Reads	ALL	19	6411892	934107	20	1.114905	0.001154			
All Reads	ALL	20	9263612	1390592	20	1.148807	0.000974			
All Reads	ALL	21	13029780	1895321	20	1.1132	0.000809			
All Reads	ALL	22	17784214	2461740	22	1.059339	0.000675			
All Reads	ALL	23	23595456	3187955	23	1.033978	0.000579			
All Reads	ALL	24	30440211	4042684	23	1.016365	0.000505			
All Reads	ALL	25	38161832	4936688	25	0.989997	0.000446			
All Reads	ALL	26	46467619	5972146	25	0.983575	0.000402			
All Reads	ALL	27	55146501	6974946	26	0.967945	0.000367			
All Reads	ALL	28	63905454	8053373	26	0.964423	0.00034			
All Reads	ALL	29	72443004	9130163	26	0.964517	0.000319			
All Reads	ALL	30	80580387	10127057	26	0.961793	0.000302			
All Reads	ALL	31	88162801	11085638	26	0.962283	0.000289			
All Reads	ALL	32	95035528	12033136	26	0.968993	0.000279			
All Reads	ALL	33	101104524	12951894	25	0.980371	0.000272			
All Reads	ALL	34	106384207	13709341	25	0.986205	0.000266			
All Reads	ALL	35	110784297	14503095	25	1.001867	0.000263			
All Reads	ALL	36	114264456	15171457	24	1.016117	0.000261			
All Reads	ALL	37	116112027	15486979	24	1.020745	0.000259			
All Reads	ALL	38	115911645	15518316	24	1.024578	0.00026			
All Reads	ALL	39	113905364	15202689	23	1.021419	0.000262			
All Reads	ALL	40	110368956	14960659	22	1.037365	0.000268			
All Reads	ALL	41	105410594	14141176	22	1.026665	0.000273			
All Reads	ALL	42	99544218	13342517	22	1.025768	0.000281			
All Reads	ALL	43	93498632	12269377	22	1.004257	0.000287			
All Reads	ALL	44	88082154	11310333	24	0.982687	0.000292			
All Reads	ALL	45	83711976	10676340	24	0.976028	0.000299			
All Reads	ALL	46	80341334	10240959	24	0.975504	0.000305			
All Reads	ALL	47	77642362	9903886	24	0.97619	0.00031			
All Reads	ALL	48	74936279	9577917	24	0.978152	0.000316			
All Reads	ALL	49	71643163	9159527	24	0.978421	0.000323			
All Reads	ALL	50	67487064	8639517	24	0.979708	0.000333			
All Reads	ALL	51	62640588	8031650	24	0.981243	0.000346			
All Reads	ALL	52	57626176	7403640	24	0.983225	0.000361			
All Reads	ALL	53	52943343	6831288	24	0.987458	0.000378			
All Reads	ALL	54	48772513	6329909	24	0.99323	0.000395			
All Reads	ALL	55	45092755	5902003	24	1.00166	0.000412			
All Reads	ALL	56	41546483	5484519	24	1.010257	0.000431			
All Reads	ALL	57	37775417	5021445	24	1.017295	0.000454			
All Reads	ALL	58	33620279	4489717	24	1.021987	0.000482			
All Reads	ALL	59	29119333	3898993	24	1.024704	0.000519			
All Reads	ALL	60	24607076	3301943	24	1.026921	0.000565			
All Reads	ALL	61	20442247	2743104	23	1.026931	0.00062			
All Reads	ALL	62	16888056	2272406	23	1.029755	0.000683			
All Reads	ALL	63	13953520	1881326	23	1.031829	0.000752			
All Reads	ALL	64	11533648	1560633	23	1.035528	0.000829			
All Reads	ALL	65	9516463	1297007	22	1.043024	0.000916			
All Reads	ALL	66	7844747	1069189	22	1.043045	0.001009			
All Reads	ALL	67	6376889	876777	21	1.052223	0.001124			
All Reads	ALL	68	5103178	705921	21	1.058627	0.00126			
All Reads	ALL	69	4086242	565927	21	1.059898	0.001409			
All Reads	ALL	70	3279236	454641	21	1.06102	0.001574			
All Reads	ALL	71	2626766	361365	21	1.052816	0.001751			
All Reads	ALL	72	2126045	292814	20	1.054015	0.001948			
All Reads	ALL	73	1735600	243477	20	1.073584	0.002176			
All Reads	ALL	74	1432212	202760	20	1.083434	0.002406			
All Reads	ALL	75	1205854	176135	20	1.117837	0.002664			
All Reads	ALL	76	1039412	150430	20	1.107578	0.002856			
All Reads	ALL	77	914623	136360	20	1.140965	0.00309			
All Reads	ALL	78	813919	123843	19	1.164442	0.003309			
All Reads	ALL	79	710475	107193	19	1.154636	0.003527			
All Reads	ALL	80	605953	92229	19	1.164813	0.003836			
All Reads	ALL	81	510051	76878	19	1.153496	0.00416			
All Reads	ALL	82	428619	66565	19	1.188508	0.004607			
All Reads	ALL	83	352749	54007	19	1.171688	0.005042			
All Reads	ALL	84	276293	46282	19	1.281946	0.005959			
All Reads	ALL	85	200807	34754	19	1.324505	0.007105			
All Reads	ALL	86	134275	25567	19	1.457177	0.009113			
All Reads	ALL	87	88064	19238	19	1.671818	0.012053			
All Reads	ALL	88	60774	13562	19	1.707786	0.014665			
All Reads	ALL	89	39373	10166	19	1.975965	0.019598			
All Reads	ALL	90	25721	6167	19	1.834906	0.023366			
All Reads	ALL	91	16577	9511	21	4.390842	0.045023			
All Reads	ALL	92	9918	2755	19	2.125813	0.040501			
All Reads	ALL	93	6247	2543	19	3.115319	0.061777			
All Reads	ALL	94	3541	16125	18	34.849889	0.274443			
All Reads	ALL	95	1700	22298	17	100.379401	0.67222			
All Reads	ALL	96	986	11351	16	88.101807	0.826928			
All Reads	ALL	97	658	50830	16	591.182846	2.622176			
All Reads	ALL	98	328	43402	16	1012.659653	4.86081			
All Reads	ALL	99	133	5875	15	338.052256	4.41042			
All Reads	ALL	100	339	3	21	0.067725	0.039101			


