## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/xplus_sns_REH.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/xplus_sns_REH.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/xplus_sns/outdir/preprocessing/markduplicates/REH/REH.md.cram OUTPUT=picard/xplus_sns_REH.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 17:33:40 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	133372	27484	17	0.471242	0.002843			
All Reads	ALL	1	96782	10622	16	0.250981	0.002435			
All Reads	ALL	2	112190	14076	16	0.286915	0.002418			
All Reads	ALL	3	143192	22040	17	0.351983	0.002371			
All Reads	ALL	4	154545	29064	17	0.43006	0.002523			
All Reads	ALL	5	158146	35068	17	0.507086	0.002708			
All Reads	ALL	6	179558	48666	16	0.619797	0.00281			
All Reads	ALL	7	193733	59017	17	0.69663	0.002868			
All Reads	ALL	8	221551	74490	16	0.76887	0.002817			
All Reads	ALL	9	251225	100423	16	0.914111	0.002885			
All Reads	ALL	10	295940	125904	16	0.972892	0.002742			
All Reads	ALL	11	361058	158380	16	1.003118	0.002521			
All Reads	ALL	12	469776	204636	18	0.996139	0.002202			
All Reads	ALL	13	618661	277591	18	1.02608	0.001948			
All Reads	ALL	14	876130	397034	19	1.036306	0.001645			
All Reads	ALL	15	1288160	593671	20	1.053913	0.001368			
All Reads	ALL	16	1927535	921561	20	1.093328	0.001139			
All Reads	ALL	17	2894502	1536347	19	1.213792	0.000979			
All Reads	ALL	18	4340874	2315352	19	1.219744	0.000802			
All Reads	ALL	19	6411892	3490226	19	1.24479	0.000666			
All Reads	ALL	20	9263612	5179714	19	1.278657	0.000562			
All Reads	ALL	21	13029780	7074342	19	1.241589	0.000467			
All Reads	ALL	22	17784214	8996179	21	1.156784	0.000386			
All Reads	ALL	23	23595456	11551980	21	1.119584	0.000329			
All Reads	ALL	24	30440211	14568816	22	1.094474	0.000287			
All Reads	ALL	25	38161832	17587501	23	1.05391	0.000251			
All Reads	ALL	26	46467619	21159483	23	1.041318	0.000226			
All Reads	ALL	27	55146501	24562255	24	1.018542	0.000206			
All Reads	ALL	28	63905454	28252673	24	1.010998	0.00019			
All Reads	ALL	29	72443004	31880466	24	1.006368	0.000178			
All Reads	ALL	30	80580387	35280687	24	1.001236	0.000169			
All Reads	ALL	31	88162801	38513676	24	0.998984	0.000161			
All Reads	ALL	32	95035528	41599337	24	1.000989	0.000155			
All Reads	ALL	33	101104524	44475566	24	1.005958	0.000151			
All Reads	ALL	34	106384207	47070403	23	1.011811	0.000147			
All Reads	ALL	35	110784297	49413097	23	1.019982	0.000145			
All Reads	ALL	36	114264456	51293787	23	1.026555	0.000143			
All Reads	ALL	37	116112027	52180911	23	1.027693	0.000142			
All Reads	ALL	38	115911645	52066898	23	1.02722	0.000142			
All Reads	ALL	39	113905364	50949562	23	1.022881	0.000143			
All Reads	ALL	40	110368956	49678739	22	1.029325	0.000146			
All Reads	ALL	41	105410594	46955654	22	1.018667	0.000149			
All Reads	ALL	42	99544218	44130365	22	1.013795	0.000153			
All Reads	ALL	43	93498632	40644429	22	0.994087	0.000156			
All Reads	ALL	44	88082154	37505059	23	0.973712	0.000159			
All Reads	ALL	45	83711976	35245154	23	0.96281	0.000162			
All Reads	ALL	46	80341334	33634735	23	0.957365	0.000165			
All Reads	ALL	47	77642362	32377004	23	0.953601	0.000168			
All Reads	ALL	48	74936279	31129773	23	0.949976	0.00017			
All Reads	ALL	49	71643163	29668169	23	0.946989	0.000174			
All Reads	ALL	50	67487064	27865386	23	0.94422	0.000179			
All Reads	ALL	51	62640588	25803524	23	0.942002	0.000185			
All Reads	ALL	52	57626176	23702087	23	0.94058	0.000193			
All Reads	ALL	53	52943343	21806082	24	0.941879	0.000202			
All Reads	ALL	54	48772513	20160295	24	0.945258	0.000211			
All Reads	ALL	55	45092755	18690524	24	0.947858	0.000219			
All Reads	ALL	56	41546483	17282218	23	0.951249	0.000229			
All Reads	ALL	57	37775417	15760227	23	0.954074	0.00024			
All Reads	ALL	58	33620279	14021197	23	0.953702	0.000255			
All Reads	ALL	59	29119333	12110375	23	0.951054	0.000273			
All Reads	ALL	60	24607076	10179505	23	0.946009	0.000297			
All Reads	ALL	61	20442247	8388507	23	0.938393	0.000324			
All Reads	ALL	62	16888056	6880101	23	0.931631	0.000355			
All Reads	ALL	63	13953520	5636642	23	0.923773	0.000389			
All Reads	ALL	64	11533648	4611197	23	0.914273	0.000426			
All Reads	ALL	65	9516463	3768603	22	0.905594	0.000466			
All Reads	ALL	66	7844747	3060651	22	0.892203	0.00051			
All Reads	ALL	67	6376889	2448813	22	0.878164	0.000561			
All Reads	ALL	68	5103178	1927985	22	0.863956	0.000622			
All Reads	ALL	69	4086242	1501868	21	0.840498	0.000686			
All Reads	ALL	70	3279236	1173102	21	0.818073	0.000755			
All Reads	ALL	71	2626766	900955	21	0.784351	0.000826			
All Reads	ALL	72	2126045	709945	20	0.763627	0.000906			
All Reads	ALL	73	1735600	569579	20	0.75047	0.000994			
All Reads	ALL	74	1432212	456938	20	0.72959	0.001079			
All Reads	ALL	75	1205854	384911	19	0.729952	0.001177			
All Reads	ALL	76	1039412	318425	20	0.700565	0.001241			
All Reads	ALL	77	914623	275666	19	0.689239	0.001313			
All Reads	ALL	78	813919	241917	19	0.679695	0.001382			
All Reads	ALL	79	710475	205216	18	0.660528	0.001458			
All Reads	ALL	80	605953	169484	18	0.639615	0.001554			
All Reads	ALL	81	510051	137007	19	0.614268	0.00166			
All Reads	ALL	82	428619	116879	19	0.623582	0.001824			
All Reads	ALL	83	352749	93857	18	0.608457	0.001986			
All Reads	ALL	84	276293	79715	18	0.65978	0.002337			
All Reads	ALL	85	200807	54574	18	0.621492	0.00266			
All Reads	ALL	86	134275	38804	18	0.660861	0.003355			
All Reads	ALL	87	88064	26957	17	0.700006	0.004263			
All Reads	ALL	88	60774	17691	17	0.665677	0.005005			
All Reads	ALL	89	39373	12885	17	0.748367	0.006593			
All Reads	ALL	90	25721	7726	16	0.686903	0.007815			
All Reads	ALL	91	16577	10265	18	1.41606	0.013977			
All Reads	ALL	92	9918	3766	16	0.86833	0.01415			
All Reads	ALL	93	6247	3149	17	1.152736	0.020542			
All Reads	ALL	94	3541	85017	17	54.904588	0.188302			
All Reads	ALL	95	1700	763389	18	1026.894345	1.175311			
All Reads	ALL	96	986	251908	16	584.243421	1.164053			
All Reads	ALL	97	658	3802144	16	13213.913307	6.776683			
All Reads	ALL	98	328	1233623	17	8600.771306	7.743658			
All Reads	ALL	99	133	375742	18	6460.511256	10.539549			
All Reads	ALL	100	339	33	15	0.222609	0.038751			


