# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	7ec376f9	73368b5b	fc5b2c62
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	10728648	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	10728648
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	10728648
SN	reads mapped:	10728648
SN	reads mapped and paired:	10727494	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	10688818	# proper-pair bit set
SN	reads paired:	10728648	# paired-end technology bit set
SN	reads duplicated:	57722	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	3016
SN	total length:	1609297200	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	1609297200	# ignores clipping
SN	bases mapped:	1609297200	# ignores clipping
SN	bases mapped (cigar):	1606002163	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	8658300
SN	mismatches:	7679569	# from NM fields
SN	error rate:	4.781792e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	0
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	41.8
SN	insert size average:	413.1
SN	insert size standard deviation:	92.3
SN	inward oriented pairs:	5340986
SN	outward oriented pairs:	7902
SN	pairs with other orientation:	2145
SN	pairs on different chromosomes:	11217
SN	percentage of properly paired reads (%):	99.6
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	274	0	242	1681	2163	1884	2228	2227	2240	1996	2925	3205	3239	4202	4921	5063	7639	6297	8928	9374	8943	10805	12069	20704	16617	14485	22350	36441	16040	53617	29081	77254	61879	86499	200373	309362	1404336	8277065	0	0	0	0	0	0	0	0	0
LFQ	2	23	4	32	1228	1593	1799	1911	1841	2024	2336	2397	3129	3457	3211	4638	6478	5384	7577	8574	8603	10330	8966	14276	14077	15471	20778	23092	21709	33224	32006	26499	45788	42929	84829	78054	94190	199923	266738	7284223	1853252	492055	0	0	0	0	0	0
LFQ	3	0	0	16	958	1099	1329	1518	1545	1747	1786	2124	2676	2772	2952	4051	5891	5032	7049	7668	8126	9676	8438	12406	11997	14979	18042	19672	20121	27938	28563	25687	40851	37943	71185	64626	85675	151455	213859	4238174	2625329	2943693	0	0	0	0	0	0
LFQ	4	0	0	28	1426	1692	1896	2097	2011	2271	2489	2535	3224	3624	3585	4671	6481	5938	7682	8412	8779	10176	9326	13340	12453	15302	19117	20657	19814	28630	28047	26539	41341	37923	68699	64927	84151	149968	210067	4633380	2720353	2445597	0	0	0	0	0	0
LFQ	5	11	0	7	1249	1531	1817	1856	1842	2137	2183	2344	3101	3322	3597	4408	6187	5615	7337	7561	8482	9505	9185	12151	11486	14629	17458	18708	19068	25463	25877	25558	37720	35333	60105	57624	76791	122521	172963	2989983	2486581	4435352	0	0	0	0	0	0
LFQ	6	0	4	72	2089	2611	3086	3083	3027	3201	3429	3539	4343	4983	4696	5938	7991	7328	9055	9917	10344	12073	11080	15061	14222	16970	21198	22998	21122	30989	30119	29326	43569	39212	69627	67309	87088	147661	208411	4269697	2816649	2665531	0	0	0	0	0	0
LFQ	7	14	15	241	3200	4344	4773	4847	4630	4996	5040	5123	6062	6946	5871	7577	10509	9777	11864	12570	12645	14577	13361	18927	18494	18897	25351	29116	23507	40700	35087	34760	52377	45662	86170	84221	99595	200534	260985	6917449	1919883	667951	0	0	0	0	0	0
LFQ	8	2279	7	132	2740	3617	4022	4139	3770	4225	4162	4213	5199	5866	5483	6596	9190	8598	10468	10867	11387	13017	12131	16632	15348	17961	22442	24551	21524	33546	31178	31163	45492	40190	71606	69689	90047	153207	214610	4450811	2875546	2370997	0	0	0	0	0	0
LFQ	9	0	0	144	3433	5349	5116	4680	4998	5086	5735	6011	6647	7096	7820	10637	12579	10472	14279	13293	16910	17730	18474	19774	21227	24761	25932	24698	35513	37651	37969	35926	51596	41314	60136	48621	87692	88992	67402	115932	180955	195699	285433	408451	1219035	7437450	0	0
LFQ	10	0	0	99	2872	4511	4329	4090	4272	4328	4941	5340	5903	6519	7038	9497	11425	9726	12921	12718	15516	16490	16857	18762	19529	23662	23994	24068	32353	35022	35554	33803	48534	42503	54010	49958	80075	81603	68723	114790	167490	181276	266345	406075	1213148	7547979	0	0
