# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	27245b84	8ec029ff	c2e9cc10
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	11488297	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	11488297
SN	is sorted:	1
SN	1st fragments:	11488297
SN	last fragments:	0
SN	reads mapped:	11488297
SN	reads mapped and paired:	11462539	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	11423445	# proper-pair bit set
SN	reads paired:	11488297	# paired-end technology bit set
SN	reads duplicated:	65144	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	2332
SN	total length:	1723244550	# ignores clipping
SN	total first fragment length:	1723244550	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	1723244550	# ignores clipping
SN	bases mapped (cigar):	1720325126	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	9771600
SN	mismatches:	4386948	# from NM fields
SN	error rate:	2.550069e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	43.5
SN	insert size average:	401.4
SN	insert size standard deviation:	87.4
SN	inward oriented pairs:	5705917
SN	outward oriented pairs:	9204
SN	pairs with other orientation:	2731
SN	pairs on different chromosomes:	12267
SN	percentage of properly paired reads (%):	99.4
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	283	0	0	316	366	340	482	244	455	178	503	593	283	673	904	1019	810	1903	2307	660	4238	2423	860	3881	5996	4477	0	10741	10778	10353	18199	0	27329	33316	47217	115193	466671	5870103	4844203	0	0	0	0	0	0	0	0
FFQ	2	211	0	5	200	301	260	291	305	287	367	451	433	578	610	794	1635	1778	1873	2470	2142	3559	2619	4679	3136	5235	6554	5852	7129	9900	8270	12459	13402	17685	15986	22032	23840	40874	27524	77921	93632	183516	486230	2596037	7805235	0	0	0
FFQ	3	18	0	2	145	197	173	194	211	215	255	281	288	409	410	600	1250	1306	1462	1808	1509	2670	1821	3655	2869	3373	5340	4899	5420	7568	7446	9230	10944	15441	13906	19228	20146	35056	27255	67236	90809	184250	496263	2614503	7828236	0	0	0
FFQ	4	0	0	5	200	254	262	275	264	291	315	408	366	515	520	698	1495	1576	1665	2121	1709	3121	1926	4167	2983	3610	5845	5032	6082	7510	6938	9768	10986	16006	13609	18928	20870	33703	27502	67834	88841	186545	510962	2631790	7790800	0	0	0
FFQ	5	2	0	6	485	615	665	616	631	690	905	800	857	995	1372	1443	3458	3557	3824	3947	4048	5760	5536	7664	5247	9497	10609	9827	11034	12639	14891	22165	15588	23650	25256	30347	35484	40324	48274	98432	95378	184112	460648	2570980	7716039	0	0	0
FFQ	6	11	0	55	1046	1356	1191	1196	1254	1162	1501	1352	1533	1635	2172	2422	4951	4625	5079	5304	5653	6971	7423	9834	5833	12782	12842	11922	12793	16514	17060	25945	17335	27530	30753	30978	38622	48668	57608	99362	98238	182380	468799	2571606	7633001	0	0	0
FFQ	7	0	0	243	2458	3090	2758	2713	2554	2443	3296	2614	2936	3139	3489	4634	7581	7270	8146	7866	10179	8493	10936	14963	8002	18241	16941	15302	16876	27936	19915	27346	23476	41504	42975	27899	47710	73236	69912	91032	116306	179727	463271	2528295	7520594	0	0	0
FFQ	8	0	0	171	1777	2331	2160	2032	2005	1911	2447	1901	2250	2362	2800	3567	6381	5920	6805	6437	7889	7835	9274	12277	6621	15633	15054	14141	14481	21810	18441	27352	19939	33126	37172	29650	43875	58631	66118	95246	105224	180005	464418	2548356	7582472	0	0	0
FFQ	9	0	5	181	2148	2560	2382	2270	2521	2332	2437	2729	2753	3011	3104	5389	6690	8115	7681	8939	9419	10938	12054	12807	14964	15264	19005	16145	24405	24198	24460	29124	28679	38335	49472	43750	45626	68715	65750	101518	105603	141426	201546	265217	677405	9377113	112	0
FFQ	10	16	2	148	1947	2277	2227	2001	2244	1998	2359	2504	2376	2746	2929	4893	5929	7384	7226	8079	8957	9904	11048	12211	13862	14314	18098	15290	22067	23797	23212	26161	30586	36274	46225	40672	47685	68510	61316	89494	106048	141195	192842	264534	685283	9419200	227	0
