# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	dabc4717	56b74df7	4782dc73
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	4605457	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	4605457
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	4605457
SN	reads mapped:	4605457
SN	reads mapped and paired:	4604992	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	4591854	# proper-pair bit set
SN	reads paired:	4605457	# paired-end technology bit set
SN	reads duplicated:	152255	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	1589
SN	total length:	690818550	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	690818550	# ignores clipping
SN	bases mapped:	690818550	# ignores clipping
SN	bases mapped (cigar):	689310585	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	22838250
SN	mismatches:	2403608	# from NM fields
SN	error rate:	3.486974e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	0
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	42.7
SN	insert size average:	394.2
SN	insert size standard deviation:	87.4
SN	inward oriented pairs:	2292476
SN	outward oriented pairs:	4640
SN	pairs with other orientation:	414
SN	pairs on different chromosomes:	4238
SN	percentage of properly paired reads (%):	99.7
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	989	0	35	322	624	367	495	562	644	663	762	933	1026	1404	1093	1672	2369	2315	1813	2035	4043	3361	5026	3298	7427	2944	8629	2899	15805	9148	20626	14189	12507	40238	63996	88743	421024	3861431	0	0	0	0	0	0	0	0	0
LFQ	2	1930	2	9	233	287	362	326	356	454	421	643	666	739	914	1069	1515	1334	1619	2083	2059	2266	2838	2736	3875	2863	4586	4455	5762	5071	8025	8179	10331	10502	9762	16991	18573	27581	33246	63713	128561	4209241	9279	0	0	0	0	0
LFQ	3	1	0	1	223	265	338	328	319	508	405	650	672	750	815	1126	1548	1344	1565	2257	2146	2188	3232	2627	4108	2829	4674	4422	6013	4489	9198	8584	10329	11086	10267	16674	19848	28153	35419	58498	123727	4149125	74706	0	0	0	0	0
LFQ	4	0	0	1	318	454	515	520	507	687	586	849	957	986	1168	1427	1930	1674	1895	2824	2472	2494	3596	3072	4698	3148	5372	4983	6758	4777	10130	9265	11213	11448	10845	17213	20929	29943	37649	60284	127784	4161319	38767	0	0	0	0	0
LFQ	5	0	0	0	268	403	447	421	420	647	533	796	865	940	1000	1369	1830	1544	1751	2726	2201	2296	3632	2833	4469	3004	5128	4692	6782	4298	10670	9008	10245	11444	10933	15983	21653	30285	36412	57947	123367	4002233	209982	0	0	0	0	0
LFQ	6	0	0	3	491	641	710	670	736	868	721	1103	1065	1330	1270	1698	2244	1850	2140	3146	2641	2663	4001	3221	5205	3453	5815	5244	7584	4782	11351	9886	11392	12050	11691	16970	22241	31761	38288	59476	128734	4065317	121005	0	0	0	0	0
LFQ	7	0	3	24	804	1061	1153	1095	1045	1289	1086	1491	1539	1669	1677	2069	2705	2323	2592	3708	3177	3235	4774	3946	5840	3931	6278	5810	8423	5546	11931	10416	12583	12664	12767	18455	23552	33387	40275	87559	139736	4047911	75928	0	0	0	0	0
LFQ	8	0	0	15	596	794	903	844	870	1008	923	1194	1259	1488	1383	1922	2478	1979	2232	3573	2760	2744	4601	3283	5396	3545	6024	5445	7764	4604	12228	9778	11599	12173	12019	16670	22978	32533	38179	68856	131686	3887636	279495	0	0	0	0	0
LFQ	9	0	0	8	818	1109	996	1055	1061	1214	1305	1402	1609	1993	2078	2439	2528	3165	3282	3535	3726	4359	4847	5779	5361	7591	6147	7932	8347	11147	11422	12381	10863	16117	16762	19827	18879	26502	31646	37526	42630	63843	101744	130399	503373	3466710	0	0
LFQ	10	40	0	13	720	959	984	949	980	1097	1297	1311	1458	1920	1997	2276	2488	2982	3247	3425	3739	4080	4680	5756	5106	7411	5965	7914	7944	11174	10831	12589	10406	16364	16136	19149	18628	25754	32299	36226	43128	62207	102262	129092	502714	3475760	0	0
