# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	7bc302b5	f44ff2e9	4d1b7094
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	257364	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	257364
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	257364
SN	reads mapped:	257364
SN	reads mapped and paired:	257364	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	257364	# proper-pair bit set
SN	reads paired:	257364	# paired-end technology bit set
SN	reads duplicated:	1045	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	32
SN	total length:	38604600	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	38604600	# ignores clipping
SN	bases mapped:	38604600	# ignores clipping
SN	bases mapped (cigar):	38535816	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	156750
SN	mismatches:	161777	# from NM fields
SN	error rate:	4.198094e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	0
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	41.4
SN	insert size average:	620.9
SN	insert size standard deviation:	14.1
SN	inward oriented pairs:	128667
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	5	0	10	20	29	32	40	30	33	38	44	67	55	86	49	78	108	113	146	141	186	202	213	330	343	257	352	808	281	1195	662	1577	1753	1940	4381	8307	38768	194685	0	0	0	0	0	0	0	0	0
LFQ	2	1	0	2	22	31	27	32	32	38	51	43	56	63	62	62	118	121	127	164	142	185	161	241	252	267	322	487	333	670	578	641	963	823	1465	1652	2028	4156	6022	177643	45533	11748	0	0	0	0	0	0
LFQ	3	0	0	0	8	22	26	25	28	26	30	33	38	78	61	65	95	121	110	126	158	174	157	270	241	262	339	409	359	577	534	562	926	743	1273	1437	1821	3119	4664	104066	64098	70283	0	0	0	0	0	0
LFQ	4	0	0	2	16	38	32	34	40	45	55	37	81	80	72	76	103	115	134	145	181	202	168	265	273	289	383	436	374	643	558	624	1014	733	1307	1523	1843	3232	4860	112784	66257	58310	0	0	0	0	0	0
LFQ	5	0	0	0	17	21	18	31	31	31	34	41	53	65	55	77	107	110	142	141	160	181	166	241	187	260	321	365	326	559	445	515	835	651	1105	1197	1654	2566	3800	73562	60917	106377	0	0	0	0	0	0
LFQ	6	0	0	2	41	33	48	52	45	71	48	43	79	86	89	92	131	151	143	169	189	214	212	263	264	283	385	454	341	611	562	629	982	762	1245	1440	1917	2988	4533	104568	69050	64149	0	0	0	0	0	0
LFQ	7	0	0	15	52	71	78	80	110	69	92	72	106	148	110	140	177	188	213	232	212	253	258	348	355	344	429	623	397	815	603	762	1128	894	1563	1888	2061	4132	5891	169431	47115	15909	0	0	0	0	0	0
LFQ	8	55	0	5	48	70	66	77	66	80	78	84	89	112	105	110	150	169	171	207	217	250	227	294	274	313	394	510	397	670	604	706	1012	739	1294	1449	1893	3151	4728	109202	70519	56779	0	0	0	0	0	0
LFQ	9	0	0	9	72	92	85	95	87	85	102	105	133	148	155	176	213	233	287	274	316	325	409	412	442	520	517	527	774	784	872	833	1075	953	1289	1389	1923	2222	1464	2778	5335	5075	8845	10099	34190	171645	0	0
LFQ	10	0	0	3	43	97	74	75	87	91	87	113	132	127	163	188	209	199	227	251	271	352	387	351	414	558	479	513	727	755	868	769	1084	1030	1129	1487	1766	2122	1603	2697	4774	4639	7948	10293	34667	173515	0	0
LFQ	11	0	0	8	61	106	71	67	101	98	97	130	134	139	167	201	256	216	276	309	319	344	360	375	500	556	539	539	794	758	851	816	1147	1036	1188	1446	1888	2228	1544	2763	5148	4800	8284	10149	34521	172034	0	0
LFQ	12	0	0	8	49	80	90	98	81	91	122	108	136	141	173	209	225	189	243	297	314	338	412	372	446	556	517	561	728	788	851	799	1107	1009	1070	1401	1775	2084	1576	2753	4681	4677	7761	9989	34234	174225	0	0
LFQ	13	0	0	3	60	85	61	94	85	107	98	117	113	132	139	168	219	236	293	297	320	331	384	382	435	531	536	531	691	788	855	733	1139	1070	1101	1491	1767	2094	1676	2678	4689	4607	7618	10314	34381	173915	0	0
LFQ	14	0	0	4	53	97	94	81	93	104	109	114	124	132	153	164	215	201	285	271	345	364	369	392	454	588	492	591	707	777	921	785	1141	1147	1093	1472	1734	2152	1619	2810	4832	4676	7571	10534	33952	173552	0	0
