# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	b099d803	ae52556f	bb4cc4ae
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	71634	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	71634
SN	is sorted:	1
SN	1st fragments:	71634
SN	last fragments:	0
SN	reads mapped:	71634
SN	reads mapped and paired:	71634	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	71634	# proper-pair bit set
SN	reads paired:	71634	# paired-end technology bit set
SN	reads duplicated:	486	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	39
SN	total length:	10745100	# ignores clipping
SN	total first fragment length:	10745100	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	10745100	# ignores clipping
SN	bases mapped (cigar):	10724130	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	72900
SN	mismatches:	30123	# from NM fields
SN	error rate:	2.808899e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	44.0
SN	insert size average:	179.3
SN	insert size standard deviation:	14.0
SN	inward oriented pairs:	35621
SN	outward oriented pairs:	181
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	0	2	1	0	1	0	3	0	2	1	1	2	2	1	4	12	12	2	8	8	5	15	27	17	0	45	45	30	66	0	115	114	200	469	1693	21065	47666	0	0	0	0	0	0	0	0
FFQ	2	0	0	0	0	1	0	1	0	2	2	0	4	1	3	4	8	13	18	16	13	14	17	24	11	19	25	35	34	50	42	50	57	110	103	100	127	178	138	376	479	763	1746	6952	60098	0	0	0
FFQ	3	0	0	0	1	2	1	2	1	0	0	3	1	1	1	1	5	16	11	9	10	7	13	16	22	14	29	25	28	43	56	45	68	104	97	120	137	170	191	368	509	909	1899	7304	59395	0	0	0
FFQ	4	0	0	0	2	2	3	0	3	2	4	0	7	1	2	9	6	10	9	14	9	20	11	30	17	22	39	17	34	39	45	43	59	109	80	104	92	160	139	288	460	783	1859	7421	59680	0	0	0
FFQ	5	0	0	0	0	1	2	2	1	3	7	9	3	0	9	5	28	24	21	13	22	38	26	44	25	47	55	38	57	91	88	106	91	103	141	131	180	221	217	511	491	763	1761	7526	58733	0	0	0
FFQ	6	0	0	1	4	5	4	5	6	7	11	7	7	5	9	13	18	26	23	15	26	28	28	54	38	46	59	68	65	97	91	123	113	124	139	125	173	203	223	500	472	743	1804	7855	58271	0	0	0
FFQ	7	0	0	0	7	9	12	9	13	9	11	13	9	8	7	17	38	35	22	27	45	37	60	67	32	88	72	62	72	113	99	119	118	164	212	170	198	323	311	427	558	766	1653	8102	57520	0	0	0
FFQ	8	0	0	1	9	5	10	6	8	8	9	4	5	9	15	9	28	25	37	39	33	46	41	62	28	75	66	50	58	96	74	115	96	156	182	149	181	242	284	459	429	773	1759	8051	57902	0	0	0
FFQ	9	0	0	0	2	12	4	5	7	10	7	13	8	14	10	28	30	29	32	33	34	47	50	52	67	55	82	68	104	103	124	150	119	175	187	208	206	288	330	485	476	592	878	1084	2643	62783	0	0
FFQ	10	0	0	0	6	6	13	13	5	7	11	7	11	10	10	25	21	33	28	46	33	43	42	55	52	52	87	75	101	110	105	112	136	167	198	195	219	285	294	402	472	637	848	1022	2526	63112	2	0
FFQ	11	0	0	1	4	8	4	8	14	6	4	12	10	8	12	27	23	32	31	26	34	58	52	34	63	69	83	68	89	92	92	108	146	175	188	175	215	333	297	395	447	594	792	1091	2697	63017	0	0
FFQ	12	2	0	0	3	11	10	13	4	8	13	12	11	8	13	20	20	26	27	31	30	39	37	43	67	49	82	73	92	111	101	103	129	153	180	174	207	327	288	406	470	587	745	1038	2490	63378	3	0
FFQ	13	0	0	0	2	12	10	5	8	6	9	9	9	15	4	24	20	32	38	30	41	42	33	49	76	47	83	67	92	110	95	95	142	163	156	188	196	308	275	358	481	604	746	1070	2527	63356	1	0
FFQ	14	0	0	0	6	8	7	12	7	9	5	9	9	18	6	21	23	40	38	36	44	36	40	54	69	47	72	72	80	98	98	103	141	198	173	185	225	285	278	380	455	592	783	1089	2603	63157	23	0
FFQ	15	0	0	1	8	15	7	8	4	5	9	11	7	8	18	24	26	23	25	30	30	33	37	46	74	65	78	79	78	115	99	98	131	167	164	197	238	285	291	361	449	547	786	1068	2608	63262	19	0
FFQ	16	0	0	1	9	16	15	12	13	14	16	15	23	15	14	24	25	29	40	44	27	51	39	60	55	55	63	88	94	93	107	123	124	147	179	230	192	237	342	343	465	601	674	1300	1420	5142	59058	0
FFQ	17	0	0	0	10	11	16	18	11	14	14	22	14	24	19	26	25	15	33	34	29	42	44	57	55	49	78	92	80	102	129	121	125	144	192	234	189	237	330	332	446	630	671	1356	1410	5571	58583	0
FFQ	18	0	0	0	11	16	15	15	14	16	11	19	8	12	29	28	28	24	31	42	37	43	51	55	64	61	63	70	90	96	100	143	109	144	181	217	176	242	350	382	399	517	669	1309	1500	5199	59048	0
FFQ	19	0	0	1	13	10	6	16	9	11	17	15	18	25	15	16	20	23	32	42	39	46	39	62	52	63	64	86	68	84	122	131	117	162	191	253	161	203	359	376	419	583	658	1291	1394	5447	58875	0
FFQ	20	3	0	1	7	15	14	11	10	13	16	16	14	17	20	27	20	20	30	44	39	42	40	49	54	70	70	89	81	88	85	123	120	147	171	210	170	238	354	348	399	581	703	1280	1371	5142	59272	0
FFQ	21	0	0	1	14	16	13	12	19	9	15	13	13	20	32	24	26	29	32	36	29	40	41	50	52	49	70	96	96	103	110	133	129	169	177	205	198	212	303	321	441	539	665	1301	1388	5496	58897	0
FFQ	22	6	0	3	10	21	20	18	11	10	18	12	17	12	22	24	20	28	30	34	34	39	46	61	67	56	57	90	84	86	90	131	101	132	179	235	161	251	330	351	409	563	663	1376	1447	5526	58753	0
FFQ	23	0	0	0	14	10	14	9	18	11	18	16	15	21	17	14	27	27	40	31	31	36	44	50	56	50	48	74	69	91	108	130	126	167	172	209	170	248	308	380	462	531	662	1320	1417	5292	59081	0
FFQ	24	0	0	1	13	17	16	10	13	6	18	25	11	7	17	20	23	21	41	24	25	55	40	45	61	65	61	84	87	84	91	126	119	165	191	214	181	234	311	355	413	546	667	1335	1343	5480	58973	0
FFQ	25	1	0	0	12	12	9	21	16	10	19	11	17	16	20	25	19	24	33	32	30	58	47	32	52	54	56	73	85	83	70	117	123	168	175	234	172	232	324	312	392	565	726	1285	1257	4994	59621	0
FFQ	26	34	0	0	16	11	15	9	13	12	15	13	16	26	23	25	21	23	30	29	27	33	42	50	51	45	60	85	72	104	117	130	114	140	171	200	177	225	318	369	410	501	677	1246	1287	5433	59219	0
FFQ	27	0	0	0	9	17	21	18	14	13	9	20	15	20	24	20	24	29	28	34	38	45	37	56	59	62	45	54	80	119	97	155	98	169	174	201	165	222	304	373	437	538	644	1304	1421	5471	58951	0
FFQ	28	0	0	1	9	18	12	18	11	13	17	9	17	19	20	27	22	31	26	33	35	32	43	39	56	75	60	92	77	109	85	139	108	147	176	180	149	262	287	325	414	537	624	1221	1303	5350	59406	0
FFQ	29	1	0	0	12	10	15	8	12	16	15	9	22	16	22	23	28	25	29	36	31	46	46	40	54	54	62	83	59	93	94	121	101	143	179	203	165	234	312	342	411	535	639	1294	1348	5264	59382	0
FFQ	30	9	0	1	11	12	13	18	10	14	18	15	20	23	20	15	23	30	28	35	40	32	34	57	59	52	58	98	68	98	80	131	123	153	193	204	159	216	299	366	390	512	579	1287	1250	5396	59385	0
FFQ	31	6	0	0	13	11	16	12	16	17	18	20	10	23	21	19	23	21	33	15	27	45	43	42	56	54	68	91	64	107	95	126	111	152	171	209	169	239	291	377	378	548	625	1259	1298	5376	59319	0
FFQ	32	0	0	0	10	7	12	15	10	19	13	14	14	19	16	26	28	22	29	32	33	43	44	40	33	59	57	68	81	87	83	142	96	131	151	209	165	213	308	343	426	532	594	1270	1328	5416	59396	0
FFQ	33	4	0	1	8	11	7	15	15	15	17	17	17	13	26	19	22	18	19	36	29	47	35	43	42	58	52	68	65	94	96	127	105	148	178	196	154	228	288	351	426	520	604	1214	1314	5463	59409	0
FFQ	34	1	0	1	11	8	7	8	15	11	14	12	18	14	23	18	20	27	35	27	30	41	32	40	56	59	61	75	69	89	101	117	96	139	203	205	159	192	306	329	378	489	581	1233	1284	5296	59704	0
FFQ	35	0	0	1	11	12	15	11	14	15	13	12	15	9	17	19	25	25	36	19	37	52	28	43	55	57	55	72	77	96	77	120	84	118	177	200	183	197	272	370	378	493	621	1231	1222	5420	59630	0
FFQ	36	0	0	0	12	18	15	16	15	18	11	11	18	15	25	26	24	18	19	42	24	29	36	40	50	45	56	71	71	99	94	115	94	145	143	183	146	213	285	372	408	506	572	1243	1229	5478	59584	0
FFQ	37	3	0	1	13	14	15	8	12	14	17	14	14	10	17	27	20	14	27	19	21	34	37	46	64	56	47	76	71	91	84	153	94	129	166	196	168	215	281	364	364	485	633	1231	1241	5570	59458	0
FFQ	38	4	0	0	4	18	19	12	10	19	20	17	13	20	16	19	28	27	35	22	44	37	36	43	54	57	63	83	65	86	102	109	87	132	168	203	146	216	258	336	390	500	584	1162	1281	5263	59826	0
FFQ	39	9	0	1	10	16	7	14	20	13	19	13	9	8	14	16	14	27	29	24	27	29	34	45	44	60	57	56	71	97	94	115	84	145	177	215	140	224	307	400	401	463	597	1079	1282	5632	59496	0
FFQ	40	8	0	1	10	11	12	12	13	10	14	9	18	15	13	14	23	24	29	25	26	24	30	51	56	49	54	67	74	88	92	104	106	118	146	183	157	208	266	347	365	457	656	1176	1249	5587	59637	0
FFQ	41	0	0	0	9	15	14	14	6	19	10	15	10	14	17	28	22	23	30	27	30	38	41	38	42	35	44	74	77	77	94	110	100	133	152	187	144	200	290	353	387	473	628	1143	1254	5454	59763	0
FFQ	42	1	0	1	10	18	10	12	9	8	13	20	15	17	26	16	19	20	35	21	37	37	36	39	60	45	69	54	71	75	93	92	89	126	147	186	149	214	284	352	386	458	612	1169	1253	5765	59465	0
FFQ	43	1	0	0	14	13	16	13	13	14	15	11	13	15	23	18	23	11	23	22	30	39	44	42	34	52	50	69	81	72	96	99	76	124	157	181	148	201	281	322	382	434	555	1137	1281	5299	60090	0
FFQ	44	0	0	0	8	14	8	13	9	13	15	18	12	14	15	15	23	19	28	17	29	36	37	41	49	42	62	76	72	92	106	106	89	141	144	226	128	212	263	304	391	471	574	1127	1227	5432	59916	0
FFQ	45	2	0	0	6	15	15	5	5	9	12	14	13	15	27	13	33	27	29	28	46	34	41	46	71	41	57	62	74	80	93	110	84	133	156	170	136	214	283	314	392	481	583	1128	1324	5591	59622	0
FFQ	46	0	0	0	7	7	16	11	10	15	11	11	16	13	13	13	24	22	28	30	27	27	33	40	66	35	49	68	73	73	94	114	93	133	137	205	149	203	268	330	401	414	587	1104	1258	5127	60279	0
FFQ	47	0	0	0	12	10	10	9	16	7	11	14	12	11	21	13	15	25	41	33	31	23	36	40	50	56	56	65	87	87	95	115	95	137	139	213	145	212	278	319	370	447	598	1101	1354	5471	59754	0
FFQ	48	0	0	0	4	15	12	9	11	12	15	17	11	14	15	11	20	27	20	29	37	33	48	33	50	42	67	61	77	72	103	112	88	142	147	203	141	214	252	310	386	468	542	1092	1309	5284	60079	0
FFQ	49	0	0	1	7	16	15	10	17	13	21	8	17	14	21	26	24	20	19	28	36	48	42	38	50	45	54	72	91	70	81	108	89	121	150	178	112	202	248	325	363	442	601	1130	1324	5081	60256	0
FFQ	50	1	0	0	6	12	8	7	14	6	16	13	10	13	19	24	16	26	16	38	31	37	33	46	49	40	69	63	59	76	86	120	90	135	167	202	119	218	258	319	373	452	581	1108	1315	5276	60067	0
