# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	a62694fa	9460f6a5	45777536
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	610740	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	610740
SN	is sorted:	1
SN	1st fragments:	610740
SN	last fragments:	0
SN	reads mapped:	610740
SN	reads mapped and paired:	610740	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	610740	# proper-pair bit set
SN	reads paired:	610740	# paired-end technology bit set
SN	reads duplicated:	2634	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	27
SN	total length:	91611000	# ignores clipping
SN	total first fragment length:	91611000	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	91611000	# ignores clipping
SN	bases mapped (cigar):	91515744	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	395100
SN	mismatches:	294859	# from NM fields
SN	error rate:	3.221948e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	42.8
SN	insert size average:	571.9
SN	insert size standard deviation:	14.2
SN	inward oriented pairs:	305357
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	15	0	0	21	18	15	27	17	30	8	41	24	15	39	57	70	71	117	143	43	274	157	27	306	460	265	0	796	857	655	1349	0	2086	2954	3161	9168	40032	448128	99294	0	0	0	0	0	0	0	0
FFQ	2	8	0	0	12	22	15	14	20	25	32	30	29	41	38	52	89	130	119	136	137	230	179	298	210	365	427	359	543	721	579	885	926	1234	1065	1577	1710	3328	1844	6147	6984	15340	46028	261686	257126	0	0	0
FFQ	3	0	0	0	6	8	4	7	22	10	8	18	21	17	13	27	74	89	85	89	87	173	124	224	146	246	325	305	403	489	450	640	753	1012	906	1347	1447	2831	1825	4869	6755	15084	47368	271279	251154	0	0	0
FFQ	4	0	0	0	12	14	16	8	11	22	22	31	16	33	28	45	101	114	88	169	106	199	117	253	207	280	382	323	442	501	511	722	716	1089	906	1228	1606	2683	1812	5119	6607	15924	49645	264169	254463	0	0	0
FFQ	5	1	0	0	34	49	39	29	41	46	63	44	60	80	84	110	237	236	246	327	258	407	388	568	303	721	801	688	802	896	1054	1794	1118	1746	1759	2205	2487	3341	3716	7338	6884	15415	43977	259054	251294	0	0	0
FFQ	6	0	0	11	76	89	82	85	104	78	127	121	110	131	136	198	368	327	400	420	407	573	571	709	383	1007	974	844	960	1194	1236	1964	1240	2056	2257	2291	2765	3925	4722	7326	7444	15294	44391	250171	253173	0	0	0
FFQ	7	0	0	20	188	216	205	193	192	176	242	204	211	230	232	340	559	527	599	581	766	594	791	1148	534	1366	1248	1135	1305	2138	1421	1970	1643	3211	3237	1935	3518	5760	5523	6481	8902	14285	42994	236528	257392	0	0	0
FFQ	8	0	0	14	139	180	169	128	149	131	191	143	178	146	190	284	444	417	433	518	525	577	702	849	418	1202	1109	1072	1115	1688	1338	2062	1373	2525	2768	2049	3272	4574	5332	7072	7976	14350	43539	243470	255929	0	0	0
FFQ	9	0	1	13	167	179	159	156	168	150	187	219	204	219	230	364	515	565	538	639	639	824	917	912	1067	1179	1386	1162	1908	1810	1724	2183	2167	2849	3862	3189	3640	5133	4365	8045	7857	10879	16354	21561	57768	442684	3	0
FFQ	10	2	3	13	152	162	158	182	169	163	153	184	184	193	223	348	442	527	507	569	616	656	810	836	1029	1058	1323	1080	1598	1792	1622	1877	2235	2638	3666	2902	3613	5072	4235	6879	8004	10696	15643	21921	59907	444691	7	0
FFQ	11	2	1	19	177	204	197	190	204	164	188	210	205	218	264	341	487	590	548	640	712	681	819	959	1107	1041	1385	1178	1775	1802	1736	2070	2391	2774	3715	2822	3755	5185	4299	7010	8024	10811	15541	21895	59280	443119	5	0
FFQ	12	2	1	14	133	173	124	133	152	159	179	173	195	195	198	345	417	552	485	615	653	637	767	842	958	1122	1162	1074	1538	1786	1638	1908	2244	2613	3424	2709	3983	5088	3911	6291	8105	10706	14918	21998	60200	446216	4	0
FFQ	13	0	0	18	148	155	159	151	185	160	164	205	182	209	231	370	438	542	475	602	648	674	733	926	921	1102	1279	1108	1544	1769	1646	1726	2333	2644	3488	2650	3925	5142	3920	6232	8216	10701	14686	22069	60942	445316	6	0
FFQ	14	0	0	28	191	219	200	184	176	146	205	212	208	207	270	371	409	575	532	591	710	689	776	908	1128	1095	1205	1117	1560	1837	1598	1704	2530	2767	3237	2647	4224	4938	3810	5876	8355	10477	14716	22229	61747	444054	82	0
FFQ	15	0	0	16	169	211	170	183	179	167	202	173	207	222	260	384	415	540	518	604	682	659	740	921	1013	1136	1250	1078	1538	1819	1523	1695	2599	2828	3167	2467	4434	5108	3854	5574	8217	10318	14410	22375	62770	443879	66	0
FFQ	16	0	0	21	236	334	280	274	282	283	282	302	322	378	358	423	422	441	530	650	657	849	747	934	983	1153	1194	1514	1589	1755	2070	2010	2692	2488	2980	3933	4050	3398	6348	5823	7137	10105	12856	20016	29123	93850	384668	0
FFQ	17	0	0	14	265	303	294	302	289	308	303	266	316	401	395	397	503	455	606	643	636	778	760	958	1019	1176	1204	1458	1523	1855	2030	2030	2823	2554	2932	3958	4213	3511	6363	5936	7375	10089	13011	20297	29269	95387	381535	0
FFQ	18	0	0	10	257	338	297	301	260	297	315	296	325	351	358	436	473	423	623	671	603	823	767	995	1031	1155	1188	1399	1552	1813	1925	2041	2584	2564	2840	3917	4079	3445	6402	5784	7298	9954	12775	19975	28975	93175	385650	0
FFQ	19	0	0	30	238	374	293	285	277	305	290	296	354	357	391	406	486	465	565	631	637	840	766	934	1007	1181	1132	1453	1529	1865	1875	2098	2629	2513	2985	3950	3899	3445	6248	5793	7297	10078	12783	19730	28564	93045	386421	0
FFQ	20	14	0	26	250	330	282	260	267	278	276	306	372	332	376	397	465	442	605	655	649	781	715	950	999	1165	1201	1406	1607	1817	1940	2051	2616	2501	2934	3832	3904	3387	6277	5792	7219	9934	12610	20167	28500	92148	387705	0
FFQ	21	0	1	20	274	298	294	296	284	275	333	298	317	365	385	410	564	463	594	652	660	793	796	1021	1008	1124	1212	1444	1511	1868	1858	2051	2701	2602	3022	3815	3949	3536	6222	5922	7173	10120	12646	19637	28877	93438	385611	0
FFQ	22	25	0	33	240	304	253	281	300	317	298	294	354	335	392	400	498	460	557	686	622	835	763	935	983	1119	1182	1472	1553	1833	1912	2022	2562	2536	2999	3882	3986	3539	6221	5817	7164	10124	12771	19990	29061	93310	385520	0
FFQ	23	3	0	13	217	303	272	232	258	285	279	307	344	323	365	403	508	425	529	667	576	820	771	863	1020	1102	1160	1409	1502	1894	1910	2141	2569	2434	2974	3895	3909	3481	6131	5992	7279	9782	12571	20148	28752	93298	386624	0
FFQ	24	1	1	19	260	316	273	273	249	296	273	300	355	313	389	397	504	465	623	668	675	820	730	983	984	1197	1205	1398	1515	1857	1855	2074	2523	2571	3043	3820	3979	3531	6292	5780	7231	9975	12416	19977	28686	93187	386461	0
FFQ	25	3	1	19	256	319	263	277	220	251	242	295	329	327	311	354	484	483	516	578	584	766	750	888	1033	1142	1156	1377	1417	1760	1791	2141	2481	2546	2851	3637	3822	3485	6140	5846	7198	9492	12332	20064	28337	91030	391146	0
FFQ	26	222	0	13	254	310	291	283	261	281	268	311	342	333	361	389	519	478	518	653	622	772	734	963	987	1088	1195	1474	1526	1837	1767	2189	2434	2577	3067	3691	3938	3502	6068	6128	7149	9818	12149	19923	28523	92395	388137	0
FFQ	27	0	1	24	260	319	307	265	291	292	284	331	343	349	362	394	508	504	591	706	628	815	841	927	939	1113	1213	1547	1427	1901	1823	2218	2425	2570	3133	3630	4012	3634	6122	6241	7151	9761	12207	20238	28508	93441	386144	0
FFQ	28	2	0	29	227	291	294	263	292	292	288	305	349	347	394	369	519	491	564	664	635	828	832	866	984	1165	1166	1490	1373	1913	1735	2128	2534	2634	3126	3461	3990	3698	5734	6325	7192	9560	11773	20053	28606	92976	387983	0
FFQ	29	4	0	18	233	330	260	284	255	258	276	257	350	365	376	412	484	531	540	684	635	769	821	916	996	1168	1228	1561	1269	1819	1733	2238	2315	2633	3049	3419	3999	3709	5752	6502	7137	9455	11612	19809	28142	92445	389692	0
FFQ	30	70	0	31	228	376	271	290	279	295	276	284	310	329	375	394	456	492	524	656	591	785	877	911	978	1126	1161	1495	1313	1857	1728	2258	2372	2598	3064	3517	4180	3821	5716	6448	7192	9611	11614	19776	28420	92639	388756	0
FFQ	31	52	0	22	233	314	291	273	259	296	279	298	306	350	388	346	483	504	529	691	606	793	796	903	993	1186	1211	1521	1291	1884	1746	2236	2358	2542	3116	3266	3943	3767	5850	6587	7139	9451	11489	19715	28248	92789	389400	0
FFQ	32	1	1	26	254	288	286	263	266	256	283	332	350	395	354	388	455	526	539	640	632	753	838	967	983	1211	1179	1493	1302	1855	1811	2198	2238	2609	3114	3360	4048	3840	5675	6589	7203	9371	11294	19601	28142	93058	389473	0
