# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	50c0ca0f	64d75857	6a165be6
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	524	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	524
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	524
SN	reads mapped:	524
SN	reads mapped and paired:	524	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	524	# proper-pair bit set
SN	reads paired:	524	# paired-end technology bit set
SN	reads duplicated:	6	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	3
SN	total length:	78600	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	78600	# ignores clipping
SN	bases mapped:	78600	# ignores clipping
SN	bases mapped (cigar):	78276	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	900
SN	mismatches:	817	# from NM fields
SN	error rate:	1.043743e-02	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	0
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	36.4
SN	insert size average:	810.8
SN	insert size standard deviation:	8.3
SN	inward oriented pairs:	255
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	0	0	4	0	3	4	7	2	4	4	7	4	11	6	6	32	28	35	107	254	0	0	0	0	0	0	0	0	0
LFQ	2	0	0	0	2	0	0	0	0	0	0	1	0	1	0	4	0	0	0	1	1	2	1	1	2	1	4	5	3	5	7	8	10	3	3	10	6	10	7	21	77	328	0	0	0	0	0	0
LFQ	3	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	1	0	2	2	0	3	0	3	2	4	3	3	2	1	4	7	3	5	11	13	26	14	17	70	323	0	0	0	0	0	0
LFQ	4	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	1	4	1	2	3	3	5	4	4	5	2	1	4	6	8	3	9	7	13	15	24	22	65	307	1	0	0	0	0	0
LFQ	5	0	0	0	0	0	1	0	0	0	0	1	1	0	2	1	2	1	0	4	2	0	0	1	4	2	4	1	8	2	7	12	4	5	9	2	7	24	14	18	75	302	8	0	0	0	0	0
LFQ	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	3	1	1	0	1	3	3	5	3	1	1	12	7	5	5	11	14	15	18	18	18	66	304	3	0	0	0	0	0
LFQ	7	0	0	0	1	0	0	1	0	0	3	1	1	0	0	1	5	0	0	3	0	2	5	1	3	2	2	4	4	3	6	4	11	3	9	6	13	19	12	16	73	307	3	0	0	0	0	0
LFQ	8	0	0	0	0	2	0	1	0	0	0	1	1	2	0	0	1	0	2	4	4	0	1	0	4	1	1	3	5	2	10	14	5	3	12	3	12	19	15	19	69	296	12	0	0	0	0	0
LFQ	9	0	0	0	0	0	1	0	1	1	1	1	1	4	2	1	2	2	3	2	2	3	1	3	0	8	3	6	2	7	4	4	7	6	12	13	7	17	17	11	32	17	44	46	107	123	0	0
LFQ	10	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	1	3	1	3	3	2	1	1	2	8	5	5	3	8	7	8	1	12	9	7	3	21	14	14	12	29	52	40	119	125	0	0
LFQ	11	0	0	0	2	0	0	1	1	0	0	0	0	1	0	3	3	3	5	1	2	2	1	1	0	3	6	3	3	8	7	8	3	7	11	8	6	16	12	21	16	27	52	47	110	124	0	0
LFQ	12	0	0	0	0	0	0	0	1	0	0	2	1	1	1	1	0	3	3	2	0	3	3	0	4	5	4	7	7	10	12	5	7	9	8	3	3	13	12	20	27	27	60	33	118	109	0	0
LFQ	13	0	0	0	0	2	0	1	2	0	2	0	1	1	1	4	2	3	1	3	1	4	0	4	0	6	3	8	2	5	4	15	4	12	9	8	9	8	15	15	20	32	50	38	114	115	0	0
LFQ	14	0	0	0	1	0	0	3	1	0	2	0	2	2	0	5	2	1	1	6	0	0	1	4	1	5	1	4	6	7	5	12	1	16	9	6	13	18	17	20	26	9	48	41	100	128	0	0
LFQ	15	0	0	0	0	0	1	2	0	0	2	2	1	2	0	2	3	3	1	0	2	2	3	2	0	8	4	3	6	11	8	6	3	9	7	4	5	16	16	23	28	15	41	36	116	131	0	0
LFQ	16	0	0	0	2	1	1	0	1	1	2	3	2	0	1	0	2	2	0	1	2	5	3	3	6	7	0	4	5	6	13	9	6	7	7	15	4	14	14	23	17	16	18	46	31	134	90	0
LFQ	17	0	0	1	0	2	1	2	1	0	1	0	1	1	1	0	1	4	0	4	4	5	1	5	1	5	3	8	5	1	6	7	1	7	6	16	9	17	24	14	21	24	24	32	50	114	94	0
LFQ	18	0	0	0	1	0	1	1	2	2	1	1	0	0	1	0	2	0	2	0	3	4	4	2	6	1	4	5	10	4	12	12	7	7	4	14	7	8	11	14	16	24	30	43	49	126	83	0
LFQ	19	0	0	0	1	1	0	1	3	0	3	1	0	1	1	0	1	2	3	1	2	2	1	3	7	8	5	4	3	4	8	7	9	8	5	17	10	18	22	9	13	20	23	38	48	122	89	0
LFQ	20	0	0	0	0	1	2	1	1	1	1	1	2	0	1	2	1	1	0	2	3	2	4	4	2	0	1	7	5	3	7	7	5	7	9	15	11	14	20	19	18	25	15	45	41	127	91	0
LFQ	21	0	0	0	0	0	1	1	1	1	1	1	0	3	0	0	3	2	3	0	0	4	6	2	1	4	3	6	3	3	10	6	3	9	7	14	11	16	21	14	16	23	25	57	35	119	89	0
LFQ	22	0	0	0	0	2	0	1	1	1	3	0	0	2	2	0	5	2	0	3	1	2	5	2	3	3	7	4	3	0	6	13	9	3	12	22	3	19	11	16	11	20	27	42	42	138	78	0
