# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	7ed417b4	0aca185f	2b033df8
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	753467	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	753467
SN	is sorted:	1
SN	1st fragments:	753467
SN	last fragments:	0
SN	reads mapped:	753467
SN	reads mapped and paired:	753467	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	753467	# proper-pair bit set
SN	reads paired:	753467	# paired-end technology bit set
SN	reads duplicated:	24244	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	39
SN	total length:	113020050	# ignores clipping
SN	total first fragment length:	113020050	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	113020050	# ignores clipping
SN	bases mapped (cigar):	112899903	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	3636600
SN	mismatches:	296242	# from NM fields
SN	error rate:	2.623935e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	0
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	0
SN	average quality:	43.8
SN	insert size average:	375.1
SN	insert size standard deviation:	14.3
SN	inward oriented pairs:	376718
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	4	0	0	7	7	15	14	10	10	11	23	22	16	19	15	44	25	67	120	5	121	116	51	125	274	212	0	378	567	479	569	0	1702	1095	2279	4960	20106	292231	427768	0	0	0	0	0	0	0	0
FFQ	2	1425	0	0	4	4	11	12	6	13	12	5	11	16	5	18	59	27	59	72	42	91	60	101	142	69	137	240	49	277	521	189	372	447	473	812	728	1507	947	2362	3730	8806	24271	121940	583395	0	0	0
FFQ	3	43	0	0	4	6	7	7	5	6	10	9	15	13	13	10	73	27	39	71	35	83	59	107	139	65	119	202	41	220	570	181	370	486	485	789	816	1505	1021	2430	3863	9362	24763	123110	582288	0	0	0
FFQ	4	0	0	0	6	6	11	9	13	10	11	11	28	16	17	28	65	25	53	89	76	118	63	137	137	93	152	267	70	295	563	249	348	513	521	878	918	1620	1080	2517	4114	9767	25925	128659	573989	0	0	0
FFQ	5	0	0	0	15	20	23	13	17	23	21	13	23	35	32	42	112	71	96	118	89	233	96	208	257	157	288	346	171	449	705	355	569	758	651	1141	1092	1896	1361	3138	4606	10077	25820	126453	571877	0	0	0
FFQ	6	0	0	4	41	57	57	40	40	42	35	44	59	47	40	76	146	100	157	161	155	256	106	286	285	257	286	411	295	580	688	414	713	889	712	1199	1215	2020	1392	3403	4922	10283	27105	130779	563670	0	0	0
FFQ	7	0	0	6	58	62	42	48	86	69	67	84	76	80	70	92	212	152	187	244	173	315	139	407	329	302	395	430	383	625	708	564	765	986	845	1263	1430	2193	1596	3732	5142	10541	27588	132951	558030	0	0	0
FFQ	8	0	0	4	46	77	56	48	49	51	59	44	55	88	47	87	173	126	153	203	166	267	130	326	286	250	340	405	318	549	797	466	686	964	759	1254	1244	2111	1465	3489	4885	10443	26794	130295	563412	0	0	0
FFQ	9	0	0	5	67	72	77	62	81	74	67	90	89	101	114	149	164	254	198	287	316	290	380	436	461	490	570	646	775	810	817	1104	984	1876	1045	1652	2166	2139	2773	3652	4048	6624	5628	15972	34449	461099	200314	0
FFQ	10	107	1	17	56	84	81	67	63	51	81	63	87	80	102	140	160	280	228	280	367	269	342	448	444	510	513	701	802	797	765	1020	986	1708	1056	1702	2189	1990	2739	3544	3787	6986	5312	15960	34301	429981	232220	0
FFQ	11	0	0	8	77	87	91	76	91	70	101	105	117	91	130	168	202	288	220	316	393	317	390	499	525	568	575	762	817	874	801	1102	1069	1826	1188	1798	2243	2171	2820	3657	4119	6668	5729	16295	35484	454780	203759	0
