Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
aviti_hq | KMS12BM-20231208_PLT-04_EBSL-0477-OBPA_KMS-812-5mil-DE090-2A1A-3.KMS12BM-20231208_PLT-04_EBSL-0477-OBPA_KMS-812-5mil-DE090-2A1A-3_1	KMS12BM	1089908.0	537581656.0	3943904.0	1445306.0	315420.0	5150448.0	31145.0	0.009864	28043176559.0
aviti_hq | MM1S-20231208_PLT-04_EBSL-0478-OBPA_MM1-S-5mil-DE090-3A1A-2.MM1S-20231208_PLT-04_EBSL-0478-OBPA_MM1-S-5mil-DE090-3A1A-2_1	MM1S	1065273.0	524109981.0	4303058.0	1386433.0	287394.0	7072139.0	33176.0	0.013754	19334641174.0
aviti_hq | OPM2-20231208_PLT-04_EBSL-0478-OBPA_5mil-OPM2-DE090-1A1A-3.OPM2-20231208_PLT-04_EBSL-0478-OBPA_5mil-OPM2-DE090-1A1A-3_1	OPM2	982350.0	525093543.0	3534626.0	1266060.0	237509.0	6044441.0	39792.0	0.011726	22780313078.0
aviti_hq | REH-20231208_PLT-04_EBSL-0478-OBPA_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1.REH-20231208_PLT-04_EBSL-0478-OBPA_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1_1	REH	1016701.0	473635277.0	3665128.0	1325311.0	264741.0	4909100.0	25767.0	0.010633	22808340293.0
aviti_ngi | KMS12BM-B2403418436_KMS-812-5mil-DE090-2A1A-3.KMS12BM-B2403418436_KMS-812-5mil-DE090-2A1A-3_1	KMS12BM	429479.0	189655265.0	1401922.0	546021.0	115627.0	6360345.0	545544.0	0.033803	3011760551.0
aviti_ngi | MM1S-B2403418437_MM1-S-5mil-DE090-3A1A-1.MM1S-B2403418437_MM1-S-5mil-DE090-3A1A-1_1	MM1S	426724.0	190710750.0	1600308.0	541182.0	106573.0	7054101.0	515343.0	0.037226	2702375481.0
aviti_ngi | OPM2-B2403418431_5mil-OPM2-DE090-1A1A-1.OPM2-B2403418431_5mil-OPM2-DE090-1A1A-1_1	OPM2	430847.0	215129027.0	1454790.0	537415.0	97660.0	7810238.0	685348.0	0.036495	3155259733.0
aviti_ngi | REH-B2403418440_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1.REH-B2403418440_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1_1	REH	424447.0	162726662.0	1306021.0	532957.0	99459.0	5112507.0	298070.0	0.031682	2685578368.0
xplus_sns | KMS12BM-L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A_2.KMS12BM-L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A_2_1	KMS12BM	1632620.0	691446690.0	5450509.0	4285542.0	702838.0	147038309.0	122540863.0	0.21291	6414840608.0
xplus_sns | MM1S-L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A.MM1S-L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A_1	MM1S	1498825.0	684708661.0	5956837.0	3618779.0	658946.0	154590095.0	128076435.0	0.226009	5655959459.0
xplus_sns | OPM2-L002_Sample_FU-199-5mil-OPM2-DE090-1A1A_2.OPM2-L002_Sample_FU-199-5mil-OPM2-DE090-1A1A_2_1	OPM2	1635734.0	783916337.0	5643650.0	4325730.0	745683.0	176614836.0	146648771.0	0.225538	6562033738.0
xplus_sns | REH-L002_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1.REH-L002_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1_1	REH	1541183.0	638161668.0	5394042.0	3718103.0	683393.0	153058073.0	130815768.0	0.240088	5615886957.0
