# This file was produced by samtools stats (1.21+htslib-1.21) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /Users/pontus.hojer/analysis/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/GRCh38_GIABv3_no_alt_analysis_set_maskedGRC_decoys_MAP2K3_KMT2C_KCNJ18.fasta.gz -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	3f1de53f	e578a3a5	eb4b1e6f
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	245603	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	245603
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	245603
SN	reads mapped:	245603
SN	reads mapped and paired:	245603	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	245603	# proper-pair bit set
SN	reads paired:	245603	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	34
SN	total length:	36840116	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	36840116	# ignores clipping
SN	bases mapped:	36840116	# ignores clipping
SN	bases mapped (cigar):	36780194	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	115430	# from NM fields
SN	error rate:	3.138374e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	0
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	41.9
SN	insert size average:	640.1
SN	insert size standard deviation:	27.7
SN	inward oriented pairs:	122775
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	0	0	4	28	32	23	33	37	46	32	47	45	54	88	88	123	208	136	293	216	269	367	410	345	941	462	556	665	1174	2016	1348	2287	2789	3198	6383	11917	53637	155306	0	0	0	0	0	0	0	0	0
LFQ	2	0	0	0	28	30	36	31	42	43	46	57	70	105	81	110	170	205	180	177	269	302	263	411	412	452	522	698	507	1105	712	1130	1387	1251	1722	2487	2507	5747	5862	93289	13055	110045	57	0	0	0	0	0
LFQ	3	0	0	0	11	11	31	29	29	28	47	56	56	76	69	95	137	143	150	187	219	275	271	317	372	372	575	477	493	758	676	896	1308	1122	1113	2030	2099	3364	4375	29166	44290	149764	116	0	0	0	0	0
LFQ	4	0	0	1	21	23	31	21	32	22	35	53	58	77	85	90	138	149	125	173	216	189	242	267	397	317	513	453	543	537	731	875	1175	1095	1126	1816	1816	2813	3954	10800	32591	181789	214	0	0	0	0	0
LFQ	5	0	0	0	24	15	34	28	30	42	39	62	53	60	87	114	137	135	127	213	199	169	295	277	355	266	489	378	604	434	798	835	1006	1059	1095	1624	1682	2713	3557	3384	12751	210185	248	0	0	0	0	0
LFQ	6	0	0	0	24	36	44	41	45	35	38	64	60	86	110	103	150	159	160	214	216	200	310	320	459	299	525	400	639	444	870	849	1083	1121	1077	1815	1800	2680	3567	4007	14603	206694	256	0	0	0	0	0
LFQ	7	0	0	0	47	49	53	74	49	67	43	76	80	90	90	139	190	206	179	225	268	256	354	357	482	348	577	503	636	554	875	959	1206	1154	1162	1739	1972	2939	4017	6123	26944	190288	233	0	0	0	0	0
LFQ	8	0	0	0	16	37	52	38	56	63	55	61	64	111	88	121	173	147	176	245	238	176	340	297	409	318	498	406	755	370	837	882	1012	1091	1032	1633	1738	2826	3499	3516	12423	209465	339	0	0	0	0	0
LFQ	9	0	0	0	34	60	66	67	47	71	79	85	108	105	158	155	197	222	257	295	307	370	397	459	420	649	569	650	811	852	1055	938	1172	1222	1640	2121	1575	2527	2499	4055	3297	7275	8068	13630	46036	141003	0	0
LFQ	10	0	0	0	33	45	42	47	58	62	55	85	95	120	117	158	188	220	230	276	287	305	401	473	415	628	528	663	764	974	1028	950	1036	1458	1565	1767	1843	2713	2829	3741	4047	6345	9340	12651	47023	139998	0	0
