# This file was produced by samtools stats (1.21+htslib-1.21) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /Users/pontus.hojer/analysis/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/GRCh38_GIABv3_no_alt_analysis_set_maskedGRC_decoys_MAP2K3_KMT2C_KCNJ18.fasta.gz -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	7ccdad01	3fa94162	4e97c505
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	9204	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	9204
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	9204
SN	reads mapped:	9204
SN	reads mapped and paired:	9204	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	9204	# proper-pair bit set
SN	reads paired:	9204	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	5
SN	total length:	1380600	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	1380600	# ignores clipping
SN	bases mapped:	1380600	# ignores clipping
SN	bases mapped (cigar):	1375036	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	10817	# from NM fields
SN	error rate:	7.866703e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	0
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	34.4
SN	insert size average:	937.2
SN	insert size standard deviation:	26.7
SN	inward oriented pairs:	4576
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	0	0	2	9	13	6	8	12	15	12	23	37	8	22	16	36	38	107	7	77	227	24	173	51	193	64	13	491	56	494	159	608	73	398	1068	919	3745	0	0	0	0	0	0	0	0	0	0	0
LFQ	2	0	0	0	4	5	9	5	12	12	8	8	16	11	14	16	39	25	95	9	54	25	125	24	102	183	15	194	240	54	220	66	220	513	105	333	575	1474	1260	3134	0	0	0	0	0	0	0	0	0
LFQ	3	0	0	0	6	7	6	8	9	11	15	5	19	14	12	11	50	21	75	14	50	26	108	19	67	160	15	205	228	55	214	70	223	457	91	335	596	1434	1251	3317	0	0	0	0	0	0	0	0	0
LFQ	4	0	0	0	5	10	7	2	9	13	6	8	13	10	14	24	37	36	63	11	59	20	111	14	72	151	12	217	212	41	212	48	222	510	82	318	590	1446	1272	3327	0	0	0	0	0	0	0	0	0
LFQ	5	0	0	0	6	8	7	1	8	11	9	8	26	15	17	17	40	29	69	8	58	28	109	10	81	175	12	219	230	29	192	54	205	548	70	340	605	1504	1200	3256	0	0	0	0	0	0	0	0	0
LFQ	6	0	0	0	5	4	7	2	8	17	5	11	16	18	17	13	41	20	81	14	63	22	98	14	66	176	9	202	233	42	214	61	197	502	70	340	644	1382	1247	3343	0	0	0	0	0	0	0	0	0
LFQ	7	0	0	0	4	10	12	4	7	16	12	11	21	16	11	18	53	33	84	13	63	28	112	14	70	185	11	209	219	39	190	60	211	503	70	347	633	1419	1214	3282	0	0	0	0	0	0	0	0	0
LFQ	8	0	0	0	6	6	6	4	14	12	9	12	13	16	12	15	58	28	99	14	54	24	103	19	78	174	6	243	198	37	172	65	196	518	89	334	665	1385	1263	3257	0	0	0	0	0	0	0	0	0
LFQ	9	4	0	0	7	7	6	3	8	9	8	12	8	12	17	12	48	31	48	39	78	64	30	37	141	65	34	88	388	49	192	30	343	125	545	158	373	182	745	250	1938	2438	632	0	0	0	0	0	0
LFQ	10	0	0	0	4	6	4	6	13	9	7	12	11	15	31	32	38	26	44	42	70	63	47	39	126	42	31	68	372	66	220	41	390	111	554	133	330	202	838	215	1849	2474	623	0	0	0	0	0	0
LFQ	11	0	0	1	3	9	6	5	14	8	8	8	14	18	22	29	38	22	42	54	81	64	40	36	136	54	27	76	354	57	220	44	385	103	527	156	356	195	731	220	1909	2489	643	0	0	0	0	0	0
LFQ	12	0	0	0	6	6	6	8	7	10	4	14	7	15	22	24	46	30	45	39	82	64	35	36	131	59	31	86	363	52	250	36	386	113	516	135	375	206	718	251	1842	2503	645	0	0	0	0	0	0
LFQ	13	0	0	0	2	13	5	13	10	6	9	11	6	11	19	23	45	28	52	31	79	73	25	44	129	60	37	87	407	69	237	31	369	123	530	151	325	177	762	243	1879	2496	587	0	0	0	0	0	0
LFQ	14	0	0	0	6	7	3	5	6	8	11	20	13	21	20	30	44	28	48	33	85	57	34	47	128	51	30	81	365	48	234	38	346	89	561	137	376	202	769	220	1885	2508	610	0	0	0	0	0	0
LFQ	15	0	0	0	7	4	6	7	15	11	9	9	18	18	15	37	32	26	44	41	84	73	39	43	148	51	27	80	369	60	234	42	375	107	516	135	360	199	742	228	1857	2527	609	0	0	0	0	0	0
LFQ	16	0	0	0	7	19	8	12	19	22	16	17	37	16	19	43	29	55	50	61	65	51	110	68	88	127	133	140	137	103	163	234	182	125	317	298	295	357	428	314	477	573	630	892	1277	1190	0	0	0
LFQ	17	0	0	0	2	16	13	12	12	22	19	21	31	20	25	31	35	59	50	58	42	48	82	52	87	120	148	158	129	104	163	274	201	129	317	305	302	354	425	317	528	530	632	857	1258	1216	0	0	0
LFQ	18	23	0	0	11	15	13	17	14	33	17	20	28	18	25	43	30	51	41	55	62	43	106	63	85	119	136	153	123	94	148	235	179	110	315	300	314	398	423	341	538	539	646	893	1193	1194	0	0	0
LFQ	19	4	0	0	6	14	11	19	9	19	12	13	39	17	28	37	31	51	53	67	55	45	106	60	94	122	143	152	120	99	157	231	224	129	312	303	313	359	412	329	510	532	623	902	1270	1172	0	0	0
LFQ	20	0	0	0	10	23	11	17	6	23	17	20	41	10	34	47	29	58	49	65	51	38	105	75	85	120	133	152	185	87	159	238	150	107	340	280	324	393	432	325	516	574	620	873	1245	1137	0	0	0
LFQ	21	0	0	0	7	17	16	18	17	22	21	23	33	19	27	44	36	49	49	66	44	52	117	52	101	126	116	156	132	87	153	260	194	124	317	328	323	394	399	297	485	543	603	844	1280	1213	0	0	0
LFQ	22	0	0	0	9	21	11	22	15	24	15	23	20	14	34	46	33	47	43	72	52	43	90	61	98	117	152	161	150	118	139	257	198	152	301	276	329	358	396	347	477	534	636	925	1220	1168	0	0	0
LFQ	23	0	0	0	10	23	16	17	18	23	20	19	37	22	31	56	30	52	54	42	57	44	80	60	102	135	141	152	127	103	162	253	195	130	327	285	299	382	398	309	530	565	625	915	1235	1123	0	0	0
LFQ	24	0	0	0	10	15	13	17	13	25	18	22	30	22	21	47	43	51	41	69	42	52	95	65	85	132	135	141	150	98	150	249	222	146	294	314	338	341	390	332	516	561	602	877	1255	1165	0	0	0
LFQ	25	0	0	0	12	14	18	23	13	23	11	21	22	24	35	45	32	56	51	58	47	47	109	59	93	122	152	170	163	111	162	274	177	132	278	302	334	357	433	341	485	537	604	914	1227	1116	0	0	0
LFQ	26	2	0	0	8	12	15	19	16	22	15	19	35	23	22	56	26	57	49	59	63	55	101	71	83	129	137	157	143	101	184	248	171	130	303	318	304	365	411	331	487	565	614	918	1225	1135	0	0	0
LFQ	27	4	0	0	9	19	13	18	20	30	10	24	27	22	38	45	26	49	50	65	68	53	92	70	108	130	152	166	146	95	159	238	191	160	320	318	307	341	416	343	493	552	624	866	1161	1166	0	0	0
LFQ	28	0	0	0	8	25	12	15	21	23	19	20	25	27	24	33	28	57	44	65	53	55	109	59	103	117	139	139	132	84	146	262	189	140	359	326	302	323	419	326	526	542	583	936	1233	1156	0	0	0
LFQ	29	0	0	0	8	23	16	18	17	26	21	20	37	24	32	45	29	66	56	80	58	40	101	62	71	135	136	179	148	129	146	218	196	117	296	288	284	352	426	332	503	524	646	939	1220	1140	0	0	0
LFQ	30	0	0	0	14	18	17	17	20	32	17	29	28	20	30	36	29	57	46	79	51	47	99	86	74	118	154	151	140	118	147	232	185	121	344	307	332	366	418	340	465	540	642	884	1219	1135	0	0	0
LFQ	31	1	0	0	5	19	10	20	13	21	16	20	32	22	20	65	31	40	51	65	47	51	111	70	84	129	147	162	157	111	165	262	175	122	337	323	332	364	381	336	502	520	610	863	1244	1148	0	0	0
LFQ	32	0	0	0	11	13	16	28	13	19	24	22	33	26	31	36	35	46	50	58	61	50	87	58	96	118	136	165	138	121	163	258	229	139	305	340	338	359	437	289	467	555	615	910	1180	1129	0	0	0
LFQ	33	20	0	0	6	17	15	31	12	27	19	22	28	19	28	44	40	49	69	61	56	62	101	69	95	119	145	170	142	129	149	253	192	127	307	282	333	379	410	338	485	531	574	928	1178	1143	0	0	0
LFQ	34	1	0	0	13	14	10	25	12	29	20	15	32	24	27	44	36	58	65	54	48	50	102	74	106	111	140	164	175	104	130	245	186	121	366	306	294	367	408	338	493	527	664	904	1166	1136	0	0	0
LFQ	35	0	0	0	11	18	11	15	19	23	15	23	32	16	21	51	39	54	58	81	55	53	101	80	87	124	140	162	173	111	156	247	216	120	295	307	363	352	397	331	520	563	597	904	1152	1111	0	0	0
LFQ	36	5	0	0	9	23	21	40	9	36	17	25	39	36	29	50	29	43	52	69	52	70	109	81	84	117	153	156	171	130	158	298	179	128	330	325	292	325	374	367	485	525	623	883	1168	1089	0	0	0
LFQ	37	0	0	0	11	30	14	22	20	24	22	29	40	21	25	51	34	60	66	63	47	70	101	82	112	119	114	161	162	150	128	254	200	112	343	327	306	363	372	351	508	479	627	896	1176	1112	0	0	0
LFQ	38	9	0	0	13	24	18	20	14	31	22	26	41	22	21	40	28	62	50	80	56	54	111	98	81	131	132	164	147	157	135	259	199	126	326	357	291	370	384	368	438	481	641	908	1190	1079	0	0	0
LFQ	39	0	0	0	11	18	9	26	10	23	12	21	39	27	26	58	33	54	48	81	54	44	97	70	87	107	141	160	162	125	124	280	193	132	315	348	313	355	400	370	494	518	585	889	1259	1086	0	0	0
LFQ	40	0	0	0	13	20	17	23	18	29	18	26	38	24	31	42	32	76	49	76	49	74	97	92	79	125	142	153	171	132	134	246	201	135	345	365	286	339	380	358	442	548	619	862	1189	1109	0	0	0
LFQ	41	0	0	0	11	18	20	16	12	36	23	36	40	39	25	56	31	68	53	79	63	70	92	83	90	138	136	167	151	146	129	268	183	118	288	343	281	357	403	362	485	543	603	842	1192	1108	0	0	0
LFQ	42	0	0	0	10	32	15	25	14	34	15	28	45	29	20	55	40	52	51	83	58	69	95	100	91	92	131	175	166	138	123	287	181	127	362	305	309	353	387	340	477	536	597	854	1214	1089	0	0	0
LFQ	43	2	0	0	15	23	18	27	8	38	19	27	34	32	29	50	40	73	63	73	45	76	119	87	78	88	151	153	164	148	142	248	210	134	359	307	297	339	376	329	495	497	645	878	1184	1084	0	0	0
LFQ	44	0	0	0	12	28	15	26	9	28	20	23	51	34	27	59	43	57	72	82	75	68	118	78	101	115	135	146	171	145	148	279	221	116	329	323	302	352	355	373	462	515	648	767	1189	1087	0	0	0
LFQ	45	0	0	0	11	28	17	28	12	28	20	30	39	18	38	45	33	74	59	80	41	79	103	90	96	87	148	193	152	157	151	270	207	142	330	293	304	360	365	397	460	504	592	931	1141	1051	0	0	0
LFQ	46	0	0	0	11	28	20	24	27	19	22	31	37	29	34	56	37	63	58	79	54	86	115	87	108	95	142	177	149	155	131	277	203	122	345	304	314	368	349	363	449	525	621	905	1120	1065	0	0	0
LFQ	47	0	0	0	10	22	19	24	16	36	28	33	45	30	12	61	48	63	57	75	48	66	105	87	86	98	149	175	168	133	159	259	196	124	357	303	333	378	354	339	453	507	579	895	1169	1105	0	0	0
LFQ	48	0	0	0	8	22	19	28	11	30	17	30	44	24	31	49	27	66	67	91	64	60	102	91	106	74	163	179	157	168	159	249	227	140	396	259	335	364	355	324	464	504	568	869	1207	1056	0	0	0
LFQ	49	0	0	0	8	31	9	31	14	36	24	38	35	24	24	69	37	65	62	65	59	59	104	91	128	72	154	159	161	162	164	254	231	145	354	231	343	425	310	336	464	483	601	887	1126	1129	0	0	0
LFQ	50	0	0	0	12	25	22	32	14	27	17	29	54	34	27	56	49	71	62	79	67	75	125	79	121	68	157	197	144	147	145	244	231	135	374	273	336	369	298	359	486	445	532	895	1217	1075	0	0	0
LFQ	51	0	0	0	12	20	27	23	17	25	16	32	23	28	19	53	49	71	71	87	66	74	112	92	125	76	143	159	131	168	162	231	222	141	373	255	360	394	329	311	459	512	586	887	1217	1046	0	0	0
LFQ	52	0	0	0	14	18	19	27	19	41	19	22	42	30	29	66	56	65	71	81	71	61	105	101	157	53	177	188	141	149	145	246	213	130	350	196	355	428	321	341	502	509	571	879	1163	1033	0	0	0
LFQ	53	1	0	0	19	25	21	32	12	30	19	35	47	26	32	64	56	59	74	71	65	64	126	108	143	48	173	173	120	124	169	248	218	181	364	183	392	393	273	305	494	524	539	875	1194	1085	0	0	0
LFQ	54	0	0	0	11	33	24	26	16	26	21	34	42	33	17	60	39	63	76	82	63	56	107	93	148	57	194	194	146	148	169	225	246	152	362	192	362	417	269	296	540	489	594	889	1144	1049	0	0	0
LFQ	55	0	0	0	19	35	26	30	14	37	23	31	44	36	32	57	50	53	78	85	58	57	93	103	163	52	170	170	129	150	199	227	247	165	399	210	350	392	292	321	465	500	577	805	1201	1059	0	0	0
LFQ	56	0	0	0	15	23	19	27	20	37	29	35	51	34	35	64	53	67	59	88	76	79	107	99	123	40	165	203	146	142	213	241	237	147	410	216	364	372	268	293	530	475	568	837	1141	1056	0	0	0
LFQ	57	0	0	0	16	25	24	16	12	45	21	43	49	34	33	55	61	66	77	73	60	55	119	100	123	68	193	164	153	161	192	221	254	137	412	219	361	377	249	289	469	501	591	854	1195	1037	0	0	0
LFQ	58	0	0	0	11	29	26	33	12	37	39	26	43	38	26	52	44	63	80	109	73	53	117	99	145	52	163	158	130	147	214	227	228	186	376	206	391	394	268	307	468	492	605	859	1119	1059	0	0	0
