pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-150	False	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	3	17	19	6	4	1	3	14	6	3
-149	False	1336	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	2	0	1	1	1	0	6	5	2	2	5	13	18	76	791	348	11	6	1	3	28	8	3
-148	False	2580	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	2	2	1	2	1	3	1	4	4	5	9	16	23	83	817	802	126	45	21	103	497	6	3
-147	False	3801	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	1	2	1	1	0	2	2	3	2	3	3	7	4	9	12	19	20	20	101	769	1085	285	241	43	228	922	7	4
-146	False	5026	1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	1	2	1	1	2	1	4	1	2	4	5	5	2	6	8	9	10	18	19	35	92	800	1328	470	372	60	337	1405	18	2
-145	False	6347	0	0	0	0	2	3	1	0	0	0	1	0	0	0	1	2	2	4	2	2	1	3	1	0	3	5	2	5	4	11	4	11	12	22	30	38	123	887	1498	596	680	61	459	1847	20	4
-144	False	7601	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	1	3	4	6	5	2	6	2	5	2	7	8	12	11	9	12	15	25	34	45	109	880	1780	830	791	103	544	2315	25	4
-143	False	8820	0	0	0	2	2	0	1	0	1	2	2	0	1	4	1	2	3	6	4	8	7	5	8	4	3	6	10	11	11	12	17	11	17	29	32	45	122	870	2223	895	894	134	681	2693	36	5
-142	False	10076	0	0	0	1	1	0	2	2	0	0	3	1	3	2	3	3	5	3	4	9	3	5	5	3	11	8	11	18	8	19	16	17	18	30	45	37	144	842	2481	1182	1006	136	764	3165	56	4
-141	False	11349	0	0	0	0	1	2	3	2	1	0	0	0	3	1	1	2	6	2	4	7	7	4	7	8	7	11	15	19	18	16	21	21	21	34	50	65	168	925	2441	1076	1095	158	794	3269	1060	4
-140	False	12640	1	0	1	1	0	2	2	0	1	2	5	1	3	2	3	3	4	3	5	6	5	7	13	8	7	10	11	20	16	14	20	37	26	43	38	72	165	913	2479	1123	1128	172	823	3379	2059	7
-139	False	13940	1	0	0	0	2	2	2	1	3	2	3	4	3	5	2	5	6	7	7	4	8	7	11	10	16	17	17	12	22	21	19	37	24	38	49	81	155	948	2521	1127	1098	211	853	3477	3094	8
-138	False	15245	0	0	0	3	4	2	2	1	2	1	2	3	7	1	3	4	3	8	6	11	7	7	14	20	14	21	11	27	25	22	14	35	35	48	52	95	195	885	2593	1118	1146	194	891	3628	4068	17
-137	False	16564	0	0	0	3	0	3	2	2	3	4	2	4	4	8	5	4	4	8	7	5	3	6	12	6	11	23	12	15	21	26	23	45	40	43	60	85	165	933	2572	1108	1127	258	944	3801	5138	19
-136	False	17918	0	0	0	3	0	3	5	1	3	2	0	1	3	4	6	6	6	8	13	15	8	8	13	18	17	27	15	22	40	22	22	27	61	63	39	75	181	975	2545	1161	1138	227	1020	3970	6120	25
-135	False	19254	1	0	0	3	2	7	2	5	1	3	6	2	6	3	9	7	8	10	16	16	6	9	20	15	18	23	16	31	28	33	29	41	51	61	52	98	187	939	2583	1160	1108	290	1063	4138	7106	42
