pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
-150	False	97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90
-149	False	1873	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1746
-148	False	3553	0	0	1	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3383
-147	False	5253	0	0	4	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5023
-146	False	6996	0	0	3	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6728
-145	False	8748	0	0	3	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8444
-144	False	10436	0	0	4	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10082
-143	False	12212	0	0	2	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11778
-142	False	14015	0	0	4	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13490
-141	False	15733	0	0	2	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15250
-140	False	17536	0	0	4	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16988
-139	False	19253	0	0	1	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18668
-138	False	21066	0	0	5	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20444
-137	False	22775	0	0	5	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22088
-136	False	24540	0	0	4	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23858
-135	False	26254	0	0	3	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25522
-134	False	28034	0	0	1	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27241
-133	False	29820	0	0	2	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28990
-132	False	31589	0	0	5	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30747
-131	False	33314	0	0	3	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32448
-130	False	35028	0	0	2	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34143
-129	False	36807	0	0	3	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35815
-128	False	38645	0	0	3	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37572
-127	False	40493	0	0	3	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39429
-126	False	42325	0	0	4	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41221
-125	False	44111	0	0	4	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42948
-124	False	45911	0	0	5	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	0	865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44733
-123	False	47700	0	0	3	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46457
-122	False	49541	0	0	7	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0	0	0	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48268
-121	False	51300	0	0	2	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49934
-120	False	53123	0	0	3	0	0	0	0	0	0	0	0	0	387	0	0	0	0	0	0	0	0	0	0	0	1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51703
-119	False	54913	0	0	6	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	1047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53458
-118	False	56633	0	0	5	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	0	1065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55178
-117	False	58420	0	0	4	0	0	0	0	0	0	0	0	0	444	0	0	0	0	0	0	0	0	0	0	0	1081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56891
-116	False	60198	0	0	4	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	1096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58669
