pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-147	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
-146	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
-145	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
-144	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
-143	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
-142	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
-141	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
-140	True	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0
-139	True	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	1	0	0	0	1	0	0
-138	True	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	9	0	1	0	0	2	1	0
-137	True	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	2	1	1	2	25	193	80	2	3	1	1	5	1	0
-136	True	678	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	2	1	1	1	0	2	1	2	2	1	5	2	6	36	227	183	34	12	4	29	123	1	0
-135	True	1061	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1	1	5	1	5	4	4	7	5	28	246	275	63	74	9	68	256	1	0
-134	True	1485	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	1	2	5	5	1	5	5	5	6	9	40	278	368	134	98	20	100	395	1	0
-133	True	1877	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	2	0	1	4	3	0	1	1	2	4	2	1	2	6	9	8	8	9	9	27	275	416	175	189	25	150	541	2	0
-132	True	2263	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	2	1	1	2	3	6	2	5	4	4	6	13	8	3	50	273	501	225	260	35	188	660	4	0
-131	True	2676	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	3	2	2	0	0	4	0	2	3	1	4	7	4	8	6	8	11	20	52	300	611	266	283	48	224	795	7	0
-130	True	3090	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	4	5	5	2	3	2	6	5	3	4	4	9	8	12	15	11	58	281	705	327	336	48	247	969	14	1
-129	True	3487	0	0	0	0	1	0	1	1	1	0	0	1	3	1	1	5	2	2	2	1	2	3	1	1	5	4	5	6	6	6	4	12	8	10	14	23	54	262	757	307	372	65	242	1046	248	2
-128	True	3889	0	0	0	0	0	0	0	0	0	0	1	1	2	1	2	1	2	2	4	2	4	2	6	8	4	4	8	3	9	10	9	17	12	12	12	27	68	275	751	345	338	67	272	1070	537	1
-127	True	4319	0	0	0	0	0	1	1	0	0	3	0	1	3	0	3	4	4	2	4	1	4	1	3	6	2	2	5	6	7	11	14	11	10	9	21	28	72	311	768	344	335	69	307	1105	839	2
-126	True	4722	0	0	0	1	1	2	0	0	1	2	1	2	2	1	2	3	3	3	2	4	2	1	4	4	6	5	5	6	9	8	7	16	17	19	17	29	55	296	790	352	339	82	308	1171	1143	1
-125	True	5136	0	0	0	1	1	3	2	1	1	1	0	0	3	1	6	4	1	1	5	6	4	6	6	6	5	5	3	9	9	14	11	15	21	17	24	36	66	284	790	360	340	76	324	1194	1471	3
-124	True	5561	0	0	0	0	2	0	0	0	2	2	0	4	2	1	6	3	3	2	4	4	6	9	11	5	6	9	9	11	10	15	16	14	13	19	23	39	69	319	766	361	358	87	322	1257	1765	7
-123	True	5987	0	0	0	2	1	1	1	3	3	2	4	2	0	2	3	4	3	4	1	4	5	6	6	5	13	9	11	7	19	8	9	16	19	15	30	42	59	305	829	337	354	114	349	1268	2100	12
-122	True	6397	0	0	0	0	1	2	0	3	1	2	0	1	3	2	3	1	5	5	3	2	4	6	7	6	14	13	9	9	18	14	17	14	25	31	21	43	83	298	805	359	354	110	375	1303	2230	195
-121	True	6814	0	0	0	1	0	0	1	1	2	2	6	3	1	2	6	4	5	7	3	8	7	7	5	10	14	8	9	13	13	12	17	21	21	29	25	48	77	321	801	353	383	123	402	1319	2326	398
-120	True	7214	0	0	0	1	1	1	0	3	0	2	5	1	4	4	5	4	2	7	9	3	7	5	10	9	17	11	10	11	19	18	14	21	22	34	33	49	75	306	814	394	348	115	412	1367	2399	642
-119	True	7642	0	0	0	3	1	4	4	0	1	2	2	3	2	5	8	4	6	9	15	6	8	8	7	16	11	4	13	12	17	13	14	20	27	32	30	43	79	340	832	368	378	155	420	1308	2529	883
-118	True	8057	0	0	0	1	0	0	0	3	2	2	3	1	4	4	2	5	5	7	6	6	9	7	10	5	6	8	15	15	15	14	23	32	27	34	35	56	92	328	826	387	375	164	415	1385	2583	1140
-117	True	8463	0	0	0	0	4	1	4	2	2	4	4	4	6	5	7	7	4	6	6	7	12	11	7	10	17	11	18	15	11	20	21	26	24	31	33	47	88	311	854	387	363	129	448	1378	2766	1352
-116	True	8881	0	0	0	0	2	6	4	5	1	2	2	3	4	5	5	4	7	7	10	11	5	9	15	10	15	16	15	28	26	19	22	27	33	37	44	51	98	305	810	418	371	168	435	1420	2789	1617
-115	True	9282	0	0	0	6	3	3	3	2	5	3	2	5	4	7	10	7	8	7	4	13	8	12	17	8	11	16	18	23	23	35	21	35	30	41	47	66	95	307	820	411	394	180	441	1399	2900	1832
-114	True	9705	0	0	0	0	2	2	2	5	5	5	5	6	5	5	4	3	7	8	5	15	10	10	8	15	16	16	14	16	27	21	22	33	35	35	34	55	99	334	866	393	387	178	458	1433	3059	2047
-113	True	10125	0	0	0	1	6	3	6	8	2	4	7	3	3	5	6	8	10	3	7	8	13	8	12	18	22	14	15	28	30	18	28	23	34	51	37	67	89	335	853	404	426	184	449	1439	3155	2283
-112	True	10544	0	0	0	4	4	3	3	2	4	4	7	0	2	4	4	10	6	3	7	8	10	12	12	19	9	15	13	21	26	21	34	43	46	57	53	57	98	337	800	424	430	218	487	1477	3196	2554
-111	True	10975	0	0	0	2	4	7	6	3	1	3	11	4	3	6	2	4	2	13	7	11	15	11	12	10	15	18	26	19	21	20	29	27	41	50	65	61	110	353	830	432	433	215	523	1506	3250	2794
-110	True	11365	0	0	0	2	5	5	3	4	4	1	4	3	6	3	7	6	10	7	7	16	7	15	14	22	10	12	26	25	26	26	38	32	41	46	58	60	110	298	832	426	421	204	541	1521	3400	3061
-109	True	11802	0	0	0	4	5	7	3	7	3	5	4	3	2	7	11	13	4	4	9	14	10	15	22	12	19	14	24	27	40	29	43	41	38	54	77	67	110	337	849	447	435	198	510	1570	3432	3277
-108	True	12216	0	0	0	3	4	2	4	6	8	8	2	7	7	6	8	10	3	5	7	13	11	11	19	16	15	20	18	34	28	39	26	40	56	44	68	78	109	357	845	440	439	245	530	1563	3516	3546
-107	True	12611	0	0	0	3	9	4	4	9	4	2	9	6	12	10	8	11	10	7	5	7	13	18	18	18	15	24	17	26	34	26	33	42	56	59	74	63	117	335	861	460	449	231	516	1598	3635	3753
-106	True	13034	0	0	0	5	8	3	3	10	5	2	8	6	8	9	11	7	5	14	9	13	22	22	18	19	17	30	28	26	40	34	43	51	58	61	57	74	114	344	856	493	444	210	518	1614	3655	4060
