pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-154	True	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	2	0	0	3	5	1
-153	True	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	9	2	1	0	0	3	4	2
-152	True	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	8	3	3	1	1	6	6	2
-151	True	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	3	10	3	1	0	1	10	5	2
-150	True	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	7	12	1	4	0	5	10	6	4
-149	True	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	7	13	3	1	0	4	14	8	4
-148	True	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	4	15	3	2	1	3	18	13	3
-147	True	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	6	14	8	4	1	4	16	14	4
-146	True	93	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	2	14	16	8	5	1	9	19	10	4
-145	True	117	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	0	1	1	2	11	25	10	7	2	4	25	19	4
-144	True	152	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	1	0	1	1	1	3	23	31	7	8	4	7	30	26	4
-143	True	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2	1	0	0	2	1	2	1	7	42	41	13	12	3	9	42	28	4
-142	True	3221	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	6	2	0	4	5	2	7	9	5	13	6	14	14	16	34	63	269	1963	616	20	19	7	22	61	31	8
-141	True	7537	0	0	0	1	0	0	2	0	2	0	0	2	1	2	1	1	6	4	6	5	3	6	5	14	5	2	7	16	8	15	14	23	29	37	75	110	423	2863	1862	307	133	70	379	1051	39	8
-140	True	12327	0	0	0	2	4	0	1	1	0	0	5	4	0	1	1	3	6	6	4	5	4	8	8	11	8	17	20	20	23	30	26	42	33	58	103	124	487	3195	3005	815	641	174	929	2449	44	10
-139	True	17592	0	0	0	1	0	1	0	3	2	0	2	6	4	0	1	6	5	14	9	4	4	9	19	9	18	13	25	19	28	39	27	58	49	87	122	165	591	3582	4202	1439	1184	283	1492	4008	48	14
-138	True	23025	1	0	0	1	3	4	3	1	3	2	2	4	5	10	8	5	4	12	15	11	23	15	20	18	24	22	26	37	21	42	38	70	86	109	120	180	615	3823	5173	1929	2158	448	2148	5714	57	15
-137	True	28482	0	0	0	2	2	5	3	3	2	2	3	0	7	3	8	15	8	9	12	16	18	11	20	32	31	31	22	39	60	47	45	80	82	150	158	224	705	3852	6130	2767	2938	521	2812	7512	72	23
-136	True	34012	0	0	0	4	4	4	5	7	4	7	5	3	7	2	10	14	7	15	29	18	25	22	27	26	39	40	43	62	74	57	67	111	93	136	182	261	751	4004	7628	3342	3394	649	3425	9287	100	22
-135	True	39576	0	0	1	3	2	5	2	9	15	9	7	6	3	8	12	15	20	19	19	22	31	33	45	28	48	59	52	46	60	78	96	103	131	171	222	284	849	4041	8854	4052	4031	799	4169	10953	132	32
-134	True	44992	2	0	1	6	12	7	3	4	6	9	16	8	10	15	6	24	18	25	37	29	39	35	45	54	48	64	65	67	86	95	103	127	147	186	228	290	812	4002	9533	4519	4282	899	4449	12126	2419	34
-133	True	50474	0	0	0	5	7	8	6	10	15	7	11	15	16	15	20	30	27	37	42	46	34	51	60	51	80	72	78	79	105	127	126	143	181	235	245	360	918	4147	9715	4565	4493	1036	4836	12714	5665	41
-132	True	56169	0	0	1	8	9	15	15	16	4	18	5	14	12	14	24	39	25	28	41	34	41	43	51	71	71	105	76	108	126	130	132	166	164	246	296	370	1009	4232	10138	4838	4519	1140	5072	13461	9200	42
-131	True	61599	0	0	1	8	19	9	16	11	15	18	13	16	14	13	31	34	48	49	40	32	68	40	91	78	99	109	111	110	140	137	139	208	225	308	309	420	965	4149	10242	4775	4689	1272	5297	13935	13240	56
-130	True	67300	0	0	0	7	11	11	17	17	16	14	18	17	24	24	33	49	39	49	44	56	66	59	79	63	54	101	118	111	144	151	169	234	224	305	307	492	1030	4323	10335	5000	4850	1351	5280	14443	17498	67
-129	True	72938	0	0	0	12	12	13	9	22	13	24	17	26	17	16	32	46	38	47	62	58	74	88	91	88	106	121	115	142	140	183	172	227	250	361	374	487	1066	4310	10469	5009	4915	1455	5624	14957	21557	93
-128	True	78451	0	0	2	20	23	21	15	26	19	16	22	23	17	35	26	42	53	61	59	64	83	79	110	99	132	132	137	160	168	179	205	267	259	351	373	526	1102	4242	10604	4989	5127	1641	5747	15491	25588	116
