pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-155	False	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
-154	False	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	1	0	4	4	0	0
-153	False	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	3	0	0	5	5	0	0
-152	False	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	3	0	7	5	1	0
-151	False	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	3	2	2	2	3	6	2	0
-150	False	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	6	2	3	2	2	9	4	0
-149	False	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	1	3	5	2	5	0	5	10	5	0
-148	False	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	10	2	5	2	3	14	6	0
-147	False	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	2	2	3	16	4	3	2	5	14	8	0
-146	False	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	6	10	17	3	3	2	7	19	11	0
-145	False	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	3	14	12	6	9	1	7	22	15	1
-144	False	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	3	0	5	17	20	8	9	2	11	29	14	2
-143	False	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2	1	8	4	8	40	34	12	7	5	11	38	14	3
-142	False	2782	1	0	0	0	0	1	0	0	1	2	1	0	0	0	1	0	1	2	2	0	3	2	0	2	3	2	1	1	4	8	2	12	11	16	33	59	216	1703	549	17	15	4	27	53	22	5
-141	False	6782	0	0	0	0	1	2	0	1	3	0	0	1	4	1	2	0	4	2	7	0	2	3	1	8	7	8	9	11	6	18	17	34	29	30	56	89	379	2693	1621	262	90	80	361	914	21	5
-140	False	11215	0	0	0	1	1	3	1	1	0	0	0	0	5	3	4	2	3	2	5	6	5	2	7	15	7	12	16	12	17	17	21	31	37	49	86	127	499	2956	2773	694	531	163	863	2195	34	9
-139	False	15790	0	0	0	1	3	1	1	1	1	1	2	2	3	1	6	6	6	1	5	10	5	11	13	8	12	12	17	31	29	31	29	47	40	66	106	148	531	3158	3752	1245	1087	293	1365	3657	35	11
-138	False	20244	0	0	0	0	2	1	2	0	7	4	2	1	2	2	5	4	3	7	5	12	13	8	13	17	19	19	25	44	37	53	34	63	57	90	116	166	547	3073	4621	1838	1837	386	2038	5007	49	15
-137	False	24873	0	0	0	0	2	3	2	1	5	2	5	5	2	2	10	6	10	15	15	15	17	21	19	19	31	33	29	29	42	64	58	76	73	118	160	187	581	3267	5450	2319	2634	485	2622	6361	63	15
-136	False	29589	0	0	0	4	5	5	5	4	1	4	6	5	4	9	4	8	9	13	14	17	21	25	22	20	30	39	40	43	60	61	68	72	99	121	153	210	645	3393	6824	2945	2925	575	3116	7877	71	17
-135	False	34364	2	0	1	1	2	5	5	7	6	9	5	6	4	7	11	13	22	19	24	24	22	26	27	27	39	55	38	42	63	71	89	91	104	178	202	281	696	3559	7839	3465	3461	661	3649	9365	117	24
-134	False	38849	2	0	0	3	4	8	10	6	6	10	15	10	11	9	10	23	26	25	15	23	28	35	37	42	66	58	45	63	64	85	83	121	140	175	191	270	750	3392	8386	3854	3762	788	3964	10177	2033	24
-133	False	43594	0	0	0	5	7	7	11	11	7	5	8	12	9	5	13	22	19	17	37	40	47	40	56	51	56	59	73	74	100	101	106	124	140	230	225	324	773	3583	8373	4121	3858	864	4194	10763	4998	26
-132	False	48279	0	0	0	12	11	6	11	4	9	9	12	12	11	12	17	18	25	33	28	34	43	34	54	52	71	73	66	93	113	113	115	152	155	220	242	343	825	3503	8675	4013	3987	1024	4364	11258	8390	37
-131	False	53060	0	0	3	7	9	11	10	15	7	15	10	14	17	14	29	32	29	27	37	43	51	51	58	50	94	83	71	101	109	120	124	171	166	263	273	396	908	3643	8650	4232	3929	1086	4610	11607	11838	47
-130	False	57756	0	0	0	7	13	13	8	10	14	17	17	14	14	19	34	35	39	43	44	46	52	64	55	75	79	86	90	124	131	133	144	190	199	274	279	432	935	3541	8946	4238	4030	1173	4834	12147	15063	55
-129	False	62468	0	0	0	8	17	13	20	11	15	14	12	16	16	20	26	35	33	32	53	60	68	61	68	87	64	97	100	131	143	160	150	185	204	312	312	448	949	3617	8890	4321	4155	1348	5007	12407	18711	72
-128	False	67108	3	0	0	13	17	22	11	24	10	17	19	15	16	29	28	42	42	30	69	61	62	58	83	94	104	111	116	158	189	164	165	208	228	311	339	457	987	3638	8870	4300	4284	1418	5117	12880	22193	106
-127	False	71809	2	0	0	12	17	14	23	21	14	34	20	18	30	22	35	37	58	44	59	66	69	79	98	80	123	105	117	150	158	173	186	229	209	323	342	458	1026	3713	8950	4378	4337	1495	5199	13194	24563	1529
-126	False	76403	0	0	1	10	28	23	26	25	19	20	26	25	24	30	48	59	59	57	57	77	88	71	87	110	106	132	131	155	187	188	203	254	251	348	376	530	966	3706	9056	4449	4366	1637	5391	13531	25746	3724
-125	False	80891	1	0	3	17	25	22	20	22	24	27	21	30	32	28	41	56	63	68	57	78	88	86	85	95	130	139	145	166	177	171	179	264	297	397	387	557	1024	3691	9015	4421	4414	1670	5455	13811	27141	6251
-124	False	85470	4	0	1	15	28	21	29	28	23	20	35	32	27	33	45	57	61	79	78	101	89	91	126	118	156	163	151	215	231	216	233	282	328	422	391	567	1049	3769	9070	4395	4559	1770	5579	13940	27992	8851
-123	False	90093	4	0	1	19	36	33	30	31	31	26	38	32	28	37	52	67	59	73	73	86	91	86	129	105	143	173	169	200	221	225	270	316	314	422	475	623	1095	3815	9064	4486	4538	1802	5708	14149	29369	11349
-122	False	94666	4	0	0	29	46	32	32	31	25	41	38	48	37	38	54	67	81	73	80	99	120	108	114	142	168	175	172	207	285	230	258	328	331	452	483	649	1106	3832	9099	4555	4577	1910	6016	14508	30156	13830
-121	False	99291	2	0	1	31	38	36	48	59	26	35	52	39	41	50	57	67	62	74	86	110	106	106	142	151	141	187	194	197	251	276	292	334	396	469	465	680	1192	3850	8975	4691	4648	2091	6033	14509	31461	16540
-120	False	104004	1	0	0	28	37	40	34	40	32	21	40	44	43	69	77	77	69	100	98	123	107	114	147	155	172	222	196	236	258	264	314	417	410	514	558	742	1202	4010	9023	4699	4761	2182	6256	14833	32321	18918
-119	False	108675	0	0	3	32	36	32	33	31	38	48	48	42	52	63	66	91	67	113	97	128	114	134	148	170	188	218	228	260	272	297	342	454	378	544	590	744	1210	4025	9011	4893	4813	2385	6335	14945	33612	21345
-118	False	113253	4	0	0	30	42	44	39	32	34	51	41	57	56	69	70	77	86	97	110	144	136	149	168	152	184	209	218	260	312	319	340	439	445	540	598	786	1267	3958	9094	4828	4961	2283	6492	15303	34628	24101
-117	False	117898	1	0	4	26	66	57	36	37	46	49	49	58	47	67	70	102	95	102	112	131	169	130	185	168	189	216	252	261	321	325	367	449	459	522	615	865	1313	4089	9229	4950	4947	2423	6685	15469	35353	26792
-116	False	122607	2	0	1	30	49	44	40	53	40	51	45	57	62	60	90	88	77	111	119	143	140	142	170	183	213	265	280	264	346	359	377	452	532	613	700	864	1399	4172	9178	4945	5115	2651	6662	15754	36493	29176
-115	False	127153	5	0	0	28	67	35	41	63	55	46	57	67	47	56	90	109	88	124	130	115	167	135	172	190	209	247	277	262	336	394	416	472	488	612	676	861	1346	4080	9253	5014	5206	2650	6907	16074	37229	32257
-114	False	131658	5	0	1	36	69	47	64	57	65	53	60	62	67	75	95	124	109	133	139	138	174	146	194	231	239	270	301	298	386	373	436	481	552	614	735	904	1419	4096	9305	5233	5263	2755	7061	16117	38147	34529
-113	False	136163	2	0	3	52	64	56	53	61	50	50	86	76	71	77	105	95	81	105	131	156	154	152	206	176	228	266	270	285	363	388	370	515	512	668	770	952	1384	4167	9442	5250	5341	2854	7072	16305	39209	37490
-112	False	140767	7	0	1	37	56	63	63	58	53	64	56	61	68	64	93	120	112	123	157	153	206	185	222	219	232	274	274	325	406	392	478	542	553	719	818	991	1436	4293	9532	5292	5276	2988	7311	16443	39945	40006
-111	False	145389	3	0	2	43	68	51	44	52	59	71	76	70	73	79	100	136	118	140	150	169	199	167	213	229	227	289	317	317	430	420	436	551	623	718	817	1003	1455	4282	9596	5295	5352	3066	7299	16624	41025	42935
-110	False	149939	4	0	3	44	68	51	71	46	68	92	70	75	86	92	96	111	123	145	141	175	187	185	210	254	258	288	367	360	420	395	511	595	602	739	817	1071	1497	4310	9632	5385	5401	3149	7599	16663	42287	45196
-109	False	154480	7	0	1	49	73	84	62	57	58	73	76	74	88	97	105	116	129	148	172	158	194	199	218	239	251	315	314	348	419	425	529	548	612	706	809	1033	1509	4283	9642	5378	5529	3145	7585	17094	42964	48565
-108	False	159003	10	0	2	52	68	91	63	63	73	77	90	75	79	79	123	139	144	148	173	188	201	199	237	255	268	313	394	357	480	427	528	591	623	722	947	1005	1559	4275	9602	5327	5436	3313	7833	17387	44000	50987
-107	False	163533	8	0	4	59	76	68	64	69	71	61	97	78	76	100	90	132	129	164	151	174	201	225	236	235	290	305	362	359	444	453	525	603	686	812	837	1060	1622	4400	9635	5437	5551	3396	7916	17367	44949	53956
-106	False	168103	9	0	0	47	95	64	77	70	59	62	72	77	89	105	112	135	133	135	172	182	185	221	251	234	262	322	383	373	519	449	516	661	675	802	883	1102	1615	4434	9674	5344	5676	3433	8109	17987	45400	56898
-105	False	172811	4	0	1	68	79	79	75	65	74	71	91	81	109	115	120	132	157	167	154	195	207	198	277	287	310	353	408	394	485	559	554	639	681	840	963	1114	1645	4599	9613	5534	5694	3610	8182	18032	46355	59441
-104	False	177426	10	0	4	61	79	80	70	74	83	79	96	73	108	118	105	134	148	176	197	181	200	204	269	276	323	328	375	396	497	506	549	651	745	832	942	1179	1664	4484	9841	5466	5726	3593	8244	18632	47390	62238
-103	False	182001	6	0	4	52	74	76	74	84	85	80	88	112	96	115	120	132	142	179	168	202	235	190	288	292	330	377	413	413	493	522	548	731	760	823	962	1198	1732	4509	9866	5634	5664	3696	8362	18511	48433	65130
-102	False	186629	5	0	2	63	93	73	66	77	81	67	82	70	110	112	142	124	140	175	165	182	206	206	271	281	317	383	434	417	495	481	588	726	756	840	982	1238	1763	4557	9708	5756	5845	3705	8357	18715	49411	68362
-101	False	191242	6	0	2	62	99	91	86	81	71	102	91	103	85	120	134	145	162	176	199	214	240	241	326	287	331	379	403	418	567	545	603	789	838	866	1022	1228	1686	4669	9970	5752	6044	3992	8693	19030	49869	70425
-100	False	195844	5	0	2	65	94	85	95	97	91	94	95	107	127	107	154	142	159	184	173	213	240	229	308	331	367	349	415	450	521	530	631	690	816	936	1099	1312	1757	4733	10014	5813	5824	3784	8524	19129	50935	74018
-99	False	200351	6	0	1	67	92	100	95	99	72	86	89	93	111	106	122	155	165	173	189	178	242	225	299	295	353	369	450	447	551	569	615	740	792	880	1049	1348	1878	4680	10102	5887	5866	3983	8808	19391	52023	76510
-98	False	204849	6	0	1	65	123	102	98	87	92	112	102	100	124	129	140	162	194	198	197	217	235	280	312	307	337	410	509	443	596	576	625	829	860	971	1151	1303	1907	4734	10054	6000	6058	4212	8952	19592	52628	78719
-97	False	209409	11	0	4	65	121	71	84	84	93	89	103	97	126	116	145	160	173	191	192	229	253	258	320	373	343	381	455	463	628	598	674	801	854	959	1094	1469	1854	4682	10150	6015	6154	4296	9027	19929	53950	81275
-96	False	213973	7	0	1	74	93	87	95	90	89	100	89	108	122	105	141	162	165	214	225	237	253	256	362	358	367	452	510	505	592	652	677	848	916	991	1089	1449	1954	4696	10059	5979	6188	4272	9268	20024	54878	84174
-95	False	218426	10	0	0	61	113	89	96	109	104	91	130	117	108	120	160	187	181	213	234	224	250	267	344	349	374	447	507	455	618	624	696	860	905	1008	1221	1436	1972	4746	10204	6061	6230	4314	9281	20449	55489	86972
-94	False	222993	8	0	3	77	122	104	109	99	118	94	107	121	125	138	157	189	195	205	228	251	289	304	379	383	395	474	521	490	634	647	721	854	992	1080	1265	1449	2068	4804	10259	6210	6094	4504	9384	20458	56548	89337
-93	False	227449	5	0	1	75	122	98	82	109	92	92	93	124	106	125	144	170	160	214	236	207	256	257	354	333	355	435	477	501	674	646	712	816	901	1020	1245	1435	1957	4765	10303	5959	6248	4470	9449	20667	57989	92970
-92	False	232041	13	0	1	70	108	102	107	101	113	101	116	120	118	118	169	179	197	217	233	268	313	305	338	390	388	449	533	461	688	748	754	891	1024	1093	1261	1474	2022	4865	10250	6186	6339	4628	9575	20925	58767	94923
-91	False	236553	8	0	1	83	122	113	103	110	97	115	133	138	107	134	156	216	196	211	250	249	310	314	399	385	419	431	549	526	701	723	789	887	1012	1055	1292	1564	2078	5042	10185	6198	6462	4683	9722	20900	59348	98037
