pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-133	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
-132	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
-131	False	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
-130	False	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	1	0	0
-129	False	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	2	1	0	0	3	0	0
-128	False	90	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	7	37	25	4	3	0	0	9	0	0
-127	False	203	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	12	68	64	11	7	1	3	31	0	0
-126	False	349	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	11	91	111	26	14	1	10	77	0	0
-125	False	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	1	0	0	1	1	0	3	1	2	2	3	12	111	148	36	38	2	22	132	1	0
-124	False	765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	3	0	3	1	2	2	20	145	230	59	59	7	26	204	1	0
-123	False	1033	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	3	2	2	3	0	4	2	1	2	9	22	159	287	89	74	15	49	304	2	0
-122	False	1339	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	1	1	1	1	2	0	4	0	4	4	4	6	5	21	198	363	101	106	10	64	430	8	0
-121	False	1684	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	2	0	2	1	3	2	6	10	6	11	24	219	441	142	127	19	86	557	22	0
-120	False	2095	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	2	1	1	0	0	1	2	1	1	1	3	0	2	4	4	6	4	11	13	35	264	496	166	164	16	127	685	79	0
-119	False	2550	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	2	1	3	2	2	4	4	2	3	4	5	8	7	5	41	301	594	211	199	31	136	813	167	0
-118	False	3070	0	0	0	0	0	1	1	0	1	0	0	1	2	0	0	1	2	0	0	1	1	3	3	1	2	1	1	5	2	1	5	3	4	7	9	20	44	355	682	230	222	25	172	971	290	1
-117	False	3652	1	0	0	0	1	0	1	0	1	0	0	2	0	0	1	0	0	0	1	3	0	2	0	1	5	0	5	4	2	10	7	5	5	7	14	13	51	361	804	297	246	37	206	1129	429	1
