pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-147	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
-146	False	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
-145	False	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
-144	False	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0
-143	False	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	3	0	0
-142	False	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	2	0	0
-141	False	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	3	0	0
-140	False	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	0	4	0	0
-139	False	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	0	0	5	1	0
-138	False	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	13	1	0	0	0	5	3	0
-137	False	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	78	44	4	2	0	0	17	2	0
-136	False	341	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	4	10	118	103	16	10	3	12	56	4	0
-135	False	588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	2	1	0	1	19	160	172	32	32	2	31	127	5	0
-134	False	937	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	2	0	1	0	0	1	0	3	7	21	208	263	71	59	9	46	236	5	0
-133	False	1407	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	3	3	5	9	25	288	361	116	104	11	77	392	6	0
-132	False	2016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	1	0	1	1	2	2	2	1	8	5	5	6	44	361	524	139	173	15	113	597	10	1
-131	False	2746	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	4	1	1	2	6	8	8	9	20	49	458	699	220	210	19	158	858	8	3
-130	False	3627	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	2	3	1	0	0	3	1	7	4	1	6	6	2	2	18	5	15	55	550	896	307	293	37	218	1163	25	3
-129	False	4549	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	2	1	5	2	2	3	2	3	3	4	7	13	10	11	19	22	61	556	1061	411	394	39	278	1497	131	4
-128	False	5632	0	0	0	0	1	0	0	1	0	2	0	1	3	1	1	3	1	0	0	3	2	3	3	1	2	3	2	7	7	8	5	8	9	10	15	27	80	689	1288	465	473	55	341	1823	285	4
-127	False	6788	0	0	0	0	1	2	0	1	1	0	2	0	0	1	1	2	3	2	2	1	3	5	1	2	9	5	5	3	7	6	4	8	11	27	35	25	89	706	1572	502	563	74	400	2208	496	3
-126	False	8015	0	0	0	0	0	2	1	1	1	1	1	1	1	0	3	3	2	2	1	1	2	5	2	5	10	6	4	9	5	8	14	22	16	22	23	44	105	797	1722	620	626	100	488	2541	791	7
