pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-159	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
-158	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
-157	False	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
-156	False	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
-155	False	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
-154	False	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
-153	False	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
-152	False	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
-151	False	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0
-150	False	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0
-149	False	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	3	0
-148	False	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	1	4	2	0
-147	False	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	3	0	0	1	2	3	0
-146	False	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	2	0	1	4	1	1
-145	False	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	3	4	1	0	3	4	1	1
-144	False	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	7	2	2	0	0	7	2	1
-143	False	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	5	8	5	1	0	2	7	2	1
-142	False	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	12	3	3	0	4	9	4	2
-141	False	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	2	11	21	1	5	0	6	12	8	1
-140	False	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	2	1	3	8	49	33	7	5	2	5	21	9	2
-139	False	779	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	3	0	0	1	1	1	7	0	7	0	5	11	12	49	403	173	15	8	6	15	44	11	2
-138	False	1840	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	2	2	1	0	1	4	1	5	1	8	5	13	17	28	91	692	463	85	37	15	72	277	13	2
-137	False	3258	0	0	0	0	0	0	0	0	0	2	0	0	1	2	1	2	1	0	4	2	3	1	1	1	3	4	5	6	10	10	6	10	13	20	30	28	144	955	786	163	129	42	202	654	14	3
-136	False	4770	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	2	0	3	1	4	5	6	4	1	4	8	10	5	6	7	10	20	15	23	27	52	168	1010	1192	346	285	51	385	1093	20	2
-135	False	6474	1	0	0	1	1	1	0	2	1	1	0	0	0	0	1	1	4	1	4	4	2	0	4	12	4	13	7	14	8	7	11	25	14	35	46	61	230	1091	1547	520	518	109	562	1581	25	5
-134	False	8286	0	0	0	3	1	0	2	0	0	1	0	0	3	2	3	2	3	2	3	2	6	3	5	7	10	17	8	11	11	30	23	22	32	40	57	85	214	1231	1844	762	734	154	795	2118	31	9
-133	False	10141	0	0	0	0	2	3	1	2	0	2	0	2	1	2	0	5	7	5	6	9	5	5	8	11	19	14	13	19	13	27	18	28	27	42	62	87	253	1262	2285	952	983	199	1022	2683	48	9
-132	False	11951	0	0	1	1	1	1	1	6	3	4	2	5	1	2	1	5	5	6	10	8	9	10	18	15	20	15	21	18	24	20	32	31	42	76	88	101	251	1297	2715	1151	1117	238	1249	3224	99	7
-131	False	13885	1	0	0	1	1	3	2	1	4	2	3	2	4	1	3	3	10	7	9	10	15	9	13	16	13	17	17	17	27	34	29	46	53	72	83	131	322	1347	3046	1271	1321	285	1358	3703	562	11
-130	False	15775	0	0	0	2	1	4	4	3	6	5	2	5	3	4	6	9	3	11	17	12	12	10	21	21	22	20	20	26	37	39	36	61	58	61	96	104	294	1337	3218	1509	1395	304	1518	4046	1399	14
-129	False	17710	1	0	0	3	2	3	3	3	5	5	1	4	5	7	10	8	14	14	8	12	15	19	15	24	20	27	29	37	35	44	37	56	50	85	93	125	328	1442	3294	1532	1492	373	1579	4351	2485	15
-128	False	19596	0	0	1	4	7	4	6	8	7	5	7	4	3	7	11	13	14	15	14	14	28	19	29	24	16	44	26	40	41	46	51	59	64	90	86	140	307	1382	3394	1587	1619	424	1688	4582	3645	21
-127	False	21541	0	0	0	6	7	3	12	4	8	7	6	8	12	8	9	17	9	20	16	18	19	23	25	30	29	37	30	44	50	47	58	79	79	109	125	161	354	1420	3496	1629	1636	494	1795	4793	4779	30
-126	False	23402	0	0	0	6	6	4	11	12	11	2	7	8	10	17	14	17	23	23	22	22	19	29	34	25	30	51	43	47	67	64	56	94	72	127	125	181	401	1381	3477	1695	1679	555	1866	4966	6062	41
-125	False	25283	0	0	1	6	9	6	7	7	5	7	4	4	9	9	15	17	22	17	24	27	27	34	32	44	42	47	54	52	83	73	68	106	103	126	129	202	414	1438	3471	1699	1702	570	1944	5116	7428	83
-124	False	27198	1	0	0	10	12	8	9	8	8	11	10	10	16	10	14	21	15	22	25	32	26	35	43	35	42	51	58	66	83	64	68	107	96	145	141	188	407	1445	3566	1711	1750	629	2077	5251	8443	429
-123	False	29037	0	0	1	6	11	14	7	9	11	13	7	10	12	13	20	25	20	17	23	29	29	24	41	37	39	51	49	55	86	80	88	101	127	161	146	224	454	1407	3540	1792	1731	634	2107	5458	9291	1037
-122	False	30983	0	0	1	7	11	11	9	5	5	5	15	10	8	14	20	25	23	21	28	35	32	40	28	39	67	57	56	60	63	90	86	111	125	190	204	223	446	1478	3616	1738	1865	706	2097	5556	9952	1805
-121	False	32972	1	0	0	8	16	14	6	6	9	9	9	20	10	17	29	32	22	26	20	33	37	37	42	49	56	55	59	70	77	81	118	113	106	168	164	222	437	1607	3656	1811	1800	695	2160	5706	10708	2651
-120	False	34943	0	0	0	6	8	5	10	15	11	5	9	10	16	17	23	33	24	44	40	45	48	43	40	48	57	55	69	77	100	102	127	132	155	186	179	269	426	1514	3736	1889	1767	766	2218	5833	11156	3630
-119	False	36851	0	0	0	11	15	15	7	11	11	12	11	18	23	17	24	27	27	33	30	29	48	42	49	54	71	64	65	64	105	107	106	131	169	207	202	296	522	1467	3672	1869	1897	773	2257	5970	11664	4659
