pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-152	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
-151	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
-150	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
-149	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
-148	True	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0
-147	True	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0
-146	True	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0
-145	True	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0
-144	True	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	1	0
-143	True	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1	0
-142	True	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	4	0	0
-141	True	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	3	2	1	0
-140	True	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	3	3	0
-139	True	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	2	0	5	0
-138	True	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1	0	1	1	3	4	0
-137	True	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	4	1	2	0	2	4	5	0
-136	True	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	11	2	1	1	1	6	5	0
-135	True	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	7	4	4	0	5	10	4	0
-134	True	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	5	19	95	42	4	4	0	6	9	7	2
-133	True	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	1	1	0	1	3	1	3	4	16	110	117	17	5	5	22	55	6	3
-132	True	624	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	2	4	1	5	0	6	3	27	160	153	38	36	9	36	125	7	2
-131	True	902	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1	0	1	2	3	0	0	0	1	0	2	1	0	2	2	0	4	5	5	6	33	187	219	80	50	15	58	210	8	3
-130	True	1203	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	2	4	1	3	3	1	2	3	6	4	6	10	8	37	199	264	97	110	19	97	308	10	3
-129	True	1499	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	2	0	0	0	1	0	2	2	1	1	3	5	5	6	3	1	4	4	5	12	29	190	364	131	138	21	138	406	16	5
-128	True	1839	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	1	2	2	0	2	1	4	3	2	3	5	4	7	9	13	9	10	25	231	449	170	155	30	163	509	22	3
-127	True	2180	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	2	1	2	1	3	4	2	5	0	1	1	1	5	5	6	9	10	13	19	65	220	494	201	201	28	211	633	29	4
-126	True	2514	0	0	0	0	0	0	2	0	2	1	0	0	0	0	4	2	1	0	1	2	0	1	2	3	4	4	2	3	8	7	2	5	9	7	18	15	32	248	550	226	220	36	230	710	152	5
-125	True	2848	0	0	1	0	0	1	0	1	1	1	0	2	0	2	1	1	2	1	3	0	1	2	4	3	4	4	5	5	5	3	10	10	6	25	18	22	63	232	597	220	233	51	249	772	281	6
-124	True	3196	0	0	0	0	1	0	2	2	1	2	1	1	0	0	1	3	1	3	2	1	2	3	6	5	2	8	5	5	9	3	9	4	9	24	19	32	43	239	594	263	241	69	276	824	472	9
-123	True	3542	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	2	1	4	2	4	2	4	4	2	7	5	6	4	6	8	10	11	14	19	15	22	55	251	606	272	260	63	277	904	686	12
