pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-154	True	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	1	3	0	2	3	8	0
-153	True	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	3	3	1	1	5	4	2
-152	True	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	4	1	4	1	4	3	6	2
-151	True	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	7	2	2	1	2	4	5	2
-150	True	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	6	3	7	2	0	2	3	7	3
-149	True	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	9	4	4	1	2	5	10	3
-148	True	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	11	10	4	4	2	1	9	9	4
-147	True	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	14	4	4	3	7	7	12	8
-146	True	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	2	13	12	6	6	0	9	13	13	5
-145	True	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	4	8	13	11	6	1	10	20	18	5
-144	True	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3	0	5	20	23	10	8	2	12	24	17	8
-143	True	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	2	2	2	15	54	34	12	10	5	20	35	19	4
-142	True	2692	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	3	1	2	0	1	3	1	5	5	4	5	5	9	12	11	6	18	39	59	257	1619	469	17	11	9	30	55	22	11
-141	True	5939	0	0	0	0	1	0	1	0	0	0	0	2	0	1	1	1	3	4	3	2	4	2	5	8	8	2	13	12	15	13	15	21	26	34	48	94	363	2129	1453	299	86	79	368	785	29	9
-140	True	9725	0	0	0	0	1	0	0	0	1	1	3	5	4	0	2	4	5	2	6	8	8	8	10	10	7	8	14	18	21	19	21	29	27	58	73	113	476	2552	2249	648	516	177	770	1803	37	11
-139	True	13851	0	0	0	0	1	3	2	4	2	1	3	2	1	1	3	2	1	1	11	6	10	11	11	17	8	9	18	26	33	28	51	37	45	68	102	153	524	2810	3157	1096	958	248	1326	3011	41	9
-138	True	17937	0	0	0	2	3	2	0	2	0	2	4	4	3	2	11	10	3	7	12	10	11	9	15	18	13	22	32	24	35	41	48	65	71	97	127	166	513	2855	3869	1581	1669	362	1920	4233	53	11
-137	True	22084	0	0	0	1	0	2	3	3	5	3	7	3	6	9	7	14	10	13	11	14	10	17	15	26	20	24	24	40	49	40	48	63	76	114	152	216	572	2944	4681	2134	2249	454	2442	5484	65	14
-136	True	26251	0	0	1	4	3	3	3	6	4	3	3	3	5	9	11	12	11	16	17	19	14	15	23	17	26	25	36	45	57	63	63	94	93	157	157	215	586	3066	5802	2468	2710	596	2934	6760	77	19
-135	True	30488	0	0	0	8	6	7	1	4	2	11	4	7	10	11	8	22	12	17	22	18	21	26	26	33	44	49	42	45	49	81	81	109	97	148	162	283	716	3161	6686	3102	3074	684	3517	7922	135	25
-134	True	34767	0	0	0	4	6	5	12	7	9	9	10	13	10	16	10	13	15	33	20	24	27	41	32	41	53	53	58	72	87	87	72	103	118	187	194	291	732	3201	7266	3260	3315	715	3836	8755	1927	28
-133	True	39058	1	0	0	4	8	16	9	6	4	13	13	6	10	12	17	22	19	26	39	32	28	45	47	49	56	68	64	73	92	88	116	134	129	203	223	330	798	3242	7448	3530	3407	853	4117	9327	4302	32
-132	True	43342	0	0	0	7	9	11	8	16	12	12	9	15	10	18	13	25	34	29	20	31	43	52	50	60	68	87	73	100	107	123	114	130	145	232	244	372	787	3259	7714	3497	3602	968	4304	9867	7026	39
-131	True	47644	0	0	0	12	8	9	5	17	9	13	15	8	17	19	22	27	29	43	42	37	46	49	60	61	93	88	80	116	129	133	126	157	180	233	248	400	861	3288	7616	3797	3724	1047	4441	10257	10032	50
-130	True	51943	2	0	2	10	10	15	16	11	14	14	9	12	8	18	23	40	30	39	44	44	45	58	72	52	83	95	91	118	126	132	155	209	174	283	280	414	835	3349	7779	3806	3794	1117	4545	10898	13017	55
-129	True	56257	2	0	0	12	16	10	18	12	14	14	8	22	18	22	22	29	44	46	38	43	55	68	85	81	89	103	99	113	145	138	174	202	212	262	303	442	891	3403	7801	3890	3965	1276	4762	11215	16018	75
-128	True	60602	0	0	0	9	21	12	12	10	18	12	16	28	21	23	27	43	40	47	41	67	78	57	79	77	102	93	113	133	169	151	157	217	217	318	373	497	973	3360	7804	4017	3992	1372	4867	11821	19010	108
-127	True	64865	2	0	2	11	22	12	10	25	19	13	26	16	20	26	39	38	47	53	56	67	74	75	90	90	96	117	115	164	157	165	200	286	238	294	361	490	1007	3342	8045	4065	3977	1419	5033	12007	21007	1447
-126	True	69266	0	0	1	15	24	19	15	24	19	14	23	21	28	36	42	68	61	66	51	66	76	94	91	110	123	120	137	155	205	204	202	245	278	317	372	525	1056	3468	8043	4136	4106	1505	5164	12179	22626	3136
-125	True	73592	0	0	0	19	24	23	27	22	23	26	17	31	28	32	35	58	58	51	59	68	78	85	87	107	132	134	136	179	175	207	213	274	283	391	372	554	1041	3454	8165	4220	4175	1653	5267	12667	23657	5285
