pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-154	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
-153	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
-152	True	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
-151	True	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	1
-150	True	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	1	1	1
-149	True	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	2	0	0	3	1	0
-148	True	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	2	1	0	0	4	0	1
-147	True	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	0	2	2	1	1
-146	True	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	3	3	2	0	2	3	0	0
-145	True	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	4	1	2	4	0	2
-144	True	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	6	2	2	0	2	6	1	2
-143	True	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	1	4	4	2	4	1	0	8	1	2
-142	True	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	4	4	3	6	0	5	6	5	2
-141	True	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	6	4	5	1	6	9	6	1
-140	True	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	13	5	4	4	1	9	11	9	1
-139	True	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	4	5	6	72	25	5	6	1	7	20	8	1
-138	True	958	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	1	1	1	2	3	4	2	3	9	7	18	66	529	194	18	9	4	22	50	9	0
-137	True	2281	0	0	0	0	0	0	1	0	0	1	1	0	0	2	0	0	5	0	2	0	0	1	2	3	3	2	5	7	2	12	9	13	9	6	28	25	128	876	527	89	41	22	135	310	13	1
-136	True	3931	0	0	0	0	0	0	1	0	0	0	2	0	2	2	0	3	1	3	1	3	2	2	3	1	7	6	6	6	7	11	8	15	10	38	26	53	197	1061	895	239	190	64	302	747	16	1
-135	True	5832	0	0	0	2	0	1	0	1	0	1	2	0	0	1	2	2	3	2	2	2	2	3	5	3	3	8	9	11	13	15	9	25	27	30	49	59	219	1283	1335	418	356	99	543	1265	18	4
-134	True	7919	0	0	0	0	1	1	0	0	2	0	3	1	2	2	3	3	4	2	1	4	6	6	7	12	6	9	8	13	12	19	16	25	28	33	54	83	271	1405	1757	622	615	155	825	1874	24	5
-133	True	10231	0	0	0	0	0	2	1	1	1	0	3	1	2	3	4	8	3	3	4	4	7	10	4	11	9	9	13	18	23	20	28	36	37	54	70	111	297	1611	2174	912	906	192	1076	2531	27	5
-132	True	12711	0	0	0	1	2	1	2	3	2	1	0	5	5	3	1	6	5	8	9	6	7	11	9	15	13	16	24	27	21	26	28	42	37	67	81	104	335	1759	2843	1140	1171	250	1313	3272	32	8
-131	True	15312	0	0	0	2	2	4	4	1	2	2	6	7	7	3	4	4	8	8	10	11	15	13	18	16	12	20	26	29	36	32	44	48	51	73	105	132	368	1819	3391	1438	1446	308	1672	4000	105	10
-130	True	17919	1	0	0	1	1	1	4	4	1	5	5	4	3	1	4	5	7	8	16	12	24	10	14	20	26	34	29	25	37	38	44	48	60	77	109	142	403	1860	3887	1735	1613	352	1845	4696	699	9
-129	True	20829	1	0	0	3	4	2	8	0	5	3	3	3	4	10	11	11	10	14	17	11	14	16	23	17	25	28	29	40	48	54	58	62	61	109	111	163	458	2070	4174	1836	1837	462	2113	5209	1680	12
-128	True	23789	1	0	0	3	6	1	4	2	8	4	3	10	6	8	12	14	21	13	19	15	14	24	22	26	29	42	38	36	48	55	59	79	94	125	141	203	501	2171	4380	2049	1989	499	2316	5825	2857	17
-127	True	26749	0	0	0	4	4	4	5	6	15	6	4	8	4	7	13	17	17	14	19	13	22	20	39	31	52	34	46	49	58	64	62	90	90	126	145	203	495	2173	4812	2169	2176	580	2541	6239	4249	24
-126	True	29696	0	0	1	7	8	4	1	11	3	5	8	7	8	9	7	25	23	21	23	23	23	21	30	35	43	34	41	61	75	74	92	104	94	145	155	230	507	2194	4995	2260	2268	614	2649	6843	5892	23
-125	True	32769	0	0	1	7	7	7	4	4	10	9	5	8	13	13	13	17	20	19	24	26	18	31	31	43	46	56	59	59	90	70	90	103	114	170	177	258	548	2320	5056	2507	2359	712	2843	7226	7543	33
-124	True	35867	1	0	0	9	7	2	6	3	8	3	6	8	11	19	22	22	24	19	32	27	28	39	37	58	62	71	53	62	99	101	93	128	134	184	194	262	627	2369	5231	2502	2529	812	3019	7546	9308	90
-123	True	39038	0	0	0	3	10	22	14	4	9	11	9	15	12	14	21	26	27	33	26	46	46	34	54	60	86	51	76	63	111	97	121	136	149	227	214	288	635	2414	5382	2642	2595	847	3209	7940	10737	522
-122	True	42116	0	0	0	15	29	11	14	18	14	19	14	18	22	19	26	32	36	42	44	37	56	43	49	65	74	75	79	103	127	107	127	168	168	236	235	344	715	2404	5482	2732	2631	1038	3374	8225	11805	1244
-121	True	45298	1	0	2	9	11	9	9	11	12	14	11	17	18	24	24	43	34	41	25	47	53	54	57	80	62	79	82	110	130	117	143	162	150	236	232	300	708	2428	5543	2798	2807	1068	3506	8444	13454	2133
-120	True	48438	1	0	0	13	18	22	17	17	12	13	13	19	19	18	32	37	37	52	51	53	41	70	74	77	70	91	92	111	141	111	146	183	186	244	280	374	748	2511	5545	2844	2875	1084	3719	8798	14375	3204
-119	True	51611	0	0	0	11	20	14	16	18	19	16	21	20	23	21	37	37	44	62	55	60	52	54	81	69	99	110	103	111	138	142	164	187	197	275	263	357	760	2556	5783	2818	2906	1216	3899	9001	15447	4329
-118	True	54769	0	0	2	10	19	19	14	7	19	23	28	24	22	23	32	39	41	44	37	59	68	73	85	80	105	90	123	128	153	139	169	202	198	256	311	386	781	2529	5821	3014	2978	1290	3975	9160	16561	5632
-117	True	58003	2	0	1	13	15	16	17	19	29	17	19	29	17	26	33	40	42	54	61	60	61	76	86	90	105	102	97	140	161	126	165	225	212	275	311	421	783	2569	5947	3068	2948	1222	4029	9566	17657	7051
-116	True	61422	1	0	1	15	27	17	20	20	25	16	22	28	22	32	37	38	46	50	44	65	65	66	90	77	88	134	135	132	162	196	195	237	248	329	324	462	841	2719	6095	3078	3089	1377	4129	9742	18503	8383
-115	True	64631	2	0	1	19	25	20	19	25	28	37	26	33	32	33	45	70	53	57	65	53	91	87	91	99	97	108	125	149	175	173	223	233	242	327	385	460	799	2621	6145	3178	3036	1440	4180	10060	19642	9822
-114	True	67836	0	0	0	11	34	14	25	11	21	25	28	31	33	26	50	46	43	65	68	68	83	93	108	101	139	141	128	139	186	186	204	264	255	369	354	520	866	2644	6209	3185	3199	1616	4402	10211	20223	11412
-113	True	71095	6	0	1	23	25	19	22	26	25	21	30	39	36	28	46	43	64	58	52	84	81	79	109	106	114	144	153	166	203	213	198	288	288	344	390	562	836	2745	6229	3369	3261	1681	4481	10329	21097	12981
-112	True	74382	3	0	1	27	27	35	23	26	19	23	26	30	26	27	45	72	62	71	74	69	69	87	112	125	132	171	180	182	206	226	242	317	336	384	439	494	951	2773	6297	3484	3225	1666	4596	10520	21764	14718
-111	True	77695	0	0	0	23	27	44	24	32	29	27	32	29	43	42	53	57	63	62	74	73	113	93	119	111	146	160	190	212	220	240	264	313	314	450	437	584	962	2863	6292	3379	3419	1748	4711	10818	22529	16274
-110	True	80917	3	0	1	25	41	31	40	30	38	33	37	33	37	59	65	74	76	76	92	97	121	113	136	137	187	174	209	203	269	280	297	369	382	444	484	633	981	2833	6302	3477	3501	1898	4937	11090	22919	17653
-109	True	84236	1	0	1	20	38	34	41	23	33	33	41	38	45	57	65	66	69	83	96	106	122	127	129	139	174	190	205	221	270	244	298	339	341	450	517	665	1013	2952	6369	3581	3450	1983	5048	11207	23729	19583
