pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-152	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
-151	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
-150	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
-149	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
-148	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
-147	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
-146	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
-145	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
-144	True	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
-143	True	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
-142	True	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0
-141	True	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0
-140	True	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	1	0
-139	True	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	1	4	1	0
-138	True	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	1	3	3	1	0
-137	True	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	3	5	71	34	0	1	1	1	4	1	1
-136	True	310	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	3	1	2	4	5	18	113	75	10	3	2	19	44	2	1
-135	True	543	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	3	2	0	0	1	1	4	3	3	2	9	23	154	130	30	21	4	43	104	1	1
-134	True	829	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	1	3	1	1	2	3	3	4	1	5	12	9	35	189	181	53	50	7	73	186	3	1
-133	True	1076	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	1	1	0	2	0	1	2	0	1	3	4	3	6	11	9	29	169	244	90	85	17	111	277	3	1
-132	True	1339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	2	2	2	1	4	1	3	3	4	6	7	8	14	13	34	185	301	114	110	17	133	365	4	1
-131	True	1586	0	0	0	1	0	0	0	1	2	0	0	0	0	0	1	0	1	0	1	0	1	4	2	4	0	2	2	1	4	10	2	6	5	10	7	10	42	183	341	145	160	24	154	451	8	1
-130	True	1878	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	1	1	3	4	0	2	1	4	2	1	3	3	4	5	7	5	6	5	11	16	50	212	421	172	187	24	193	517	11	2
-129	True	2167	0	0	0	0	0	0	0	0	2	0	1	0	2	0	2	1	1	1	2	0	3	2	1	1	1	2	3	4	6	4	4	5	11	12	24	13	44	218	450	225	183	45	215	584	93	2
-128	True	2453	0	0	0	0	0	2	2	0	0	0	2	0	1	2	0	4	2	1	2	1	2	1	4	5	3	6	3	7	3	7	4	14	6	17	14	22	48	216	488	204	225	46	253	615	219	2
-127	True	2730	1	0	0	0	2	3	0	1	3	2	3	0	1	1	2	1	2	2	1	2	2	2	1	3	6	3	2	4	5	11	7	3	5	12	11	29	56	213	499	230	227	56	263	666	384	3
