pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-150	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
-149	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
-148	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
-147	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
-146	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
-145	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
-144	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
-143	False	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
-142	False	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
-141	False	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
-140	False	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0
-139	False	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	2	1	0	0	0	0	1	0
-138	False	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	0	0	1	0	1	0
-137	False	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	3	2	0	1	1	1	0
-136	False	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	11	69	15	0	4	0	3	4	1	0
-135	False	257	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	1	4	10	11	88	65	14	3	5	17	31	0	1
-134	False	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	1	0	1	1	0	0	0	4	6	5	14	121	110	29	22	8	33	75	1	1
-133	False	643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	0	2	0	2	2	2	3	1	1	4	4	4	3	26	139	146	50	45	12	57	134	0	1
-132	False	855	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	1	1	2	2	2	4	0	3	5	5	10	23	138	181	75	84	16	88	204	2	1
-131	False	1077	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2	1	1	0	0	1	2	1	0	3	2	0	1	3	3	5	6	9	11	25	156	230	82	109	23	97	297	3	1
-130	False	1346	0	0	0	3	0	1	0	0	0	0	0	0	0	1	1	0	2	1	0	0	2	2	0	1	2	1	1	2	4	4	2	6	5	8	8	16	28	187	291	105	137	27	134	356	7	1
-129	False	1594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	3	3	0	0	6	3	2	5	2	1	5	5	2	7	7	20	48	173	337	146	141	30	181	449	11	1
-128	False	1842	1	0	0	0	0	1	1	2	0	0	1	0	1	1	1	0	1	0	0	1	3	4	0	2	4	8	0	5	9	8	6	9	6	5	9	11	36	185	359	174	172	36	194	507	78	1
-127	False	2127	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	2	1	3	1	0	3	3	5	1	1	4	2	0	4	9	5	11	12	15	6	17	44	214	407	194	175	43	227	525	186	1
-126	False	2402	0	0	0	0	1	0	1	0	0	0	0	0	1	3	2	1	2	3	1	2	2	1	6	2	3	8	3	8	4	5	4	9	9	9	11	19	45	215	426	194	204	52	233	594	318	1
-125	False	2679	0	0	0	0	1	0	0	0	4	0	2	1	1	0	1	3	3	4	0	3	5	4	3	1	8	7	1	6	9	2	7	10	11	12	21	31	51	200	458	207	230	61	239	611	459	2
-124	False	2976	0	0	0	3	1	1	0	0	0	0	1	1	0	0	4	2	3	4	2	2	3	5	3	6	2	7	2	6	8	16	4	15	15	16	15	29	51	223	495	212	228	57	269	654	607	4
-123	False	3243	0	0	0	1	0	0	2	4	0	1	1	2	1	0	1	3	0	1	3	1	4	6	4	1	3	0	6	10	8	7	4	13	10	20	14	28	53	203	491	219	261	73	266	726	787	5
-122	False	3512	0	0	0	0	0	0	0	1	0	0	1	2	3	3	0	2	2	3	3	3	4	0	2	7	3	7	6	9	12	13	15	10	8	38	20	24	46	217	470	268	244	71	289	731	964	11
-121	False	3788	0	0	0	0	0	0	1	1	1	0	0	2	1	0	3	4	3	4	3	4	4	2	7	2	7	7	7	11	11	12	10	21	15	18	18	21	45	219	513	255	261	75	300	762	1102	56
-120	False	4070	0	0	0	1	0	1	1	3	1	3	1	0	1	2	1	2	0	1	3	3	1	2	6	6	5	5	17	9	13	6	9	14	18	23	22	29	57	232	487	270	262	90	307	799	1231	126
-119	False	4348	0	0	0	1	3	0	2	1	1	0	1	1	3	1	1	3	5	4	2	4	3	6	6	6	5	7	7	6	21	7	9	13	11	20	19	38	66	218	527	244	251	96	333	803	1359	234
-118	False	4636	0	0	0	1	1	0	1	2	1	2	2	1	0	3	4	6	2	4	6	5	5	8	8	7	5	11	10	8	14	7	16	14	21	23	18	33	73	221	534	254	259	91	358	844	1410	343
-117	False	4955	0	0	0	1	1	0	1	0	2	1	1	2	3	2	7	5	3	7	5	6	4	5	9	5	8	5	12	19	7	18	10	25	22	30	21	39	68	242	511	269	251	110	336	871	1524	487
-116	False	5231	0	0	0	2	4	1	2	1	2	1	5	2	2	1	5	2	4	5	4	1	4	4	10	7	5	9	10	10	15	11	12	24	17	26	24	46	78	221	533	253	259	99	352	905	1627	626
-115	False	5525	0	0	0	0	2	2	1	0	4	2	2	1	3	1	2	5	5	3	7	8	2	1	11	9	7	11	12	13	16	16	23	21	19	27	32	55	68	244	540	270	277	117	358	862	1693	773
-114	False	5802	0	0	0	1	2	3	1	3	0	6	4	2	5	3	3	4	8	4	8	9	6	6	8	12	3	11	12	16	22	21	18	20	27	39	26	36	70	246	556	291	263	113	391	896	1775	852
-113	False	6102	0	0	0	3	4	0	2	2	2	1	1	4	0	4	11	3	4	7	4	4	7	8	13	10	8	14	14	13	15	23	21	27	27	36	43	40	95	230	540	307	273	155	378	907	1839	1003
-112	False	6390	0	0	0	2	2	5	2	4	0	2	2	0	5	4	4	7	6	8	6	5	10	11	6	10	10	11	20	14	16	15	17	23	27	35	38	57	89	230	568	294	298	133	362	929	1946	1157
-111	False	6675	0	0	0	2	5	5	2	2	6	2	2	2	6	1	7	2	6	9	9	9	11	11	8	12	12	16	11	20	15	16	17	24	31	32	34	39	94	243	609	293	301	156	378	947	1983	1285
-110	False	6973	1	0	0	4	4	4	6	2	2	1	1	6	7	5	3	7	4	8	8	5	6	6	6	18	8	19	17	13	20	25	18	24	27	40	28	42	87	263	608	291	292	158	394	969	2017	1499
-109	False	7272	0	0	0	1	5	0	4	1	5	4	5	4	1	4	4	4	3	9	5	7	7	15	12	13	12	14	14	23	29	25	23	26	21	38	48	53	84	246	591	312	293	172	419	969	2116	1631
-108	False	7567	0	0	0	2	1	2	1	3	1	2	5	1	5	3	9	8	8	7	12	5	3	15	8	20	12	11	15	18	22	26	23	34	32	36	38	56	90	254	580	317	297	166	425	1002	2169	1823
-107	False	7826	0	0	0	4	6	3	3	2	4	5	5	4	5	3	7	10	2	9	5	5	11	11	14	17	13	14	15	29	23	26	22	28	41	44	39	51	86	234	581	313	307	174	411	1038	2219	1983
-106	False	8135	0	0	0	3	5	4	6	4	2	7	7	3	4	5	6	5	6	10	11	9	13	11	8	9	13	15	17	23	20	25	33	28	39	35	44	55	93	273	580	312	313	170	462	1061	2271	2115
-105	False	8413	0	0	0	4	2	2	3	3	2	3	2	3	7	6	1	5	7	8	11	4	7	9	20	9	21	26	18	20	20	24	24	38	25	39	63	60	92	245	580	278	314	194	461	1123	2357	2273
-104	False	8695	0	0	0	4	7	3	2	2	2	3	5	3	7	8	4	8	7	9	5	5	11	12	10	13	13	17	14	13	35	32	28	36	45	48	52	64	84	241	584	274	280	182	489	1096	2460	2478
-103	False	8969	0	0	0	2	6	6	1	9	4	5	4	5	5	3	5	7	7	8	7	10	15	6	12	14	17	20	27	17	34	26	31	38	34	52	55	74	88	261	594	282	318	206	479	1098	2407	2670
-102	False	9286	0	0	0	4	5	4	4	3	2	3	4	7	9	11	7	9	8	13	8	10	17	14	13	10	9	23	25	29	27	30	33	48	41	43	65	69	97	301	539	319	313	182	478	1100	2534	2816
-101	False	9563	0	0	0	4	2	1	8	4	6	3	7	4	5	2	6	11	11	9	8	7	5	12	17	19	28	15	30	24	31	26	40	32	43	48	57	63	101	270	608	297	334	201	521	1103	2594	2946
-100	False	9835	0	0	0	3	2	8	2	7	2	3	2	4	7	1	5	10	8	9	7	6	11	11	23	19	19	17	27	21	37	29	30	49	48	52	53	70	114	249	597	303	360	175	512	1162	2672	3089
-99	False	10133	0	0	0	4	9	8	7	7	8	1	7	8	6	11	1	9	10	12	15	9	10	10	20	16	17	19	25	24	41	32	36	31	38	40	55	73	103	297	602	346	334	217	484	1210	2665	3256
-98	False	10439	1	0	0	6	4	5	3	6	4	6	6	4	3	5	10	7	8	10	8	13	16	13	13	18	17	22	28	27	33	35	45	48	26	52	52	89	110	273	556	359	362	233	497	1146	2824	3436
-97	False	10776	0	0	1	1	6	7	6	6	3	5	6	5	8	5	9	9	7	12	15	17	15	11	17	13	17	16	33	25	27	36	29	36	46	61	59	65	121	301	627	344	359	216	542	1179	2870	3583
-96	False	11098	0	0	0	8	7	8	8	3	2	7	6	5	3	8	9	10	14	12	15	15	16	24	24	23	21	25	35	22	45	30	43	50	56	58	77	61	131	286	621	377	353	225	523	1166	2888	3778
-95	False	11438	1	0	0	5	5	5	2	6	4	4	9	5	9	3	6	5	13	11	13	18	14	21	28	20	15	26	30	31	39	32	36	57	47	54	64	85	114	316	611	396	356	225	579	1215	2991	3912
-94	False	11770	1	0	0	4	7	4	11	5	5	5	2	7	5	13	7	11	13	5	17	6	9	22	16	25	24	28	27	41	36	32	42	45	53	59	62	75	149	331	596	368	373	243	582	1301	3015	4088
-93	False	12083	0	0	0	4	6	7	4	7	4	5	5	5	4	6	13	9	19	8	13	11	12	15	24	15	29	21	42	32	44	45	34	55	38	57	73	82	124	325	611	399	375	263	610	1295	2996	4337
-92	False	12409	1	0	1	3	4	7	5	9	10	9	6	4	10	6	10	9	15	15	19	17	16	20	19	17	27	22	24	32	48	44	43	44	68	55	88	83	126	352	630	408	417	274	596	1327	3039	4430
-91	False	12714	3	0	0	6	6	10	6	8	6	4	7	8	7	10	6	9	14	5	11	12	20	17	21	19	25	17	29	33	42	36	47	42	52	73	76	86	123	325	649	392	378	278	633	1358	3076	4729
-90	False	13003	1	0	0	4	7	8	5	11	5	7	3	7	2	13	11	7	14	14	11	20	14	21	26	28	15	19	31	39	47	52	47	63	51	63	75	115	137	291	648	399	423	270	621	1359	3236	4763
-89	False	13299	0	0	0	1	4	5	8	6	7	4	5	7	3	4	9	19	15	17	16	10	16	16	18	19	20	26	27	35	39	35	40	64	60	56	80	95	119	304	677	402	377	273	614	1330	3352	5065
-88	False	13581	1	0	0	4	5	11	9	8	9	6	5	7	6	8	11	6	13	14	11	19	22	19	19	26	28	34	40	30	52	44	38	49	55	68	81	93	137	308	665	409	415	278	647	1323	3442	5106
-87	False	13864	1	0	0	2	6	9	4	6	2	6	5	6	5	12	6	12	15	12	10	12	20	19	33	22	27	26	41	26	51	37	44	56	61	71	81	105	134	285	650	391	419	319	618	1310	3498	5389
-86	False	14157	0	0	1	4	8	12	2	6	8	9	7	8	15	9	6	10	14	6	15	18	21	22	21	22	32	26	28	26	36	42	50	55	80	73	94	104	138	323	624	418	404	293	630	1368	3555	5514
-85	False	14452	0	0	1	4	8	11	5	10	11	8	5	6	7	8	12	13	12	10	10	15	25	15	29	18	34	29	41	35	37	42	55	67	59	72	77	108	140	309	684	394	436	292	609	1312	3635	5742
-84	False	14759	1	0	1	3	8	4	15	3	6	8	12	5	14	9	13	10	16	22	17	19	15	19	24	30	22	45	46	33	55	43	53	65	58	85	100	106	131	331	626	428	402	307	618	1347	3775	5809
-83	False	15082	1	0	2	5	12	8	10	3	7	5	4	7	7	12	5	9	12	22	14	11	15	28	25	27	23	36	46	41	42	51	40	64	78	87	66	121	156	343	684	410	410	310	637	1415	3779	5992
-82	False	15386	0	0	0	6	17	9	8	8	6	13	19	7	14	9	11	10	11	15	18	19	14	27	29	24	26	36	47	50	39	47	50	61	73	60	91	102	156	341	664	404	446	307	681	1379	3823	6209
-81	False	15697	0	0	0	9	9	8	9	14	11	8	7	8	9	7	12	11	7	18	15	18	19	27	16	24	28	37	32	34	44	57	60	61	90	79	87	118	151	351	680	432	427	346	619	1401	3871	6426
-80	False	15967	1	0	0	7	9	12	5	9	6	10	7	7	6	14	17	16	17	14	25	25	20	27	37	36	31	28	34	38	51	36	46	70	85	79	66	115	172	316	671	446	438	348	663	1488	3815	6604
-79	False	16250	0	0	0	7	8	10	10	8	13	8	9	14	16	12	10	17	18	15	19	20	24	28	26	28	38	33	38	43	50	61	56	60	66	95	99	104	145	309	664	422	482	337	715	1487	3904	6722
-78	False	16570	0	0	0	8	8	12	5	7	6	13	14	12	10	12	15	10	16	10	23	33	20	25	26	32	31	40	41	55	38	55	51	68	80	79	77	118	156	355	677	436	453	333	684	1485	4024	6917
-77	False	16881	0	0	0	9	17	12	14	9	7	9	11	8	12	13	10	15	16	24	22	26	16	23	33	42	29	37	49	43	50	50	52	81	80	78	107	107	172	357	712	432	461	337	700	1544	3946	7109
-76	False	17216	1	0	0	4	7	10	12	13	11	7	15	8	18	19	15	15	19	17	13	22	25	27	29	31	35	42	43	46	61	71	61	68	83	80	83	130	149	369	708	424	470	368	754	1539	4017	7277
-75	False	17488	0	0	0	7	10	9	6	15	12	9	13	8	14	9	17	13	21	19	19	22	21	29	38	26	26	33	42	54	53	49	74	65	81	104	101	108	149	327	714	458	459	358	717	1512	4147	7520
-74	False	17756	0	0	0	8	7	11	13	6	9	14	10	13	12	10	16	14	15	20	26	17	23	22	24	28	37	48	50	55	58	69	70	76	90	88	106	102	153	349	618	468	483	362	688	1502	4301	7665
-73	False	18048	0	0	0	12	13	12	13	8	7	14	9	16	13	15	14	14	18	20	19	22	19	29	22	41	44	49	52	51	46	42	57	91	98	96	115	135	195	330	663	420	502	389	750	1478	4217	7878
-72	False	18351	3	0	0	4	8	7	12	8	14	13	14	8	14	14	12	22	21	16	23	20	21	26	30	29	48	41	49	37	58	53	63	80	75	102	115	134	186	360	645	483	469	355	742	1538	4378	8001
-71	False	18622	1	0	0	7	16	13	11	27	12	14	14	13	11	17	22	25	17	12	28	17	29	31	27	31	39	44	48	52	63	65	88	80	90	81	118	131	161	341	705	469	485	400	720	1589	4344	8114
-70	False	18917	0	0	0	10	13	7	11	14	10	11	17	16	16	12	23	15	21	20	18	37	38	22	35	42	41	41	53	42	72	51	63	83	82	90	114	137	173	361	697	462	464	404	775	1575	4355	8374
-69	False	19230	2	0	1	11	10	18	15	13	16	13	14	19	18	11	11	19	16	31	23	27	33	32	33	39	44	56	44	58	51	69	63	83	83	85	111	147	191	377	703	452	474	396	755	1595	4450	8518
-68	False	19524	2	0	0	7	17	13	12	11	5	12	9	12	11	16	23	24	15	27	16	35	35	30	33	25	39	44	42	54	81	74	68	68	101	87	103	123	152	345	715	452	437	394	771	1601	4576	8807
-67	False	19820	1	0	0	10	15	6	8	11	14	17	12	17	20	18	14	30	20	35	15	38	36	32	43	33	48	45	50	38	60	74	90	74	108	113	108	132	205	385	667	450	455	402	792	1578	4500	9001
-66	False	20144	1	0	1	6	12	8	19	13	10	9	14	11	13	21	18	21	19	19	24	26	25	34	35	36	53	46	50	46	65	69	60	84	77	104	117	146	168	372	746	441	491	428	755	1593	4594	9244
-65	False	20441	2	0	0	6	14	19	10	10	14	15	15	11	19	17	11	21	25	21	23	27	29	30	40	39	45	49	40	53	81	75	76	73	91	102	105	138	179	361	788	422	489	440	760	1667	4594	9395
-64	False	20766	1	0	0	6	15	11	14	8	15	19	14	6	9	22	13	26	24	21	19	25	25	39	33	33	42	44	47	65	50	74	72	85	107	105	127	138	189	405	733	487	505	385	803	1651	4693	9561
-63	False	21082	1	0	1	12	9	14	19	8	12	12	14	12	15	11	11	23	25	36	24	33	24	35	29	39	44	47	51	70	60	73	71	70	89	100	118	123	183	408	738	489	486	417	805	1635	4721	9865
-62	False	21374	4	0	0	8	9	15	8	13	15	14	13	20	14	16	15	26	30	25	23	19	28	36	37	34	39	49	70	65	62	81	69	94	113	91	138	123	176	370	762	491	519	427	829	1668	4791	9925
-61	False	21671	0	0	0	9	18	12	9	8	17	16	16	14	22	15	16	15	16	19	27	28	27	17	32	44	44	48	60	51	70	70	77	89	96	117	136	130	184	353	742	503	518	409	844	1676	4759	10298
-60	False	21964	0	0	0	7	18	6	16	15	21	9	19	11	18	20	17	14	17	28	29	26	39	32	38	43	45	40	52	53	84	71	74	105	112	104	158	162	190	382	724	505	546	455	846	1709	4755	10349
-59	False	22286	1	0	0	12	22	10	12	13	14	19	20	17	19	16	20	20	26	20	22	32	29	34	36	40	47	47	51	52	73	74	65	116	98	103	140	150	174	390	784	504	529	465	817	1684	4928	10541
-58	False	22553	1	0	0	16	14	18	13	15	8	16	20	13	16	12	18	19	24	23	28	34	33	31	34	43	39	47	54	58	84	96	70	95	102	108	135	131	175	377	748	506	535	446	835	1685	5018	10760
-57	False	22876	1	0	1	12	13	13	11	14	15	14	18	22	19	21	11	25	26	27	24	30	28	23	34	45	34	58	62	55	66	59	72	87	105	115	126	186	196	389	745	515	540	466	803	1754	5055	10941
-56	False	23183	3	0	0	7	7	7	10	19	11	6	12	17	11	19	28	14	13	25	23	27	24	33	37	38	39	61	48	67	80	62	70	68	91	111	125	144	191	384	787	523	523	428	851	1765	5147	11227
-55	False	23499	3	0	0	11	9	16	16	17	14	13	14	15	14	15	21	29	27	33	15	36	35	30	46	42	51	48	64	61	77	86	85	83	103	98	137	150	213	388	781	478	516	490	851	1782	5182	11304
-54	False	23809	0	0	0	10	20	16	10	16	17	12	10	24	10	14	23	21	20	20	24	24	37	35	38	57	49	39	61	63	80	70	87	95	106	112	130	152	232	401	751	509	527	490	857	1832	5243	11465
-53	False	24110	1	0	0	8	16	13	13	15	13	12	14	18	18	13	18	26	26	25	31	20	33	35	33	50	38	56	76	55	68	66	70	107	121	111	119	127	217	385	741	526	548	436	876	1837	5398	11681
-52	False	24412	3	0	0	10	11	18	16	16	20	15	10	21	14	19	26	26	27	26	19	33	38	45	56	49	30	50	59	50	78	93	67	113	101	118	152	152	235	380	770	518	527	477	830	1858	5421	11815
-51	False	24721	3	0	1	13	17	12	15	10	14	12	15	20	23	22	13	17	20	19	35	33	28	34	34	51	40	56	56	59	90	76	82	108	112	125	150	175	185	379	778	535	549	486	911	1811	5407	12090
-50	False	24998	2	0	1	11	14	13	17	8	10	17	17	16	10	11	17	21	25	28	28	27	39	40	39	39	47	48	58	57	75	73	95	87	104	141	130	169	214	390	764	513	561	492	900	1878	5492	12260
-49	False	25319	2	0	0	6	24	16	9	13	21	17	18	16	21	12	27	35	19	23	25	34	42	40	48	54	52	43	69	56	86	79	92	104	100	130	157	173	236	397	774	538	587	509	895	1850	5455	12415
