pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-151	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
-150	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
-149	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
-148	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
-147	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
-146	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
-145	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
-144	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
-143	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
-142	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
-141	True	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0
-140	True	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	14	76	42	0	1	0	0	2	1	0
-139	True	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	2	0	9	99	38	3	59	5	10	59	1	0
-138	True	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	1	0	2	0	1	1	1	2	0	0	0	2	2	14	80	41	5	109	11	41	109	1	0
-137	True	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	2	1	1	4	3	7	16	88	26	7	167	21	53	156	1	0
-136	True	693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	1	0	0	0	2	1	4	1	1	4	3	2	14	83	37	14	232	16	80	192	0	1
-135	True	829	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	2	0	0	0	1	0	0	2	1	2	1	5	6	6	15	89	38	13	287	27	93	235	0	1
-134	True	947	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	4	3	2	0	2	1	0	3	3	3	2	6	10	15	70	39	19	344	30	103	280	0	1
-133	True	1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	1	2	0	3	2	1	2	5	3	2	4	9	23	95	42	20	404	40	116	313	2	1
-132	True	1231	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	1	1	0	1	2	0	1	1	1	0	1	7	11	17	86	55	27	408	35	134	322	92	20
-131	True	1384	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	2	0	0	3	1	1	1	0	2	1	0	1	0	2	2	1	5	7	8	21	106	45	29	416	42	123	339	184	38
-130	True	1545	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	2	2	2	2	2	2	1	0	8	2	6	4	9	7	27	104	47	19	422	40	143	359	267	63
-129	True	1678	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	3	1	1	0	1	1	1	1	2	2	4	2	5	7	3	4	6	2	6	5	28	93	39	30	427	51	146	365	369	69
-128	True	1827	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	3	2	2	1	1	2	1	2	7	5	5	7	5	5	4	7	9	9	23	93	55	33	443	55	136	376	439	91
-127	True	1982	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	1	1	3	2	3	0	3	2	4	1	0	3	2	4	3	6	6	9	4	12	8	21	119	57	30	440	58	141	401	507	126
-126	True	2139	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	4	0	4	3	3	1	4	3	3	3	3	2	4	9	7	5	6	6	9	13	23	104	60	35	445	61	169	445	574	125
-125	True	2280	0	0	0	0	2	0	1	0	0	1	1	0	1	0	3	2	2	2	1	0	5	3	0	2	2	2	5	6	0	3	4	5	7	3	9	11	25	105	52	30	459	73	171	443	631	208
-124	True	2400	0	0	0	0	0	2	0	0	1	0	1	1	0	2	1	0	4	1	1	0	1	1	2	4	2	2	1	6	4	4	6	4	13	4	4	10	26	104	49	36	477	61	178	451	634	302
-123	True	2541	0	0	0	1	1	1	1	0	0	0	0	2	0	2	1	1	0	1	2	2	3	1	3	1	4	2	4	3	7	8	6	4	14	8	15	18	19	96	53	28	455	84	181	437	662	410
-122	True	2663	0	0	0	1	1	0	1	1	0	3	0	1	0	5	1	2	2	0	2	5	1	2	0	3	2	3	7	2	6	11	5	4	13	4	7	18	27	101	46	33	439	71	190	443	698	502
-121	True	2805	0	0	0	0	1	2	1	1	2	0	1	3	1	1	1	4	1	0	3	2	0	2	6	2	2	6	0	4	3	8	6	7	10	13	10	12	29	98	71	34	469	76	190	436	698	589
-120	True	2949	0	0	0	1	0	0	0	0	0	0	3	1	1	0	1	1	4	1	1	1	5	4	4	3	3	3	2	4	5	3	10	12	10	15	13	15	34	98	54	41	447	74	186	454	753	682
-119	True	3083	0	0	0	0	0	0	1	1	1	0	0	2	2	2	2	3	2	2	2	0	3	4	3	4	9	3	6	8	5	6	12	11	16	3	13	19	28	96	56	35	436	82	189	457	786	773
-118	True	3235	0	0	0	1	3	1	2	2	0	1	2	2	2	1	0	3	3	4	3	3	3	0	4	9	3	3	4	8	8	5	7	7	9	11	21	16	25	118	65	46	431	81	175	473	800	870
-117	True	3369	0	0	0	0	1	0	1	0	0	0	1	0	3	2	0	1	1	2	0	4	2	3	3	4	6	7	2	8	7	7	10	7	12	13	17	19	32	106	66	38	419	85	192	463	862	963
-116	True	3512	0	0	0	1	1	2	1	2	1	2	0	1	5	3	2	1	1	2	4	3	4	3	4	2	3	5	5	8	5	5	11	8	7	5	18	15	30	109	79	46	406	82	204	493	862	1061
-115	True	3641	0	0	0	0	1	0	0	1	0	1	0	0	1	3	1	0	1	3	2	2	3	2	8	7	3	4	6	7	13	15	9	15	17	6	20	19	25	118	55	51	398	81	204	516	832	1191
-114	True	3802	0	0	0	1	0	1	0	1	1	2	2	0	3	1	2	3	2	2	3	3	5	3	5	7	5	7	8	6	8	5	13	8	15	14	23	17	32	128	75	50	405	85	201	548	851	1251
-113	True	3929	1	0	0	2	2	4	0	2	0	1	0	2	3	0	0	1	4	5	0	4	5	2	6	6	4	6	9	5	13	6	16	13	21	9	19	21	30	111	62	53	418	80	209	529	897	1348
-112	True	4053	0	0	0	1	0	0	3	3	1	1	3	1	2	3	2	2	2	2	2	5	3	6	5	4	8	7	17	7	8	3	14	10	19	14	23	19	22	113	76	54	425	83	233	505	874	1468
-111	True	4166	0	0	0	1	3	0	0	3	0	2	4	1	1	4	2	4	4	3	2	2	6	4	6	7	6	8	11	4	10	8	19	17	16	12	27	21	23	96	64	56	399	86	253	518	873	1580
-110	True	4319	0	0	0	1	1	3	0	2	0	3	1	2	1	1	1	1	8	2	5	3	6	3	4	6	6	8	9	9	8	14	8	13	19	12	20	33	45	116	78	43	395	96	217	514	952	1650
-109	True	4467	0	0	0	0	5	2	1	1	0	2	3	1	6	1	2	3	3	5	4	1	6	3	8	3	9	9	8	5	11	15	9	8	17	11	24	25	38	123	67	51	420	85	240	541	932	1759
-108	True	4587	1	0	0	0	0	2	2	1	2	0	1	2	2	2	2	2	4	6	1	3	5	4	11	7	3	9	7	2	9	9	10	12	19	16	24	28	27	100	68	51	411	92	234	526	995	1875
-107	True	4723	0	0	0	2	3	2	0	0	2	2	4	7	4	3	3	4	3	5	4	7	6	8	4	3	5	6	4	13	7	8	18	10	18	14	24	26	52	115	79	42	418	97	210	519	989	1973
-106	True	4863	0	0	0	0	3	1	1	0	1	1	3	3	4	1	3	1	3	2	1	10	4	3	9	3	5	11	7	11	11	16	16	13	11	14	28	33	43	126	81	49	401	91	236	488	1078	2037
-105	True	5016	0	0	0	1	1	3	2	3	0	3	1	3	2	5	10	1	4	3	3	5	6	3	6	9	7	3	2	12	14	8	15	12	16	19	29	23	37	140	67	48	417	99	255	547	1021	2151
-104	True	5151	0	0	0	1	0	1	1	1	3	0	2	1	3	3	1	1	3	1	4	7	3	5	4	12	13	9	6	13	11	11	11	19	23	22	30	27	39	102	89	75	436	94	267	513	1045	2239
-103	True	5298	0	0	0	0	0	3	2	1	1	1	2	1	2	3	2	2	1	4	3	8	7	4	6	5	4	9	11	8	19	11	13	20	21	23	21	19	45	120	76	72	479	95	246	539	1062	2327
-102	True	5439	0	0	0	3	2	3	6	0	4	0	1	0	4	3	2	3	4	3	5	5	6	5	7	10	14	9	9	12	12	16	8	13	20	14	29	28	39	135	84	72	474	100	275	537	1069	2394
-101	True	5571	0	0	0	0	2	1	0	1	2	5	2	4	4	5	4	4	9	7	7	5	6	6	11	3	10	8	10	9	14	16	20	18	23	27	25	20	41	120	80	73	445	86	287	532	1104	2515
-100	True	5728	0	0	0	1	3	2	2	3	1	2	5	1	2	2	1	5	3	7	4	6	9	13	7	6	9	7	7	12	8	18	12	8	24	23	32	32	36	129	109	70	466	124	258	548	1103	2608
-99	True	5879	0	0	0	1	1	4	4	2	4	4	1	0	2	5	5	3	5	1	3	8	5	6	11	6	9	16	14	13	18	23	19	28	14	23	35	21	43	131	85	70	458	94	281	576	1141	2686
