pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-134	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
-133	True	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	4	34	15	0	0	0	0	0	0	0
-132	True	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	6	50	21	0	30	0	2	21	0	0
-131	True	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	6	52	25	2	62	3	13	48	0	0
-130	True	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	2	1	1	2	3	8	59	24	2	92	4	30	78	0	0
-129	True	416	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	2	0	2	0	4	2	14	58	36	7	128	8	39	110	0	0
-128	True	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	1	2	0	2	2	1	5	4	8	68	39	11	170	14	41	159	0	0
-127	True	630	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	5	2	7	69	31	11	212	18	79	189	0	0
-126	True	733	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	2	1	5	1	0	1	2	6	2	10	68	28	16	241	27	86	229	0	0
-125	True	868	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	2	0	0	1	2	1	1	4	0	4	3	5	2	6	3	14	93	40	9	256	28	102	249	35	4
-124	True	989	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	2	2	2	1	1	3	1	2	0	3	1	2	1	2	5	5	17	75	45	24	285	29	92	280	87	15
-123	True	1109	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	3	0	1	2	1	0	1	3	2	4	6	19	78	43	22	318	37	102	292	142	21
-122	True	1220	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	1	2	0	2	1	0	1	3	4	5	6	3	4	4	15	85	39	27	305	39	115	315	207	32
-121	True	1345	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	1	1	2	0	0	0	0	1	1	1	2	1	1	1	3	4	1	5	2	5	7	10	90	47	21	322	41	122	319	285	44
-120	True	1472	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	3	2	0	0	3	1	1	1	1	0	4	0	1	1	4	3	4	2	11	9	11	87	43	29	332	44	131	333	343	64
-119	True	1596	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	1	1	0	0	1	2	1	1	2	0	4	5	1	4	3	4	2	6	8	8	4	21	86	47	24	348	42	132	350	405	78
-118	True	1721	0	0	0	0	0	1	1	1	1	0	1	0	1	1	0	0	2	1	2	1	1	2	0	2	3	0	3	1	4	2	5	4	6	1	9	8	26	81	55	28	336	49	145	387	431	119
-117	True	1843	1	0	0	0	2	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	2	0	2	1	2	4	2	4	3	4	4	6	10	3	8	12	27	76	40	26	348	42	149	373	502	185
-116	True	1958	0	0	0	2	0	0	0	1	0	1	0	1	0	2	3	1	0	0	0	3	0	3	2	2	1	3	3	4	4	9	4	1	5	7	14	14	19	75	47	34	349	64	134	373	525	248
-115	True	2064	0	0	0	0	1	0	0	0	0	1	0	2	0	2	0	1	2	1	0	3	2	2	1	3	0	5	4	5	2	1	4	7	7	6	15	11	21	80	43	32	344	65	129	414	541	307
