pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-145	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
-144	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
-143	True	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0
-142	True	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	7	55	28	0	3	0	1	0	0	0
-141	True	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1	1	1	11	51	27	4	45	2	12	34	0	0
-140	True	303	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	2	2	8	72	24	4	84	4	28	67	0	0
-139	True	422	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	3	8	87	24	5	140	10	35	102	0	0
-138	True	542	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	1	0	2	2	4	11	65	44	10	184	16	53	142	0	0
-137	True	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	3	1	4	1	2	7	10	70	34	12	226	18	72	191	1	0
-136	True	772	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	0	4	6	4	2	13	75	24	13	273	27	82	237	2	0
-135	True	868	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	0	1	1	0	2	2	1	1	0	1	2	2	2	3	6	10	68	30	19	315	30	98	264	1	0
-134	True	984	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	3	1	3	0	2	2	1	5	1	1	4	3	5	8	16	73	43	16	294	36	109	279	63	12
-133	True	1108	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	1	0	0	0	1	1	4	0	1	2	2	5	2	5	2	3	16	91	42	18	313	38	113	291	127	25
-132	True	1233	0	0	0	1	0	0	0	3	0	0	0	2	1	1	1	1	0	0	0	0	0	1	2	0	4	1	3	0	0	2	0	2	6	3	7	6	12	84	49	15	306	40	142	306	194	38
-131	True	1347	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	1	0	1	2	2	3	1	2	4	0	0	3	3	4	2	2	2	8	4	9	9	19	76	34	20	306	40	131	320	280	54
-130	True	1455	1	0	0	0	1	0	0	0	2	2	2	1	0	0	1	0	0	0	0	1	0	0	2	0	0	1	2	2	3	4	4	4	8	6	6	5	13	78	38	29	315	31	135	323	363	72
-129	True	1568	0	0	0	0	1	1	1	0	0	1	0	2	1	0	1	1	4	0	2	0	1	2	3	0	1	3	2	3	3	5	4	4	2	2	4	9	16	83	46	21	349	36	138	308	406	102
-128	True	1677	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	3	1	1	4	0	0	2	1	1	1	0	2	1	1	3	3	6	7	4	9	14	78	46	19	330	40	153	339	492	110
