pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-145	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
-144	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
-143	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
-142	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
-141	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
-140	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
-139	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
-138	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
-137	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
-136	True	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
-135	True	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0
-134	True	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0
-133	True	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	5	26	12	0	2	0	1	1	1	0
-132	True	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	1	2	1	10	40	19	0	14	1	7	21	2	0
-131	True	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	2	1	0	4	51	11	6	40	1	16	47	1	0
-130	True	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	55	29	6	81	6	22	63	1	1
-129	True	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	2	3	2	1	3	13	48	24	5	107	9	32	99	0	2
-128	True	432	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	1	0	3	1	0	5	2	5	51	25	9	146	4	50	121	3	0
-127	True	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	3	1	2	1	3	7	6	64	29	16	175	12	54	151	2	1
-126	True	646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	4	1	0	2	0	4	5	0	11	62	49	10	227	16	69	178	3	1
-125	True	748	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	2	3	2	1	3	6	12	71	35	17	244	18	70	223	28	7
-124	True	850	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	1	2	3	1	0	1	1	1	2	3	5	16	63	30	15	260	33	80	235	72	20
-123	True	960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	2	3	1	1	1	0	2	2	2	8	12	76	38	17	259	39	98	258	108	28
-122	True	1054	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	3	2	0	1	2	3	5	4	6	14	50	38	16	285	27	109	267	176	39
-121	True	1152	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	1	3	3	2	0	2	1	1	3	3	1	4	4	2	8	8	75	32	18	265	36	99	302	220	54
-120	True	1259	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0	1	1	2	1	0	0	1	1	1	2	4	7	3	7	8	23	65	42	20	281	34	109	312	268	60
-119	True	1374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	4	1	1	1	1	1	2	3	7	3	6	4	5	8	7	10	15	71	43	22	269	28	123	338	309	86
-118	True	1484	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	5	1	2	1	2	4	2	4	6	1	6	7	16	72	46	29	287	42	119	322	387	116
-117	True	1587	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	2	1	1	3	3	0	2	3	5	7	5	4	4	7	10	13	70	37	22	302	35	126	333	413	170
-116	True	1692	0	0	0	0	1	0	0	0	0	2	1	1	0	1	0	0	1	1	1	1	4	1	0	1	3	2	7	3	5	5	4	3	3	3	11	9	9	79	31	30	305	39	123	332	463	207
-115	True	1809	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	2	0	3	2	2	3	1	4	4	4	6	3	4	9	3	16	11	17	81	43	28	307	38	134	331	466	280
-114	True	1912	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	3	3	0	4	1	2	3	1	2	1	4	1	3	2	5	1	4	6	12	11	21	66	54	17	320	50	129	363	485	334
-113	True	2027	0	0	0	0	0	1	1	2	1	0	1	1	0	1	2	2	0	3	1	1	2	0	2	1	6	2	3	4	4	8	3	6	10	10	9	12	17	74	45	28	300	60	136	362	517	389
-112	True	2129	0	0	0	0	0	2	1	2	0	1	1	1	1	1	1	0	1	0	0	0	1	1	2	2	1	2	3	5	5	8	4	5	11	4	9	9	17	76	44	27	309	60	144	363	547	458
-111	True	2229	1	0	0	0	0	1	0	0	2	1	0	0	0	3	0	2	1	2	0	2	1	1	1	2	3	4	4	3	5	6	5	6	10	2	16	11	26	90	38	44	297	48	129	381	544	537
-110	True	2323	0	0	0	0	0	1	1	0	0	1	0	1	0	2	0	1	2	3	3	2	1	3	0	3	5	2	2	3	5	7	8	3	13	11	10	14	21	76	47	32	286	47	151	374	581	601
-109	True	2426	0	0	0	2	0	0	0	0	0	0	1	0	1	4	1	4	3	2	0	1	2	7	4	3	7	4	8	4	4	6	6	5	14	4	8	13	26	69	49	35	276	50	154	369	604	676
-108	True	2529	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	5	1	2	2	4	8	3	1	4	8	8	4	4	6	8	18	10	21	76	45	43	268	58	160	414	581	760
-107	True	2644	0	0	1	3	0	3	0	2	2	1	1	3	1	0	1	2	0	4	0	4	1	2	4	4	4	6	7	6	7	7	8	6	13	7	15	13	19	89	49	34	273	52	161	386	594	849
-106	True	2742	0	0	0	0	1	0	0	1	3	3	1	2	2	0	0	1	2	3	3	2	5	2	2	10	4	3	3	7	7	10	7	7	6	10	21	16	24	70	55	34	280	64	166	412	604	889
-105	True	2851	0	0	1	0	1	0	0	1	0	1	1	2	0	2	2	2	2	2	3	1	6	2	1	3	5	7	1	7	10	8	8	6	17	1	17	19	26	72	55	42	282	60	154	397	638	986
-104	True	2952	0	0	0	2	1	1	2	0	0	0	2	2	1	1	2	2	3	3	0	2	4	2	5	3	3	3	3	7	4	2	12	10	11	10	15	17	28	78	59	39	262	56	171	414	641	1069
-103	True	3058	1	0	0	1	1	1	2	2	2	0	1	1	2	1	7	2	1	6	4	2	3	2	3	5	3	3	11	4	10	10	19	3	8	9	17	18	21	80	41	37	273	70	195	385	639	1152
-102	True	3148	0	0	0	1	0	0	0	1	1	0	2	3	0	3	0	0	1	5	6	4	1	3	4	6	7	6	5	7	8	12	7	8	14	13	11	22	24	70	49	44	288	67	162	420	665	1198
-101	True	3237	0	0	0	2	2	0	0	2	0	1	1	0	1	2	3	1	2	1	2	0	4	6	6	7	2	4	5	6	6	8	6	6	14	16	17	16	22	70	61	56	286	70	150	405	668	1300
-100	True	3328	0	0	0	0	0	2	2	1	1	0	3	1	3	1	2	3	2	3	1	1	5	5	7	3	9	5	3	9	8	10	8	7	17	13	11	18	30	85	49	45	282	71	168	404	674	1356
-99	True	3440	0	0	0	1	0	0	1	0	3	2	0	0	5	1	2	1	4	3	5	4	4	2	6	5	2	5	6	8	2	13	11	9	15	12	13	19	35	92	54	47	263	68	175	375	709	1458
-98	True	3535	0	0	0	0	1	3	3	0	1	3	0	2	1	1	1	3	2	3	1	4	1	1	7	11	8	8	7	5	9	15	12	13	11	13	19	20	32	83	44	48	285	75	186	391	723	1479
-97	True	3660	1	0	0	3	1	2	1	0	3	1	1	1	2	2	1	1	2	3	2	6	3	6	1	4	6	6	8	9	10	12	11	7	12	18	16	23	37	83	80	41	298	70	175	376	734	1581
-96	True	3763	2	0	0	3	1	0	0	0	2	1	2	3	4	3	5	3	2	2	3	3	3	5	5	1	6	5	7	9	10	13	9	15	19	9	18	16	26	91	66	52	310	64	190	397	741	1637
-95	True	3860	0	0	0	2	0	2	1	4	0	2	0	2	0	3	2	0	4	3	6	5	4	3	4	6	4	8	5	4	12	14	14	10	14	13	24	27	35	100	57	46	309	61	181	413	742	1714
-94	True	3962	0	0	0	0	0	1	2	1	1	1	2	1	0	1	2	2	3	1	3	4	4	4	8	10	4	6	5	11	16	5	9	14	15	17	26	17	41	89	72	37	312	68	192	420	738	1797
-93	True	4057	0	0	0	1	2	1	1	4	3	1	0	4	2	2	3	2	1	3	1	5	6	4	7	5	7	10	8	13	10	13	13	17	15	10	20	16	42	86	52	44	328	79	181	406	785	1844
-92	True	4166	0	0	1	1	2	1	3	1	2	1	1	1	4	2	2	3	2	3	3	4	2	7	6	7	9	10	8	12	8	16	12	12	15	7	19	23	36	105	51	47	321	77	210	415	765	1929
-91	True	4285	2	0	0	4	1	0	0	2	0	1	3	0	1	5	5	4	3	4	1	6	6	6	3	6	8	9	7	10	9	18	15	9	15	16	29	22	29	107	63	57	323	81	189	400	813	1993
-90	True	4400	1	0	0	0	0	1	1	1	0	2	0	3	4	1	1	2	3	3	1	5	5	3	9	9	5	5	7	15	6	14	12	6	18	16	27	18	46	97	59	44	332	87	228	429	832	2042
-89	True	4516	0	0	0	1	0	1	0	5	0	1	1	4	5	4	0	2	1	2	3	3	7	6	5	12	6	12	7	13	11	12	15	12	14	16	28	21	26	113	55	47	338	96	207	431	813	2160
-88	True	4620	1	0	0	0	3	1	0	0	0	1	2	4	3	3	3	1	5	1	5	7	7	6	3	8	4	10	6	2	13	13	16	10	10	10	23	26	43	81	78	53	357	93	218	451	833	2206
-87	True	4719	1	0	0	4	0	1	2	1	2	4	1	2	2	2	1	3	4	3	3	4	10	7	9	9	8	8	4	10	12	8	18	15	20	14	30	16	21	93	74	56	338	87	218	463	818	2313
-86	True	4826	1	0	0	2	2	3	5	2	2	3	1	3	5	4	2	2	6	6	4	6	6	7	4	10	11	10	10	13	10	11	22	13	23	20	27	32	31	77	80	66	350	81	212	447	878	2316
-85	True	4923	0	0	0	3	5	2	4	0	3	0	1	0	6	3	5	3	5	0	2	3	6	8	5	6	3	9	11	8	10	11	20	15	16	15	19	32	43	95	61	53	339	104	217	440	884	2448
-84	True	5029	0	0	0	4	2	2	1	1	1	3	4	1	2	4	1	5	4	4	4	5	2	6	9	5	7	3	8	9	13	9	14	12	17	18	21	36	40	112	69	66	329	106	219	446	906	2499
-83	True	5131	0	0	0	3	7	5	2	1	1	4	2	2	3	4	5	3	4	2	4	6	3	3	10	8	9	11	8	5	13	23	8	17	18	17	16	15	40	99	76	80	343	88	211	470	944	2538
-82	True	5238	0	0	0	1	1	3	3	2	3	3	2	1	1	4	2	3	3	6	4	3	2	5	8	9	7	7	10	8	10	16	9	18	14	13	27	29	25	107	78	61	337	93	232	466	936	2666
-81	True	5327	1	0	0	0	1	0	3	2	5	3	3	2	5	7	2	3	5	3	7	5	7	4	8	2	8	14	8	15	13	18	19	13	18	15	20	26	35	112	78	50	322	88	224	487	997	2669
-80	True	5434	0	0	0	1	3	1	2	1	2	1	3	5	3	4	4	5	5	5	4	5	4	7	5	8	5	12	10	10	20	14	23	16	23	21	23	26	33	106	61	48	306	86	237	476	995	2805
-79	True	5553	1	0	0	0	3	2	2	1	2	1	2	2	1	4	1	5	5	5	5	6	6	10	6	12	9	8	8	9	11	10	12	18	17	30	29	37	47	107	75	63	308	100	257	487	965	2864
-78	True	5653	1	0	0	3	1	2	4	6	1	1	1	2	1	5	2	1	3	5	1	6	6	5	12	16	8	10	10	11	13	24	16	21	20	17	22	29	42	95	68	53	313	97	257	487	1022	2933
-77	True	5759	1	0	0	4	1	3	2	1	2	7	2	5	3	2	3	4	6	3	7	7	3	6	5	6	9	10	10	11	13	19	15	19	18	29	20	21	42	104	65	53	332	108	214	510	1017	3037
