pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-155	False	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0
-154	False	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0
-153	False	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	1	0	1	0
-152	False	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	1	2	1	0
-151	False	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	1	3	2	0
-150	False	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	3	3	1
-149	False	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	1	2	2	1
-148	False	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4	0	1	3	2	1
-147	False	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	5	0	1	4	1	2
-146	False	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	3	0	4	0	2	5	4	1
-145	False	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	6	2	2	8	0	0	9	5	1
-144	False	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	3	17	5	1	10	1	3	11	4	3
-143	False	1139	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	1	1	2	2	3	3	9	20	68	713	251	1	20	5	9	16	4	4
-142	False	2623	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	1	1	1	0	0	3	3	2	3	6	6	19	22	97	992	357	14	534	29	156	358	5	4
-141	False	4308	2	0	0	0	0	1	0	1	0	0	0	2	0	1	1	0	0	0	1	4	3	0	3	0	1	2	5	4	5	1	4	8	10	7	14	23	114	1127	429	36	1235	75	321	858	6	4
-140	False	6096	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	1	0	1	0	1	4	0	1	1	0	4	1	2	6	8	7	11	15	21	30	123	1191	475	76	2022	119	511	1450	4	6
-139	False	7990	2	0	0	0	0	1	1	0	0	0	0	1	0	0	2	1	1	1	2	1	1	3	1	4	1	7	3	8	5	7	9	8	16	17	31	36	139	1274	519	94	2832	199	698	2051	8	6
-138	False	9781	2	0	0	1	1	0	1	0	1	0	1	0	1	0	2	1	1	1	2	3	3	3	2	7	6	9	7	5	14	10	12	13	16	16	33	43	108	1261	474	111	3701	271	961	2655	15	7
-137	False	11691	1	0	0	1	0	1	0	1	0	1	1	2	2	2	2	1	1	1	1	3	6	3	5	10	4	7	9	5	11	17	13	14	25	21	36	56	148	1299	561	137	4474	357	1173	3245	25	9
-136	False	13574	3	0	0	2	1	1	0	2	0	1	0	5	0	4	1	3	1	0	4	4	2	3	4	13	4	6	5	8	9	19	11	17	18	23	52	56	160	1284	576	187	5354	388	1403	3892	40	8
-135	False	15459	3	0	0	1	1	0	0	0	0	0	0	3	4	2	5	3	7	4	9	6	7	2	12	6	6	8	21	10	15	30	22	21	31	36	52	61	161	1334	542	197	5677	471	1507	4266	777	139
-134	False	17373	1	0	0	0	1	2	2	1	3	1	2	0	2	2	3	7	2	7	9	7	6	7	7	16	7	14	10	19	13	24	18	31	31	34	52	62	154	1382	586	220	5883	498	1547	4538	1853	309
-133	False	19289	3	0	0	0	1	0	2	2	2	1	2	4	3	2	3	6	4	11	8	8	5	11	8	8	8	15	16	21	19	36	36	25	38	30	62	80	166	1364	589	220	5987	582	1662	4702	3025	512
-132	False	21297	3	0	0	1	3	1	0	3	1	4	1	5	3	4	2	3	7	6	12	8	5	9	15	14	19	21	17	19	25	26	38	30	43	34	58	69	170	1454	625	238	6087	603	1684	4958	4243	726
-131	False	23288	4	0	0	5	1	2	2	1	0	2	2	2	4	2	8	2	11	8	11	7	11	8	11	16	18	16	18	21	21	38	36	30	57	53	77	87	175	1410	654	280	6225	556	1782	5108	5501	1005
-130	False	25244	8	0	0	2	4	1	3	4	3	3	4	2	2	1	5	5	12	12	15	6	10	12	20	14	18	24	25	19	27	38	37	40	49	57	77	93	200	1422	647	257	6274	626	1846	5370	6697	1253
-129	False	27145	3	0	0	6	7	2	6	3	2	4	4	6	6	6	2	12	8	6	10	6	16	9	18	18	11	16	28	27	37	39	52	42	46	52	99	94	208	1391	624	277	6396	676	1920	5469	7977	1504
-128	False	29113	5	0	0	2	2	1	3	2	1	5	3	5	9	2	10	5	8	10	10	12	19	14	22	15	32	28	24	20	30	46	41	38	67	53	88	118	206	1402	693	268	6472	635	1947	5503	8771	2466
-127	False	31112	3	0	0	0	4	2	4	5	2	2	5	3	4	2	5	12	11	6	11	16	13	18	22	28	20	25	25	30	44	46	52	50	78	63	81	102	227	1462	692	311	6444	701	1985	5741	9120	3635
-126	False	33084	3	0	0	1	8	4	6	2	5	4	5	5	4	8	2	5	17	13	10	13	12	23	23	28	30	17	36	26	45	57	58	54	68	69	102	134	241	1428	717	336	6515	729	2064	5709	9531	4917
-125	False	35154	5	0	0	3	4	4	8	3	5	6	4	7	9	4	11	10	8	12	9	21	24	21	15	24	38	37	23	37	46	55	69	59	80	77	102	137	259	1552	725	337	6495	796	2067	5860	9904	6182
-124	False	37162	5	0	0	3	2	4	4	4	5	4	8	8	6	10	12	13	9	18	16	20	18	16	23	33	25	42	48	42	41	59	74	64	87	86	123	131	273	1484	728	353	6547	792	2154	5870	10258	7640
-123	False	39079	4	0	0	7	11	7	8	7	11	6	4	5	13	16	13	11	17	15	22	19	22	22	27	31	32	42	43	33	58	67	59	74	105	93	106	173	273	1438	734	354	6676	825	2181	5881	10613	8921
-122	False	40949	3	0	0	6	8	6	4	8	8	12	8	6	7	10	12	19	14	14	19	23	23	22	29	35	40	34	40	53	56	63	61	58	106	78	125	144	290	1448	716	420	6626	819	2188	5983	10881	10424
-121	False	42917	2	0	0	8	10	5	6	6	7	7	8	11	7	4	15	19	21	16	20	28	23	24	30	39	31	40	41	59	77	56	72	84	114	103	144	167	274	1515	766	438	6618	835	2267	5985	11160	11755
-120	False	44910	2	0	0	8	6	4	5	6	12	6	6	6	9	8	10	16	16	19	19	16	27	27	32	40	41	40	37	66	62	72	72	75	99	94	159	156	314	1526	767	474	6703	863	2304	6010	11446	13230
