pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-159	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
-158	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
-157	True	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
-156	True	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
-155	True	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
-154	True	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
-153	True	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0
-152	True	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	0
-151	True	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2
-150	True	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
-149	True	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	2
-148	True	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	2
-147	True	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0
-146	True	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0
-145	True	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	2	2
-144	True	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	2	2	1
-143	True	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	2	3	2	2
-142	True	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1	2	4	1	3
-141	True	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	4	1	2	5	2	2
-140	True	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1	6	0	2	8	2	4
-139	True	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	13	9	1	10	1	7	9	2	3
-138	True	588	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	6	0	0	2	1	6	31	359	122	1	16	2	11	22	2	3
-137	True	1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	2	0	4	2	6	3	12	12	37	568	190	12	277	16	58	197	3	4
-136	True	2430	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	4	0	1	1	1	0	4	0	2	4	6	6	13	14	56	668	277	22	677	25	171	466	4	4
-135	True	3644	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	2	2	2	1	0	1	3	0	0	4	2	2	9	5	8	9	11	19	73	805	333	25	1164	51	288	808	3	6
-134	True	4868	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	0	0	1	2	3	1	1	1	4	3	2	2	3	9	5	3	8	14	16	15	70	845	322	57	1722	114	434	1191	6	8
-133	True	6228	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	1	2	2	2	2	3	6	1	2	4	3	5	11	10	10	7	8	16	25	115	883	393	67	2279	168	563	1614	12	8
-132	True	7558	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	4	2	4	4	5	5	2	3	10	3	9	8	9	8	11	5	17	27	29	103	903	377	79	2855	207	718	2114	24	7
-131	True	8995	0	0	0	1	1	0	1	0	1	0	0	0	2	0	0	5	3	3	6	3	2	2	2	6	3	14	2	6	5	12	7	8	12	22	21	46	110	950	442	105	3447	281	856	2561	39	8
-130	True	10456	0	0	0	0	2	0	0	0	0	1	1	1	1	2	1	2	1	3	4	5	5	1	7	2	7	5	9	8	9	16	15	18	12	20	31	36	129	961	442	128	3859	292	995	2932	421	72
-129	True	11951	2	0	0	2	1	3	2	1	2	0	1	0	2	0	1	4	4	2	3	5	6	9	5	8	7	5	4	6	13	14	18	8	25	23	31	47	154	995	446	141	4127	368	1058	3253	964	181
-128	True	13423	1	0	0	1	1	2	1	2	3	1	2	0	1	1	0	1	8	3	7	4	8	11	8	8	9	9	12	12	19	9	21	19	26	23	40	42	121	1030	467	153	4296	385	1154	3493	1732	277
-127	True	14881	2	0	0	1	2	0	3	1	1	1	4	4	4	2	3	3	8	4	3	5	2	6	8	7	7	9	14	10	10	20	25	17	22	22	39	55	146	1062	421	156	4439	420	1209	3710	2569	425
-126	True	16413	1	0	1	2	1	0	4	5	4	2	1	1	3	2	3	4	7	6	8	7	3	9	5	7	7	10	14	12	11	24	23	20	43	39	64	59	154	1084	505	194	4567	417	1325	3796	3353	606
-125	True	17979	1	0	0	1	2	3	1	2	1	6	4	3	3	4	4	3	9	5	7	8	12	7	14	14	14	11	27	7	24	26	26	36	46	34	57	65	160	1123	500	220	4640	446	1394	3959	4261	789
-124	True	19506	2	0	0	2	4	3	1	3	3	3	6	4	2	8	7	8	7	8	3	12	5	9	18	12	14	18	17	22	29	24	28	27	44	52	65	76	167	1091	533	214	4744	455	1449	4136	5182	989
-123	True	21041	0	0	0	3	3	1	3	1	3	5	3	3	5	5	7	12	10	14	13	5	9	15	15	15	11	20	24	24	30	40	39	29	51	48	54	69	172	1094	511	222	4816	460	1474	4349	5862	1492
-122	True	22579	6	0	0	1	1	3	5	6	4	2	2	6	3	3	3	11	8	12	5	16	10	12	18	18	21	10	20	23	25	36	42	41	47	54	76	95	150	1102	541	256	4887	535	1479	4390	6331	2263
