pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-137	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
-136	True	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0
-135	True	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	26	15	0	2	0	0	1	0	0
-134	True	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	3	37	22	1	25	2	5	19	0	0
-133	True	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	5	47	16	2	43	2	14	53	0	0
-132	True	273	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	9	58	20	4	74	5	20	77	0	0
-131	True	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	7	83	28	4	120	4	40	100	0	0
-130	True	506	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	2	1	85	35	8	167	11	51	139	0	0
-129	True	618	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	2	1	3	2	7	75	28	9	217	12	61	193	1	0
-128	True	723	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	3	2	0	3	1	9	0	10	77	25	13	251	16	75	229	3	0
-127	True	835	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	2	1	0	1	1	1	1	1	1	2	2	4	2	1	3	8	78	30	12	294	27	79	242	31	6
-126	True	982	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	1	0	2	0	1	0	3	3	1	2	1	1	4	4	17	96	46	16	317	26	79	265	71	19
-125	True	1108	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	1	0	1	1	1	0	0	2	3	1	4	2	1	1	2	1	4	5	14	89	41	21	343	27	87	298	128	24
-124	True	1241	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	3	2	2	4	1	1	2	4	2	5	3	12	105	34	14	367	33	98	314	185	42
-123	True	1367	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	2	1	0	2	1	1	4	3	2	0	9	6	16	84	45	21	385	35	117	318	259	47
-122	True	1504	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	2	1	1	0	0	0	1	1	1	2	1	0	1	1	3	2	3	3	3	6	5	14	105	35	19	394	40	108	340	331	77
-121	True	1636	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	1	2	4	4	1	1	1	4	6	9	8	86	48	21	435	42	105	351	409	90
-120	True	1732	0	0	0	0	0	0	2	0	0	2	0	1	0	1	0	0	0	1	0	2	0	2	0	3	1	1	4	1	2	0	0	2	6	7	6	2	12	72	37	17	433	49	119	366	443	138
-119	True	1860	0	0	0	0	0	0	1	0	1	2	0	0	0	1	1	2	1	0	0	1	1	1	0	1	0	3	3	2	6	1	4	7	4	3	11	5	15	102	44	18	418	46	118	374	479	184
-118	True	1997	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	2	0	1	1	0	3	1	5	0	3	0	2	6	3	3	5	4	6	5	17	85	71	23	414	51	140	360	523	258
-117	True	2117	1	0	0	1	0	1	1	2	0	1	0	0	0	0	1	1	0	1	1	2	1	0	2	0	0	0	4	0	2	5	4	2	5	3	4	7	21	86	50	32	421	51	118	377	602	307
-116	True	2251	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	2	1	1	0	3	1	3	2	3	1	2	3	2	3	3	3	6	1	5	5	4	19	87	65	30	429	41	124	401	603	393
-115	True	2376	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	1	0	1	1	2	1	0	1	3	3	4	2	2	7	7	2	4	7	4	9	7	16	89	56	34	409	57	132	371	660	479
-114	True	2517	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	1	1	0	0	0	1	3	1	3	1	2	1	2	2	5	9	5	7	6	8	9	20	105	60	30	386	56	121	434	668	562
-113	True	2652	1	0	0	1	1	1	0	0	0	2	1	0	0	0	0	0	2	2	1	0	1	0	1	1	1	3	1	2	4	3	5	5	7	8	11	9	26	98	56	29	403	56	133	425	721	631
-112	True	2811	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	2	0	1	1	0	2	3	2	1	3	5	3	2	4	13	6	15	10	28	131	47	23	414	68	145	441	720	715
-111	True	2936	0	0	0	0	1	0	1	1	0	1	2	3	0	1	0	2	1	0	1	4	2	5	0	2	2	3	5	2	5	4	4	6	5	7	16	7	16	101	48	32	437	49	156	440	742	822
-110	True	3076	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	2	3	1	3	3	4	3	4	6	2	5	3	5	4	8	5	16	10	11	22	108	65	26	448	58	164	422	760	899
-109	True	3222	1	0	0	2	0	3	1	1	0	0	0	0	0	3	0	2	0	3	1	2	1	2	1	2	2	1	2	3	4	5	3	6	14	5	8	10	20	112	71	25	437	72	140	463	785	1009
-108	True	3351	0	0	0	0	2	1	3	1	2	2	0	0	0	2	1	2	1	3	2	3	1	0	1	3	3	1	5	7	6	4	3	3	10	11	6	10	21	87	70	34	460	68	174	460	782	1096
-107	True	3496	3	0	0	1	0	1	1	0	1	0	1	1	0	2	1	4	1	1	0	0	2	1	2	2	5	5	4	6	3	4	3	6	8	8	10	10	23	114	64	38	462	68	177	440	785	1228
-106	True	3641	0	0	0	0	1	0	0	1	0	0	0	0	1	1	4	2	0	0	2	1	2	2	2	2	4	7	5	6	5	10	7	7	7	9	13	16	27	104	51	33	474	49	175	493	798	1320
-105	True	3773	1	0	0	1	0	2	1	1	0	0	1	4	0	1	5	1	1	1	1	4	0	2	4	10	0	2	2	5	5	6	5	9	9	9	6	12	23	111	58	33	476	76	169	480	840	1396
-104	True	3915	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	4	1	2	2	5	2	1	2	2	2	3	3	6	7	6	10	12	4	13	11	29	115	61	33	446	66	166	515	863	1517
-103	True	4063	0	0	0	0	2	2	1	0	1	3	1	3	0	0	3	0	1	1	2	2	2	1	2	2	3	5	3	3	4	7	10	7	10	7	19	12	32	121	53	46	441	86	183	489	897	1596
-102	True	4228	0	0	0	0	0	1	2	0	1	1	0	1	1	0	2	3	2	1	1	5	4	3	0	6	3	2	2	6	2	10	6	4	12	9	14	14	34	141	60	30	458	77	185	488	928	1709
-101	True	4368	1	0	0	2	0	0	0	0	0	1	0	4	3	3	1	2	1	2	2	2	1	2	3	6	3	5	0	8	10	5	7	8	10	14	21	21	30	122	56	41	471	82	184	522	934	1778
-100	True	4498	0	0	0	1	0	0	1	1	2	1	1	1	2	3	2	5	3	4	1	3	6	5	4	5	3	7	3	5	7	5	8	10	8	13	13	14	28	105	74	33	465	96	189	501	986	1874
-99	True	4635	1	0	0	0	1	2	2	1	1	0	0	1	0	1	4	0	1	1	3	1	4	3	5	8	5	3	5	7	3	6	8	13	8	10	16	17	28	124	60	41	477	76	213	501	994	1980
-98	True	4790	0	0	0	1	1	1	2	0	1	1	0	1	2	2	2	0	2	0	3	3	4	5	1	3	4	1	6	1	7	13	16	7	10	13	17	20	33	127	67	34	484	74	208	499	1006	2108
-97	True	4932	1	0	0	1	1	0	0	0	2	1	0	0	0	2	1	1	3	1	4	1	3	4	0	4	4	3	9	4	9	11	8	7	16	11	18	17	34	109	64	55	501	80	212	505	1025	2200
-96	True	5078	0	0	0	0	0	0	1	0	1	0	2	1	0	0	1	0	2	1	3	1	7	5	5	0	2	4	5	8	8	9	9	5	13	18	14	14	33	133	78	46	480	76	209	539	1019	2326
-95	True	5213	0	0	0	0	1	1	0	1	5	0	3	2	3	3	1	1	1	6	1	2	4	2	4	5	3	4	3	7	8	9	12	7	16	9	15	15	32	108	64	44	497	93	214	543	1068	2396
-94	True	5360	0	0	0	1	4	1	1	1	2	2	1	0	3	0	2	1	2	5	5	5	2	6	5	6	7	5	2	1	7	11	12	7	14	15	24	18	20	119	79	73	473	88	218	521	1057	2534
-93	True	5486	1	0	0	1	0	0	2	1	2	1	1	0	0	1	2	2	3	2	3	3	2	4	3	4	8	6	5	15	4	13	13	13	12	20	25	19	27	121	64	48	488	87	213	507	1126	2614
-92	True	5618	1	0	0	0	1	3	1	0	1	0	2	1	0	2	2	5	4	1	2	4	6	3	5	5	6	3	11	4	12	7	14	17	19	20	19	25	28	108	74	52	474	86	206	536	1127	2721
-91	True	5774	0	0	0	2	1	2	0	1	0	1	0	2	2	1	2	6	3	2	6	2	3	0	4	5	4	5	6	9	10	13	5	10	19	19	17	23	38	132	83	53	464	93	230	538	1116	2842
-90	True	5940	1	0	0	0	0	1	0	2	0	2	0	1	0	2	1	2	5	2	4	5	6	4	4	6	4	2	3	4	14	7	8	16	15	14	19	19	36	144	80	64	479	97	211	559	1131	2966
-89	True	6097	0	0	0	0	1	1	0	3	2	1	1	1	3	2	0	1	0	3	2	1	2	4	5	4	4	3	7	11	7	9	9	11	17	16	32	15	37	153	68	43	480	125	242	535	1200	3036
-88	True	6236	0	0	0	0	1	0	2	0	0	3	0	1	2	2	4	2	1	6	5	6	2	5	7	2	5	6	9	8	15	13	17	16	10	16	27	18	33	116	76	62	490	117	238	555	1208	3130
-87	True	6379	3	0	0	2	1	0	1	2	0	2	3	0	4	2	2	1	5	3	1	4	6	3	4	6	5	6	8	3	14	7	10	8	17	19	30	26	35	136	73	49	493	105	201	575	1193	3311
-86	True	6509	0	0	0	1	1	0	0	3	0	3	0	2	3	0	2	5	1	5	1	6	5	6	6	10	5	5	11	4	12	24	12	9	27	16	29	16	40	114	79	59	512	105	259	539	1180	3392
-85	True	6631	0	0	0	0	0	4	2	4	1	1	1	4	4	4	2	3	4	1	4	2	3	4	6	9	4	9	9	10	13	16	12	16	15	14	21	26	29	103	80	63	497	102	257	557	1255	3460
