pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-155	False	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
-154	False	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0
-153	False	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0
-152	False	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0
-151	False	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	0
-150	False	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	2	0
-149	False	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	3	0
-148	False	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	3	2	0
-147	False	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	1	2	3	1
-146	False	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	6	1	0	6	0	0	3	2	1
-145	False	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	15	6	1	8	0	1	5	2	2
-144	False	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	24	9	1	19	0	5	14	3	1
-143	False	873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	2	3	2	2	6	9	54	525	185	1	37	1	9	25	3	2
-142	False	1963	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	3	0	1	1	0	2	5	3	2	7	10	16	65	766	226	14	420	18	99	296	2	2
-141	False	3338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	1	2	1	0	1	6	4	3	5	8	6	7	9	20	29	100	899	333	22	957	46	236	632	4	2
-140	False	4643	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	1	2	1	0	3	5	2	2	6	4	9	5	7	4	14	18	23	83	866	357	48	1556	98	422	1093	5	3
-139	False	6030	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	1	3	3	2	4	1	3	7	5	6	11	7	13	9	17	28	29	114	963	341	68	2132	162	542	1540	8	4
-138	False	7474	1	0	0	1	0	0	0	1	1	0	0	1	1	0	1	2	1	2	1	1	3	1	3	5	1	1	9	5	3	10	12	14	13	11	24	38	117	1012	360	108	2771	197	720	2001	15	6
-137	False	8895	1	0	0	0	0	0	0	0	2	1	1	1	2	1	2	0	2	5	2	3	5	5	3	3	6	4	8	9	7	15	9	14	19	22	26	35	113	976	399	104	3474	244	892	2446	26	8
-136	False	10325	2	0	0	1	0	1	0	1	0	0	1	0	4	1	3	1	4	0	2	9	1	8	8	9	4	9	5	7	6	12	11	17	21	15	28	37	133	991	419	145	4126	303	1039	2880	48	13
-135	False	11701	3	0	0	1	1	0	1	2	1	3	2	0	4	1	2	3	1	3	1	2	9	8	11	6	3	3	12	5	18	18	13	22	25	23	44	49	124	987	385	171	4321	405	1172	3127	599	110
-134	False	13130	1	0	0	2	1	0	1	0	1	3	2	0	4	0	6	1	1	3	4	9	6	3	5	10	7	8	8	13	15	17	24	28	32	31	43	47	156	1017	414	170	4494	386	1249	3350	1343	215
-133	False	14537	3	0	0	2	0	0	1	1	3	0	1	4	3	2	1	5	6	7	10	9	10	10	10	13	16	7	11	14	20	25	21	22	41	24	47	60	140	1001	440	192	4574	391	1276	3438	2300	376
