pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-148	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
-147	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
-146	True	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
-145	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
-144	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
-143	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
-142	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
-141	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
-140	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
-139	True	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
-138	True	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
-137	True	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0
-136	True	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	1	2	0
-135	True	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	1	1	2	0	0	5	0	0
-134	True	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	25	11	0	5	0	2	7	2	0
-133	True	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	3	30	16	1	26	2	8	19	0	0
-132	True	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	49	19	2	50	7	11	34	0	2
-131	True	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	56	22	0	85	7	19	63	1	1
-130	True	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	1	0	1	7	64	12	3	117	13	28	92	1	2
-129	True	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	1	1	9	54	25	2	164	13	45	105	2	3
-128	True	518	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	2	0	2	3	1	3	8	60	20	7	199	12	46	141	5	2
-127	True	613	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	1	1	1	0	0	3	6	4	72	32	3	235	21	51	163	12	2
-126	True	707	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	0	2	2	3	2	2	3	13	66	26	9	252	22	54	194	43	6
-125	True	824	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	2	2	2	1	3	5	4	85	35	11	282	23	70	206	75	11
-124	True	933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	2	2	2	0	3	3	15	82	37	11	308	23	74	221	129	17
-123	True	1057	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	2	0	0	0	0	0	1	0	0	0	0	0	4	1	7	3	3	3	2	9	86	41	13	318	27	90	232	182	28
-122	True	1150	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	2	0	0	3	1	0	0	3	2	3	2	0	1	3	2	3	4	6	13	68	26	15	328	21	110	269	225	36
-121	True	1272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	2	3	8	3	3	5	7	16	95	28	12	332	36	91	285	288	54
-120	True	1377	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	3	2	0	1	5	4	2	4	2	4	4	8	87	33	16	352	38	107	291	335	72
-119	True	1493	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	1	0	1	0	1	0	2	0	2	1	1	2	1	1	4	4	1	9	15	72	49	17	376	35	116	290	376	110
-118	True	1607	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	3	0	0	1	0	0	1	0	0	2	1	2	0	1	1	1	2	5	5	8	5	19	87	40	24	377	41	118	306	402	152
-117	True	1715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	2	1	1	1	1	1	2	1	2	1	3	4	5	2	5	5	16	83	42	16	376	44	129	311	459	197
-116	True	1839	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	2	1	2	2	5	2	4	3	4	5	5	7	9	10	9	99	46	15	368	49	127	323	476	261
-115	True	1926	0	0	0	0	2	1	1	0	0	0	1	0	1	0	0	0	0	2	0	2	2	2	2	0	1	0	3	5	1	3	1	2	2	4	8	8	11	64	36	18	378	47	111	344	535	328
-114	True	2033	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	3	1	1	1	1	2	4	2	1	3	0	4	2	2	2	7	3	5	4	10	4	17	83	38	30	365	47	118	334	546	388
-113	True	2140	0	0	0	0	0	1	1	1	2	0	0	0	0	0	1	1	0	1	0	1	1	1	2	5	2	3	3	4	2	6	9	3	3	10	12	6	24	85	39	23	346	48	135	334	573	452
-112	True	2249	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	1	1	1	1	3	3	4	2	6	5	2	3	8	5	3	4	11	17	11	82	34	14	356	45	129	364	602	527
-111	True	2373	1	0	1	3	0	1	1	0	1	0	1	1	1	1	0	2	1	0	2	1	3	1	3	4	4	2	2	2	6	8	3	6	9	10	9	12	18	95	42	18	341	56	149	337	600	615
-110	True	2479	0	0	0	0	0	0	0	0	2	0	0	0	0	4	2	0	1	2	1	0	1	0	3	3	3	2	3	0	6	5	9	5	5	9	13	8	18	90	40	21	357	53	132	345	636	700
-109	True	2584	0	0	0	2	0	4	0	1	3	3	0	0	0	0	1	2	1	5	0	2	3	2	0	1	2	3	8	1	3	4	5	1	7	8	8	8	12	101	34	24	361	54	156	319	659	776
-108	True	2688	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	1	2	1	0	3	2	5	2	2	2	4	9	3	3	6	10	7	12	12	15	85	46	27	371	57	144	315	662	873
-107	True	2783	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	2	1	3	1	1	2	3	1	5	0	5	3	2	2	1	6	8	11	4	9	10	22	77	38	35	390	51	142	326	674	943
-106	True	2900	1	0	0	0	1	0	1	1	0	0	0	0	0	3	1	1	1	0	1	0	3	2	3	7	2	4	5	5	5	4	4	4	5	5	13	12	19	94	52	29	374	51	138	321	691	1037
-105	True	3005	0	0	0	0	0	0	1	0	0	1	1	1	2	0	1	2	1	2	2	1	1	3	1	2	6	7	3	2	2	5	7	12	6	5	9	12	22	90	46	29	382	52	140	348	708	1090
-104	True	3106	2	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1	3	2	2	2	1	1	3	5	3	1	7	3	9	3	8	9	11	21	12	18	81	46	26	396	54	145	341	727	1158
-103	True	3227	1	0	0	0	1	1	2	1	0	0	1	0	3	2	1	2	1	1	1	3	1	3	2	5	7	1	4	4	3	6	6	4	7	13	13	10	25	102	46	44	392	53	129	325	742	1259
-102	True	3318	0	0	0	0	0	1	0	1	0	2	1	1	1	2	3	1	2	3	0	4	3	2	6	1	6	4	6	5	4	5	7	13	10	12	10	7	20	75	47	45	400	58	150	336	724	1340
-101	True	3407	0	0	0	0	1	0	0	0	0	2	1	1	0	1	1	2	1	0	4	4	0	2	4	3	1	5	4	6	1	6	4	7	12	9	11	14	14	78	59	34	380	63	143	374	744	1411
-100	True	3520	0	0	0	0	2	0	1	1	0	0	1	0	1	0	1	1	2	1	2	5	0	1	5	8	8	5	5	2	4	3	5	10	6	11	9	16	21	102	41	33	376	59	141	335	797	1499
-99	True	3620	1	0	0	0	2	1	2	1	1	0	1	4	0	1	0	0	4	3	2	2	1	5	4	2	3	2	9	6	6	6	6	10	9	11	16	15	21	82	51	32	371	71	171	365	752	1568
-98	True	3717	0	0	0	0	1	0	0	1	1	0	0	0	4	2	2	5	2	2	1	0	0	3	3	6	3	6	5	4	4	9	7	10	9	9	14	12	15	80	60	30	353	69	161	358	769	1697
-97	True	3807	0	0	0	0	1	0	1	1	1	1	1	2	1	1	1	1	3	1	2	0	3	2	2	3	1	4	5	5	4	4	4	3	7	12	19	19	25	78	56	38	335	80	166	368	821	1725
-96	True	3919	1	0	0	2	3	1	4	4	1	3	1	1	2	2	2	1	2	4	3	1	4	2	1	1	8	5	6	4	6	6	8	10	10	5	26	13	25	93	49	33	340	76	157	381	804	1808
-95	True	4047	0	0	0	1	4	3	0	1	1	2	2	2	0	1	0	0	3	4	2	5	5	4	6	6	2	7	5	7	6	7	6	10	12	12	17	10	31	98	68	47	339	53	163	383	854	1858
