pos	ss	bases	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
-138	False	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
-137	False	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
-136	False	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0
-135	False	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0
-134	False	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0
-133	False	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	2	0	0
-132	False	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	3	0	0
-131	False	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	24	10	0	4	0	2	2	0	0
-130	False	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	5	22	10	1	17	3	4	20	1	0
-129	False	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	4	33	7	0	38	2	6	34	2	1
-128	False	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	6	33	9	3	63	1	14	40	4	0
-127	False	236	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	1	1	6	45	12	5	72	7	20	54	4	0
-126	False	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	3	2	4	66	13	5	107	6	31	73	4	0
-125	False	402	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	5	0	8	49	29	4	154	11	38	92	4	2
-124	False	494	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	3	0	0	3	4	1	2	7	65	19	5	175	18	39	141	4	2
-123	False	569	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	2	1	2	0	1	2	1	3	6	58	18	7	215	14	49	147	27	9
-122	False	655	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	1	0	0	0	2	2	2	2	3	1	10	64	22	6	235	20	49	160	55	15
-121	False	751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	2	0	3	2	2	1	1	3	3	9	71	25	10	251	22	59	186	79	17
-120	False	840	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	2	1	1	0	0	0	1	2	0	2	1	2	0	3	7	58	36	8	292	17	75	190	112	25
-119	False	919	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	3	0	3	2	3	3	3	0	2	10	47	37	14	290	20	78	216	158	23
-118	False	1010	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	1	1	0	0	0	2	1	0	0	2	2	1	3	2	4	1	1	4	3	11	67	23	15	287	28	71	214	224	37
-117	False	1105	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	4	3	1	5	0	3	6	17	60	37	10	309	29	75	213	270	54
