Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,DP,*,0.971465,0.981654,0.638478,0.976533,58,0,64274167,56638961.000000,0.000000,7920,.,.,4782.000000,2903.000000,,1.64726145367,7694,.,.,4604.000000,2879.000000,,1.59916637721,226,.,.,178.000000,24.000000,,7.41666666667,21711,.,.,13881.000000,7139.000000,,1.94438997058,7705,.,.,4613.000000,2883.000000,,1.60006937218,144,.,.,94.000000,36.000000,,2.61111111111,13862,.,.,9174.000000,4220.000000,,2.17393364929
INDEL,*,*,PASS,*,DP,*,0.971465,0.981654,0.638478,0.976533,58,0,64274167,56638961.000000,0.000000,7920,.,.,4782.000000,2903.000000,,1.64726145367,7694,.,.,4604.000000,2879.000000,,1.59916637721,226,.,.,178.000000,24.000000,,7.41666666667,21711,.,.,13881.000000,7139.000000,,1.94438997058,7705,.,.,4613.000000,2883.000000,,1.60006937218,144,.,.,94.000000,36.000000,,2.61111111111,13862,.,.,9174.000000,4220.000000,,2.17393364929
INDEL,*,AllAutosomes,ALL,*,DP,*,0.971465,0.981654,0.638478,0.976533,58,0,2756349822.000000,56547469.000000,0.000000,7920,.,.,4782.000000,2903.000000,,1.64726145367,7694,.,.,4604.000000,2879.000000,,1.59916637721,226,.,.,178.000000,24.000000,,7.41666666667,21711,.,.,13881.000000,7139.000000,,1.94438997058,7705,.,.,4613.000000,2883.000000,,1.60006937218,144,.,.,94.000000,36.000000,,2.61111111111,13862,.,.,9174.000000,4220.000000,,2.17393364929
INDEL,*,AllAutosomes,PASS,*,DP,*,0.971465,0.981654,0.638478,0.976533,58,0,2756349822.000000,56547469.000000,0.000000,7920,.,.,4782.000000,2903.000000,,1.64726145367,7694,.,.,4604.000000,2879.000000,,1.59916637721,226,.,.,178.000000,24.000000,,7.41666666667,21711,.,.,13881.000000,7139.000000,,1.94438997058,7705,.,.,4613.000000,2883.000000,,1.60006937218,144,.,.,94.000000,36.000000,,2.61111111111,13862,.,.,9174.000000,4220.000000,,2.17393364929
INDEL,*,AllHomopolymers_ge7bp_imperfectge11bp_slop5,ALL,*,DP,*,0.988038,0.981789,0.891718,0.984904,8,0,83977437.000000,653818.000000,0.000000,1254,.,.,759.000000,477.000000,,1.59119496855,1239,.,.,749.000000,476.000000,,1.57352941176,15,.,.,10.000000,1.000000,,10.0,11664,.,.,7610.000000,3626.000000,,2.09873138445,1240,.,.,749.000000,477.000000,,1.57023060797,23,.,.,13.000000,10.000000,,1.3,10401,.,.,6848.000000,3139.000000,,2.18158649251
INDEL,*,AllHomopolymers_ge7bp_imperfectge11bp_slop5,PASS,*,DP,*,0.988038,0.981789,0.891718,0.984904,8,0,83977437.000000,653818.000000,0.000000,1254,.,.,759.000000,477.000000,,1.59119496855,1239,.,.,749.000000,476.000000,,1.57352941176,15,.,.,10.000000,1.000000,,10.0,11664,.,.,7610.000000,3626.000000,,2.09873138445,1240,.,.,749.000000,477.000000,,1.57023060797,23,.,.,13.000000,10.000000,,1.3,10401,.,.,6848.000000,3139.000000,,2.18158649251
INDEL,*,AllTandemRepeats,ALL,*,DP,*,0.936205,0.962189,0.45072,0.949019,49,0,168369990.000000,1376717.000000,0.000000,3088,.,.,1996.000000,880.000000,,2.26818181818,2891,.,.,1840.000000,858.000000,,2.14452214452,197,.,.,156.000000,22.000000,,7.09090909091,5489,.,.,3695.000000,1535.000000,,2.40716612378,2901,.,.,1849.000000,861.000000,,2.1475029036,114,.,.,73.000000,27.000000,,2.7037037037,2474,.,.,1773.000000,647.000000,,2.74034003091
INDEL,*,AllTandemRepeats,PASS,*,DP,*,0.936205,0.962189,0.45072,0.949019,49,0,168369990.000000,1376717.000000,0.000000,3088,.,.,1996.000000,880.000000,,2.26818181818,2891,.,.,1840.000000,858.000000,,2.14452214452,197,.,.,156.000000,22.000000,,7.09090909091,5489,.,.,3695.000000,1535.000000,,2.40716612378,2901,.,.,1849.000000,861.000000,,2.1475029036,114,.,.,73.000000,27.000000,,2.7037037037,2474,.,.,1773.000000,647.000000,,2.74034003091
INDEL,*,AllTandemRepeats_201to10000bp_slop5,ALL,*,DP,*,0.809659,0.934426,0.739983,0.86758,8,0,40176355.000000,398927.000000,0.000000,352,.,.,217.000000,128.000000,,1.6953125,285,.,.,162.000000,116.000000,,1.39655172414,67,.,.,55.000000,12.000000,,4.58333333333,1173,.,.,747.000000,410.000000,,1.82195121951,285,.,.,162.000000,116.000000,,1.39655172414,20,.,.,10.000000,8.000000,,1.25,868,.,.,575.000000,286.000000,,2.01048951049
INDEL,*,AllTandemRepeats_201to10000bp_slop5,PASS,*,DP,*,0.809659,0.934426,0.739983,0.86758,8,0,40176355.000000,398927.000000,0.000000,352,.,.,217.000000,128.000000,,1.6953125,285,.,.,162.000000,116.000000,,1.39655172414,67,.,.,55.000000,12.000000,,4.58333333333,1173,.,.,747.000000,410.000000,,1.82195121951,285,.,.,162.000000,116.000000,,1.39655172414,20,.,.,10.000000,8.000000,,1.25,868,.,.,575.000000,286.000000,,2.01048951049
