Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,DP,*,0.965377,0.9632440000000001,0.644633,0.964309,99,114,64274167,56634842.000000,0.000000,7625,.,.,4445.000000,2960.000000,,1.5016891891891893,7361,.,.,4253.000000,2925.000000,,1.454017094017094,264,.,.,192.000000,35.000000,,5.485714285714286,21513,.,.,13489.000000,7265.000000,,1.856710254645561,7364,.,.,4256.000000,2927.000000,,1.4540485138366928,281,.,.,195.000000,43.000000,,4.534883720930233,13868,.,.,9038.000000,4295.000000,,2.1043073341094294
INDEL,*,*,PASS,*,DP,*,0.965377,0.9632440000000001,0.644633,0.964309,99,114,64274167,56634842.000000,0.000000,7625,.,.,4445.000000,2960.000000,,1.5016891891891893,7361,.,.,4253.000000,2925.000000,,1.454017094017094,264,.,.,192.000000,35.000000,,5.485714285714286,21513,.,.,13489.000000,7265.000000,,1.856710254645561,7364,.,.,4256.000000,2927.000000,,1.4540485138366928,281,.,.,195.000000,43.000000,,4.534883720930233,13868,.,.,9038.000000,4295.000000,,2.1043073341094294
INDEL,*,AllAutosomes,ALL,*,DP,*,0.965377,0.9632440000000001,0.644633,0.964309,99,114,2756349822.000000,56547514.000000,0.000000,7625,.,.,4445.000000,2960.000000,,1.5016891891891893,7361,.,.,4253.000000,2925.000000,,1.454017094017094,264,.,.,192.000000,35.000000,,5.485714285714286,21513,.,.,13489.000000,7265.000000,,1.856710254645561,7364,.,.,4256.000000,2927.000000,,1.4540485138366928,281,.,.,195.000000,43.000000,,4.534883720930233,13868,.,.,9038.000000,4295.000000,,2.1043073341094294
INDEL,*,AllAutosomes,PASS,*,DP,*,0.965377,0.9632440000000001,0.644633,0.964309,99,114,2756349822.000000,56547514.000000,0.000000,7625,.,.,4445.000000,2960.000000,,1.5016891891891893,7361,.,.,4253.000000,2925.000000,,1.454017094017094,264,.,.,192.000000,35.000000,,5.485714285714286,21513,.,.,13489.000000,7265.000000,,1.856710254645561,7364,.,.,4256.000000,2927.000000,,1.4540485138366928,281,.,.,195.000000,43.000000,,4.534883720930233,13868,.,.,9038.000000,4295.000000,,2.1043073341094294
INDEL,*,AllHomopolymers_ge7bp_imperfectge11bp_slop5,ALL,*,DP,*,0.9770110000000001,0.97541,0.894682,0.97621,8,8,83977437.000000,654063.000000,0.000000,1218,.,.,690.000000,519.000000,,1.329479768786127,1190,.,.,668.000000,514.000000,,1.2996108949416343,28,.,.,22.000000,5.000000,,4.4,11584,.,.,7474.000000,3634.000000,,2.0566868464501926,1190,.,.,668.000000,514.000000,,1.2996108949416343,30,.,.,26.000000,4.000000,,6.5,10364,.,.,6780.000000,3116.000000,,2.1758664955070603
INDEL,*,AllHomopolymers_ge7bp_imperfectge11bp_slop5,PASS,*,DP,*,0.9770110000000001,0.97541,0.894682,0.97621,8,8,83977437.000000,654063.000000,0.000000,1218,.,.,690.000000,519.000000,,1.329479768786127,1190,.,.,668.000000,514.000000,,1.2996108949416343,28,.,.,22.000000,5.000000,,4.4,11584,.,.,7474.000000,3634.000000,,2.0566868464501926,1190,.,.,668.000000,514.000000,,1.2996108949416343,30,.,.,26.000000,4.000000,,6.5,10364,.,.,6780.000000,3116.000000,,2.1758664955070603
INDEL,*,AllTandemRepeats,ALL,*,DP,*,0.92609,0.9214620000000001,0.466305,0.9237700000000001,87,104,168369990.000000,1384643.000000,0.000000,2936,.,.,1895.000000,834.000000,,2.2721822541966428,2719,.,.,1741.000000,807.000000,,2.157372986369269,217,.,.,154.000000,27.000000,,5.703703703703703,5535,.,.,3651.000000,1610.000000,,2.2677018633540373,2722,.,.,1744.000000,809.000000,,2.1557478368355993,232,.,.,152.000000,37.000000,,4.108108108108108,2581,.,.,1755.000000,764.000000,,2.2971204188481678
INDEL,*,AllTandemRepeats,PASS,*,DP,*,0.92609,0.9214620000000001,0.466305,0.9237700000000001,87,104,168369990.000000,1384643.000000,0.000000,2936,.,.,1895.000000,834.000000,,2.2721822541966428,2719,.,.,1741.000000,807.000000,,2.157372986369269,217,.,.,154.000000,27.000000,,5.703703703703703,5535,.,.,3651.000000,1610.000000,,2.2677018633540373,2722,.,.,1744.000000,809.000000,,2.1557478368355993,232,.,.,152.000000,37.000000,,4.108108108108108,2581,.,.,1755.000000,764.000000,,2.2971204188481678
INDEL,*,AllTandemRepeats_201to10000bp_slop5,ALL,*,DP,*,0.8385090000000001,0.9033329999999999,0.7596149999999999,0.869715,9,10,40176355.000000,406613.000000,0.000000,322,.,.,190.000000,121.000000,,1.5702479338842976,270,.,.,154.000000,110.000000,,1.4,52,.,.,36.000000,11.000000,,3.272727272727273,1248,.,.,770.000000,456.000000,,1.6885964912280702,271,.,.,155.000000,110.000000,,1.4090909090909092,29,.,.,19.000000,7.000000,,2.7142857142857144,948,.,.,596.000000,339.000000,,1.7581120943952802
INDEL,*,AllTandemRepeats_201to10000bp_slop5,PASS,*,DP,*,0.8385090000000001,0.9033329999999999,0.7596149999999999,0.869715,9,10,40176355.000000,406613.000000,0.000000,322,.,.,190.000000,121.000000,,1.5702479338842976,270,.,.,154.000000,110.000000,,1.4,52,.,.,36.000000,11.000000,,3.272727272727273,1248,.,.,770.000000,456.000000,,1.6885964912280702,271,.,.,155.000000,110.000000,,1.4090909090909092,29,.,.,19.000000,7.000000,,2.7142857142857144,948,.,.,596.000000,339.000000,,1.7581120943952802
