## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --TAG_DUPLICATE_SET_MEMBERS true --INPUT xplus_sns_MM1S.chr20.bam --OUTPUT dups/xplus_sns_MM1S.chr20.bam --METRICS_FILE dups/xplus_sns_MM1S.chr20.bam.metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 10 16:08:30 GMT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
MM1S	33368	14971133	243413	33368	14126	3156371	2684919	0.211067	155969500

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.208239	9186230	0	11126329
2.0	2.305895	1847480	1618666	461239
3.0	3.303088	418139	349591	4752
4.0	4.209013	103634	82856	181
5.0	5.032024	27304	20544	32
6.0	5.779709	7012	5075	5
7.0	6.458962	2002	1304	1
8.0	7.076047	560	335	1
9.0	7.636653	124	68	0
10.0	8.14595	41	21	0
11.0	8.608634	13	5	0
12.0	9.028971	0	0	0
13.0	9.410836	1	0	0
14.0	9.757752	0	0	0
15.0	10.072916	0	0	0
16.0	10.359235	0	0	0
17.0	10.619348	0	0	0
18.0	10.855655	0	0	0
19.0	11.070334	0	0	0
20.0	11.265364	0	0	0
21.0	11.442545	0	0	0
22.0	11.603509	0	0	0
23.0	11.749741	0	0	0
24.0	11.882588	0	0	0
25.0	12.003278	0	0	0
26.0	12.112921	0	0	0
27.0	12.212529	0	0	0
28.0	12.30302	0	0	0
29.0	12.385229	0	0	0
30.0	12.459914	0	0	0
31.0	12.527764	0	0	0
32.0	12.589404	0	0	0
33.0	12.645402	0	0	0
34.0	12.696274	0	0	0
35.0	12.742491	0	0	0
36.0	12.784478	0	0	0
37.0	12.822622	0	0	0
38.0	12.857275	0	0	0
39.0	12.888756	0	0	0
40.0	12.917356	0	0	0
41.0	12.943338	0	0	0
42.0	12.966943	0	0	0
43.0	12.988387	0	0	0
44.0	13.007868	0	0	0
45.0	13.025566	0	0	0
46.0	13.041645	0	0	0
47.0	13.056251	0	0	0
48.0	13.069521	0	0	0
49.0	13.081577	0	0	0
50.0	13.092529	0	0	0
51.0	13.102479	0	0	0
52.0	13.111518	0	0	0
53.0	13.119729	0	0	0
54.0	13.12719	0	0	0
55.0	13.133967	0	0	0
56.0	13.140124	0	0	0
57.0	13.145718	0	0	0
58.0	13.150799	0	0	0
59.0	13.155416	0	0	0
60.0	13.15961	0	0	0
61.0	13.16342	0	0	0
62.0	13.166881	0	0	0
63.0	13.170026	0	0	0
64.0	13.172883	0	0	0
65.0	13.175478	0	0	0
66.0	13.177836	0	0	0
67.0	13.179978	0	0	0
68.0	13.181924	0	0	0
69.0	13.183692	0	0	0
70.0	13.185298	0	0	0
71.0	13.186757	0	0	0
72.0	13.188082	0	0	0
73.0	13.189286	0	0	0
74.0	13.19038	0	0	0
75.0	13.191374	0	0	0
76.0	13.192277	0	0	0
77.0	13.193097	0	0	0
78.0	13.193843	0	0	0
79.0	13.19452	0	0	0
80.0	13.195135	0	0	0
81.0	13.195693	0	0	0
82.0	13.196201	0	0	0
83.0	13.196662	0	0	0
84.0	13.197081	0	0	0
85.0	13.197462	0	0	0
86.0	13.197807	0	0	0
87.0	13.198121	0	0	0
88.0	13.198407	0	0	0
89.0	13.198666	0	0	0
90.0	13.198902	0	0	0
91.0	13.199115	0	0	0
92.0	13.19931	0	0	0
93.0	13.199486	0	0	0
94.0	13.199647	0	0	0
95.0	13.199793	0	0	0
96.0	13.199925	0	0	0
97.0	13.200045	0	0	0
98.0	13.200155	0	0	0
99.0	13.200254	0	0	0
100.0	13.200344	0	0	0

