depth	notinrefseq_cds	refseq_cds	gc15_slop50	gc15to20_slop50	gc20to25_slop50	gc25to30_slop50	gc30to55_slop50	gc55to60_slop50	gc60to65_slop50	gc65to70_slop50	gc70to75_slop50	gc75to80_slop50	gc80to85_slop50	gc85_slop50	gclt25orgt65_slop50	gclt30orgt55_slop50	AllHomopolymers_ge7bp_imperfectge11bp_slop5	AllTandemRepeats	AllTandemRepeats_201to10000bp_slop5	AllTandemRepeats_51to200bp_slop5	AllTandemRepeats_ge10001bp_slop5	AllTandemRepeats_ge101bp_slop5	AllTandemRepeats_le50bp_slop5	AllTandemRepeatsandHomopolymers_slop5	SimpleRepeat_diTR_10to49_slop5	SimpleRepeat_diTR_50to149_slop5	SimpleRepeat_diTR_ge150_slop5	SimpleRepeat_homopolymer_4to6_AT_slop5	SimpleRepeat_homopolymer_4to6_GC_slop5	SimpleRepeat_homopolymer_4to6_slop5	SimpleRepeat_homopolymer_7to11_AT_slop5	SimpleRepeat_homopolymer_7to11_GC_slop5	SimpleRepeat_homopolymer_7to11_slop5	SimpleRepeat_homopolymer_ge12_AT_slop5	SimpleRepeat_homopolymer_ge12_GC_slop5	SimpleRepeat_homopolymer_ge12_slop5	SimpleRepeat_homopolymer_ge21_AT_slop5	SimpleRepeat_homopolymer_ge21_GC_slop5	SimpleRepeat_homopolymer_ge21_slop5	SimpleRepeat_imperfecthomopolge11_AT_slop5	SimpleRepeat_imperfecthomopolge11_GC_slop5	SimpleRepeat_imperfecthomopolge11_slop5	SimpleRepeat_imperfecthomopolge21_AT_slop5	SimpleRepeat_imperfecthomopolge21_GC_slop5	SimpleRepeat_imperfecthomopolge21_slop5	SimpleRepeat_quadTR_19to49_slop5	SimpleRepeat_quadTR_50to149_slop5	SimpleRepeat_quadTR_ge150_slop5	SimpleRepeat_triTR_14to49_slop5	SimpleRepeat_triTR_50to149_slop5	SimpleRepeat_triTR_ge150_slop5	notinAllHomopolymers_ge7bp_imperfectge11bp_slop5	notinAllTandemRepeatsandHomopolymers_slop5	notinallTandemRepeats	notinsatellites_slop5	satellites_slop5	lowmappabilityall	nonunique_l100_m2_e1	nonunique_l250_m0_e0	notinlowmappabilityall	KIR	L1H_gt500	LD_discordant_haplotypes_slop5bp	MHC	VDJ	allOtherDifficultregions	collapsed_duplication_FP_regions	contigs_lt500kb	false_duplications_correct_copy	false_duplications_incorrect_copy	gaps_slop15kb	gnomAD_InbreedingCoeff_slop1bp_merge1000bp	population_CNV_FP_regions	notinsegdups	notinsegdups_gt10kb	segdups	segdups_gt10kb	alldifficultregions	alllowmapandsegdupregions	notinalldifficultregions	notinalllowmapandsegdupregions	AllAutosomes	chrX_PAR	chrX_XTR	chrX_ampliconic	chrX_nonPAR	chrY_PAR	chrY_XTR	chrY_ampliconic	chrY_nonPAR
0	0.05738834090273489	0.03103494835384927	0.13898566140829677	0.03697134121642816	0.03008021342460858	0.028897448138753366	0.06706083565129038	0.032167078862561004	0.0466259801800155	0.07271887859260201	0.06697300399144886	0.06639600114170346	0.14461551735228287	0.09459087354473461	0.04631347439407424	0.035344518096695046	0.035344803390463087	0.4211024838808864	0.15100080632003576	0.03962984956598165	0.8591513609974388	0.5620143095731992	0.02881428328207478	0.2927281164630222	0.045750065515602484	0.11085791355984749	0.9026275115919629	0.05309003624769141	0.041788818120363884	0.05075225368747912	0.035599269190132836	0.07377671862677931	0.03698022378703025	0.02899484419667028	0.07452105138997529	0.029193362683347414	0.036807332521088164	0.11373827965756217	0.036844778867828686	0.030006951619045076	0.07582311718000434	0.032633706755089226	0.03150423032257649	0.10536254671586483	0.032355370155397245	0.03009723186591195	0.04004298460803682	0.3523526230394808	0.0339397171020675	0.09024878065897049	0.7339880444064901	0.05772137194532199	0.03491364711028894	0.0349267348612215	0.03641426752431941	0.838158396801392	0.5978842964288145	0.5978955675193617	0.9618004123626598	0.006971895514270445	0.03346813464651742	0.7685287067297545	0.0084772323682235	0.036076842092344984	0.3322462755392911	0.5161048537692533	0.3469996678787885	0.6443323034514619	0.1673988486011514	0.9999948580883813	0.6165771217432285	0.3517321878772831	0.4691139470403985	0.03371124764547769	0.03411885844996738	0.4447598825518423	0.4779480601752209	0.25103993740707	0.4978042239295492	0.004618511108815952	0.005836262826550664	0.048198534503723814	0.08788667473761036	0.2826812973760729	0.5979354833763414	0.07168224795859453	1.0	0.9979834595459873	0.9992572652681452	0.995330286952862
1	0.005237443360734157	0.003900575424305649	0.04853443296667365	0.006505516345319403	0.003488083354652015	0.003355636050429473	0.005259128325119318	0.004195989383230856	0.0072535327631738375	0.014736180960343473	0.01532732645526061	0.02164644614311154	0.049737137979739075	0.04921926916397734	0.008964194116373794	0.0051406786689564095	0.006697418021938441	0.012327214606355918	0.028528919559775892	0.009423569511712413	0.007276788551964224	0.014486038087217993	0.005240599560136696	0.010453702783345597	0.017453979448134226	0.08849520753498867	0.014683153013910355	0.004861191556036532	0.0063048255742948435	0.005200283991799137	0.004415162192275589	0.0206909179347817	0.0050017820253147015	0.01083080600291459	0.04248767708372134	0.010968614244578205	0.018837748237218208	0.11006930289441501	0.01888215544337556	0.006867278935473257	0.03051431045966218	0.008220613418902274	0.011305878983396432	0.07801648191019492	0.012074456386376779	0.008296937696208985	0.02041768881748909	0.09410492157923202	0.007398986486598654	0.028281694094529634	0.07344150298889837	0.005178392645930015	0.0047296946844439264	0.004789424935699736	0.005167870191662428	0.007262237184843845	0.035474765810037424	0.03547517339798167	0.007152181349482458	0.0024187136246177905	0.01293189631263585	0.03824593672847109	0.0033609312993030604	0.004564880756824637	0.020676467220189846	0.017177548036536358	0.03310694527585648	0.01884198139634849	0.006607817392182608	0.0	0.016885812956158507	0.03644898768663328	0.03296369469369388	0.003971847287922192	0.004036043315859403	0.02595807905082588	0.026956234224236215	0.01723115188865238	0.030089673565869335	0.0019735462615741274	0.0023303659608642584	0.0037128621767516705	0.02978091850410193	0.11407320983812888	0.017522899497766753	0.032742952722082795	0.0	0.001412872102877084	0.0003325647301776453	0.0011895234612306568
2	0.008389496906356875	0.007563107729635623	0.046712857250880195	0.009925034263643596	0.006320094588388449	0.006524822645372266	0.008400568046380084	0.007564703631008828	0.01013970923042866	0.016734852831547374	0.022604753269227475	0.0337774265104611	0.05672573567277771	0.07546819985828257	0.01221093410831989	0.008334764010997133	0.010708209634928486	0.012759791694470017	0.029478483053029574	0.014610343394754033	0.0044247037230726	0.013601910013631828	0.009013678189950887	0.01207705597093328	0.022546215930647893	0.08446819458782244	0.023956723338485315	0.007927480324707525	0.009838862417318536	0.008365204208861637	0.007656187611301308	0.022332144385630893	0.008183638687814772	0.017429012232967257	0.05268124309357967	0.017582206959628584	0.029771690549281953	0.10110069302894414	0.029806410134298505	0.011536563023659714	0.03755206139184449	0.013025274891211457	0.018347360733654988	0.0874347163072936	0.01914327235810843	0.012988817701636055	0.03281065373200058	0.10248783126014062	0.012484482381381315	0.03696620934067862	0.028181041844577284	0.008311277587410704	0.008032065260886252	0.008113299636071278	0.008476828868281362	0.004715134515617135	0.03209535777951697	0.03209559134684996	0.004892029071176466	0.006182455707040299	0.017311326535219263	0.027671789968352678	0.005875188387542506	0.005736178058113005	0.025158502753866063	0.015666257973008205	0.031920691151477464	0.017125753815783084	0.006665185334814665	0.0	0.015281554604020536	0.03189459206359566	0.028976657421559276	0.0073755415417746896	0.007439679511527682	0.025040383471821203	0.025612149769523567	0.018677885357086747	0.028355032010530096	0.00559442127474413	0.006057260701449123	0.004963852879193794	0.06157933300991977	0.11968428158175497	0.03270042531061347	0.07052863802700712	0.0	0.0002816922943925591	0.0001529551718326285	0.0005147578586140774
3	0.014033866071575871	0.014187399116624762	0.048636260180599994	0.01522948921496889	0.011479815745150647	0.012097801132266888	0.013985333421839429	0.01341899368088991	0.01598500579399865	0.02247089002832701	0.03481157107979794	0.05418270837517229	0.07460281816434529	0.10359139856006286	0.018482656665649348	0.014145262312432332	0.017163145857857033	0.01601231905994649	0.03398013582864847	0.021917291979851174	0.0043396515729661155	0.015663810593210363	0.01535091975319643	0.016395296949074895	0.029306888107279376	0.07734741296378565	0.025502318392581144	0.013472991748080934	0.016052447585739125	0.014061742520324305	0.013423308514088964	0.027745019414779498	0.013938038944659403	0.026291755428693695	0.0626637364820402	0.02644935568958296	0.04307685405018436	0.08846310640032613	0.043098945931358545	0.018596016241672578	0.045513561262009714	0.020135793327923875	0.02784875641317271	0.09268111533386535	0.028595518546732056	0.020282968156340914	0.04551840491748878	0.07706868577609519	0.020005650919901363	0.058212568862065335	0.024765157984628524	0.013943531347291817	0.013813683263991626	0.013915356216937468	0.01427881485351235	0.004845769739206332	0.03104280580023017	0.031044708857561148	0.0038573631578416017	0.012459824548129238	0.02034274362596183	0.023177724373303357	0.009630332524601954	0.009137607716801156	0.030488307920766476	0.016090968009938846	0.033118174017042236	0.016974503061919496	0.007042520957479042	0.0	0.015845998156968716	0.030138517521827488	0.026789005083980785	0.013305416180241364	0.01336802259056109	0.026149490618334097	0.026272479079336362	0.022654925992927354	0.028955095845103813	0.011704289236393262	0.012300906513815126	0.008446586066171683	0.10302941096026476	0.11797502261362677	0.050629660320123386	0.11581525311858008	0.0	0.00014084614719627955	7.842540646914263e-05	0.000323188565953229
4	0.022288230466707616	0.02368761377920412	0.05171389343706635	0.022674784403471676	0.019085934568059047	0.02010324628449009	0.02210610955575704	0.02236781419369784	0.025003029184115587	0.032649837681906414	0.051722432906053294	0.0780961751790771	0.09126275070496478	0.12353463816163864	0.027598236253673875	0.022736752399126894	0.025924106257255743	0.02094277608497809	0.040714320649546235	0.03169280114413028	0.005036754493994484	0.01913887803675929	0.024155735091582343	0.022600488016864147	0.03820865689404651	0.0774081377621953	0.00927357032457496	0.02149017110352093	0.025117035714776473	0.02231196424849046	0.021624283933182324	0.035404076185409056	0.02211239844740354	0.037415641056792674	0.07280763834568729	0.03756858859089024	0.05804548559707465	0.06726457399103139	0.05804997301330286	0.02790779880065788	0.05417326627425969	0.029409690271399985	0.039421246561452725	0.09637097729984277	0.04007698492345203	0.030231969664747005	0.0634906851175874	0.06517036235803136	0.029673637794627245	0.06998491175128951	0.04654141759180188	0.022197925904511008	0.022276705760619006	0.0223874226200186	0.02274059419968342	0.005824615252962361	0.03083648703283252	0.03083678193435475	0.0030052484364067986	0.021514001126026874	0.026921563695232936	0.02020976158369205	0.01760283627118825	0.014630352292509672	0.03755859584229638	0.01814832404722931	0.03367624245397401	0.018342452357924678	0.009034238965761034	0.0	0.017680591927230708	0.029734554590027888	0.026620126383434164	0.021924794441194058	0.02198263835138579	0.028604172121328	0.02820466592977696	0.02854041792602254	0.030617069497688217	0.020617847130326605	0.021338011152239933	0.015380560428733562	0.13465112362219347	0.10997056846389214	0.0640400099922758	0.14915274732413603	0.0	6.998201050671092e-05	3.557335430691829e-05	0.000184588521174753
5	0.03343739868116993	0.03596537809693513	0.055452837877309896	0.032956741809385855	0.02997057083266419	0.03116300387538471	0.03299702170519317	0.034586006410518316	0.03770462801448814	0.046514579245042056	0.07180893154320021	0.099690794996778	0.10554577427491951	0.12883435582822086	0.03967393232639271	0.03449023720375779	0.03729984043213893	0.027248228737199544	0.048494792521621234	0.04402405426985926	0.006140140375886027	0.023345969846633022	0.03618467033537707	0.03059325427558253	0.04895873727542589	0.07420889969861323	0.0	0.03244377086928648	0.0370945961656688	0.033498549144864276	0.03269394927766602	0.04640624834778195	0.03317983512575254	0.0507893357560811	0.0756012465700699	0.050895586818845116	0.07320013809623735	0.07541785568691398	0.07320121757627711	0.03989082058323237	0.06129966572448198	0.04111159106222177	0.05279223392528073	0.08725298863016838	0.05318940140963029	0.04200814717686754	0.07394376025381387	0.06679286100594917	0.04187524216449489	0.08914347871855152	0.019214346712211786	0.033353965685205406	0.033737194102014	0.03384533824828656	0.034155124758382116	0.007455182885413663	0.030889312319795536	0.030890718681354797	0.0025039161611801527	0.033705700175080046	0.03423566365459905	0.01764324472934941	0.030057808680890596	0.02494066560347261	0.041990557352611015	0.02139270698952175	0.03576703406276068	0.020103921314424504	0.012875467124532875	0.0	0.019701506870310546	0.03096218796081064	0.0270917036644148	0.03355713387840944	0.03360067716063508	0.03196951937243998	0.031014389699534524	0.036144296559360106	0.03283568942584274	0.03274267301710553	0.033540261608863566	0.026867113676545516	0.1474956562296217	0.08953293472394115	0.06576949148644047	0.1561489357872452	0.0	4.645864563050557e-05	3.670103989013472e-05	0.00015129235657137673
6	0.04762102874184678	0.05060732412938908	0.060029216867640275	0.046337063153389764	0.04442601945253625	0.045503353945045615	0.046896961951646825	0.05008168051102557	0.053535740067741845	0.0626372257616853	0.08944604334973665	0.11390568904433399	0.10685344012411849	0.11892698615501536	0.05402232918761686	0.04930874532496944	0.05141542959926248	0.03464068032551407	0.056851623299326186	0.058205935956099436	0.00758170201085576	0.028057197367306923	0.05121834882385119	0.04022306516325209	0.062342962534136424	0.07444221076618715	0.023956723338485315	0.046404656471792566	0.051939760425764	0.04765497283280692	0.0469310262546473	0.05814638804960077	0.047325330136633995	0.06559437374720506	0.08678809550415316	0.06568428923121304	0.08644673576904972	0.06685690990623726	0.08643720036828904	0.05432027798843591	0.07004723475461228	0.055214439412379704	0.06647790534797131	0.0849537384543666	0.06669025639307682	0.05573943118114347	0.08395024205978768	0.07084910762574365	0.055886668178448215	0.0854240499666655	0.014090520922288642	0.04754510068866865	0.048355050515809406	0.048447948337423614	0.04867017304117144	0.009320558178680355	0.030925715841502763	0.030925450860189645	0.0020642223653693083	0.049206008225323936	0.048354327509142626	0.01676979569443152	0.04721076013326676	0.0382417906081753	0.045076266431565024	0.025600455438608723	0.03649802511395301	0.02189625230843834	0.018426421573578426	0.0	0.022640632037603824	0.03165421009576176	0.027575840677538817	0.048383844303834	0.04840200962335818	0.03557917272422739	0.03397964468138543	0.04509347461800202	0.03522534961054666	0.04834892243464268	0.049101193527693605	0.04298246400162483	0.13625439595320388	0.06668605755033893	0.05975432034955076	0.1381072421909393	0.0	6.468925340956471e-05	2.655186964118685e-05	0.00011131157442373943
7	0.06391853450990728	0.06705605981209645	0.06391373651001556	0.06301136104036843	0.06186440533336246	0.06260883813804127	0.06290128963163841	0.06754867631274995	0.07095662047827692	0.07894001390048895	0.10186311150494295	0.1154431398521959	0.09832491663870944	0.09743440061973838	0.06962460548077974	0.06625041721601353	0.06719073838845546	0.042450148034100375	0.06515302346367659	0.07294823257806979	0.009208853058385409	0.032839793765619574	0.06778011467773606	0.050683445248680896	0.07494744239971582	0.0762671507604982	0.0	0.06274602937296474	0.06838865234107684	0.0640090390063106	0.06365992053998429	0.07071799344065956	0.06390669156782175	0.07973868225640761	0.09043841025067978	0.07978542265432156	0.09587901054323876	0.06196494088870771	0.09586250277804235	0.06984746866971246	0.07571132590725482	0.07018012020908596	0.07949009578662265	0.07951771054731635	0.07949024707128115	0.06965803358867789	0.09130662663867188	0.0494862087614927	0.07114049973123268	0.09293308537141654	0.03031596925704526	0.06385980357679483	0.06520358704927537	0.06526390703761463	0.06534498128478958	0.011426781838740406	0.0308087343700917	0.03080846735237276	0.001794631052018249	0.06702635764951409	0.059280328683010516	0.016462932854517817	0.06655387492631515	0.054777361973718436	0.04509740423650864	0.03045363256646254	0.03786131905769402	0.024115144846976688	0.026543581456418542	0.0	0.02525208593598728	0.03317670314357079	0.028676037070184957	0.065411062619507	0.06539614279359923	0.03980260282814711	0.03754298619334494	0.05475347359183436	0.037657570321144924	0.06644400160078043	0.0670128457041086	0.06214747984191101	0.10932877771267921	0.04478711002281655	0.044237542717937346	0.10580407359032386	0.0	0.0	2.3578880376343536e-05	9.223079902841199e-05
8	0.07998721852617299	0.08243323613848176	0.06737963316180476	0.07907576676997341	0.07958671509634024	0.08008166997638046	0.07881105292113974	0.08423162673149576	0.08662491783748504	0.09108974071388427	0.10613037081918589	0.10729745147855553	0.08381464038803974	0.07193627855918171	0.08373059267320908	0.08263962034432128	0.08233230552154146	0.04941740508507484	0.0718385478224692	0.08613702716872912	0.010673621896969375	0.03685546589880742	0.08348822817047966	0.06037099003192927	0.08543015116513004	0.07110234685365643	0.0	0.07915156582645946	0.08388469303333394	0.08020272987549686	0.08026217080750286	0.08218209098594355	0.08032098749810575	0.09130511647601891	0.08259147514930285	0.09126700163281963	0.0998630750792078	0.06441092539747248	0.09984581864939518	0.08438335298923794	0.08111731650737392	0.0841953223793826	0.08970309922816298	0.06835331020914485	0.08945719475124643	0.08366442682681216	0.0929100207479818	0.028123309897241752	0.08549622679910582	0.0907926593915576	0.018360375747224593	0.07994749768711437	0.08186372813604005	0.08187795180480256	0.08178215886834223	0.013255952550664307	0.030105214213831395	0.0301049428182275	0.0015257008312477263	0.08464029482506327	0.06893571460820547	0.014570662696001416	0.08529195951202266	0.07321734767351024	0.04616004068309177	0.03484392722251347	0.03835076740960177	0.025424888416716286	0.03575234824765175	0.0	0.0277496768954265	0.03388151312613423	0.029348479707674492	0.08223648109765078	0.0821838085390859	0.043176136566037526	0.040277875056131944	0.06340927729915925	0.039349451812346815	0.08450750180686832	0.08474418501752126	0.08116330126691734	0.07850240328902952	0.026988004864670446	0.03078247058380063	0.07166952736492896	0.0	0.0	8.71393405212696e-06	8.381156553912118e-05
9	0.0926665778001151	0.09414358398538249	0.06824139310188511	0.09256751743711718	0.09455196891608199	0.0946493352398734	0.09147110076689216	0.09680468327498953	0.09697746525364084	0.09704843226765307	0.10061297432062169	0.09108457637123502	0.0641907936472476	0.05238221115896216	0.09388981697686785	0.09532513772037579	0.09406832694834447	0.05415993075725668	0.07535994741185456	0.09441736257251006	0.011833381773766274	0.03916710902187295	0.09581713445476264	0.06744084614740296	0.09238641449212207	0.060437154627709044	0.0	0.09241059577031199	0.09549338798375528	0.09307884783265975	0.09389968149601863	0.08923285324630585	0.0937300928089228	0.09786324531290233	0.0753901739486721	0.0977645912709538	0.09735864144749315	0.04525071341214839	0.09733327777248627	0.09513168422500062	0.08220502597872278	0.09439349630709783	0.09509223641180972	0.054407686290622065	0.09462341766159843	0.09344653186314207	0.09042584534845134	0.010005408328826392	0.09361602098875162	0.08016070739324187	0.008539709649871904	0.09264301427164494	0.09505841658830524	0.09502836241258159	0.09475183247631074	0.014524976660337937	0.02851740992398575	0.028516288216452707	0.0013807758916432955	0.09862926263944197	0.08086143843965868	0.012752903336076548	0.10165676134829624	0.09113183894682225	0.04723560607832973	0.038568837260842814	0.03715241119750033	0.026062206700695218	0.044225027774972225	0.0	0.029653249512581376	0.03375481734111968	0.029844453590660257	0.09553791789922818	0.09545950976685147	0.04533724322179271	0.04180872736500089	0.06939739239944835	0.03978256755991182	0.09898237650787808	0.0988348585535154	0.09624369370050156	0.05086242016027685	0.014595177594525893	0.018202042027614204	0.043334007250883017	0.0	0.0	1.4352361968209107e-06	6.206540466728458e-05
