Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,DP,*,0.9279379999999999,0.9430350000000001,0.792538,0.935425,5437,2828,3019006526,1361597217.000000,0.000000,192736,.,.,100210.000000,87425.000000,,1.146239633971976,178847,.,.,90613.000000,85394.000000,,1.0611167060917628,13889,.,.,9597.000000,2031.000000,,4.725258493353028,915117,.,.,500594.000000,390103.000000,,1.2832354532008212,179037,.,.,90699.000000,85387.000000,,1.0622108751917738,10815,.,.,6949.000000,3094.000000,,2.2459599224305107,725265,.,.,402946.000000,301622.000000,,1.3359304029546917
INDEL,*,*,PASS,*,DP,*,0.9279379999999999,0.9430350000000001,0.792538,0.935425,5437,2828,3019006526,1361597217.000000,0.000000,192736,.,.,100210.000000,87425.000000,,1.146239633971976,178847,.,.,90613.000000,85394.000000,,1.0611167060917628,13889,.,.,9597.000000,2031.000000,,4.725258493353028,915117,.,.,500594.000000,390103.000000,,1.2832354532008212,179037,.,.,90699.000000,85387.000000,,1.0622108751917738,10815,.,.,6949.000000,3094.000000,,2.2459599224305107,725265,.,.,402946.000000,301622.000000,,1.3359304029546917
INDEL,*,AllAutosomes,ALL,*,DP,*,0.9279379999999999,0.9430350000000001,0.7848569999999999,0.935425,5437,2828,2756349822.000000,1359474069.000000,0.000000,192736,.,.,100210.000000,87425.000000,,1.146239633971976,178847,.,.,90613.000000,85394.000000,,1.0611167060917628,13889,.,.,9597.000000,2031.000000,,4.725258493353028,882445,.,.,487513.000000,371244.000000,,1.313187553199513,179037,.,.,90699.000000,85387.000000,,1.0622108751917738,10815,.,.,6949.000000,3094.000000,,2.2459599224305107,692593,.,.,389865.000000,282763.000000,,1.3787694995455557
INDEL,*,AllAutosomes,PASS,*,DP,*,0.9279379999999999,0.9430350000000001,0.7848569999999999,0.935425,5437,2828,2756349822.000000,1359474069.000000,0.000000,192736,.,.,100210.000000,87425.000000,,1.146239633971976,178847,.,.,90613.000000,85394.000000,,1.0611167060917628,13889,.,.,9597.000000,2031.000000,,4.725258493353028,882445,.,.,487513.000000,371244.000000,,1.313187553199513,179037,.,.,90699.000000,85387.000000,,1.0622108751917738,10815,.,.,6949.000000,3094.000000,,2.2459599224305107,692593,.,.,389865.000000,282763.000000,,1.3787694995455557
INDEL,*,AllHomopolymers_ge7bp_imperfectge11bp_slop5,ALL,*,DP,*,0.962801,0.9546120000000001,0.928905,0.9586889999999999,569,240,83977437.000000,18367224.000000,0.000000,34463,.,.,17301.000000,16755.000000,,1.0325872873769024,33181,.,.,16397.000000,16503.000000,,0.9935769254075016,1282,.,.,904.000000,252.000000,,3.5873015873015874,489021,.,.,275052.000000,198218.000000,,1.3876237274112342,33189,.,.,16404.000000,16469.000000,,0.9960531908434027,1578,.,.,1206.000000,302.000000,,3.993377483443709,454254,.,.,257442.000000,181447.000000,,1.4188275364155924
INDEL,*,AllHomopolymers_ge7bp_imperfectge11bp_slop5,PASS,*,DP,*,0.962801,0.9546120000000001,0.928905,0.9586889999999999,569,240,83977437.000000,18367224.000000,0.000000,34463,.,.,17301.000000,16755.000000,,1.0325872873769024,33181,.,.,16397.000000,16503.000000,,0.9935769254075016,1282,.,.,904.000000,252.000000,,3.5873015873015874,489021,.,.,275052.000000,198218.000000,,1.3876237274112342,33189,.,.,16404.000000,16469.000000,,0.9960531908434027,1578,.,.,1206.000000,302.000000,,3.993377483443709,454254,.,.,257442.000000,181447.000000,,1.4188275364155924
INDEL,*,AllTandemRepeats,ALL,*,DP,*,0.836772,0.877128,0.694713,0.856475,4573,2434,168369990.000000,29936912.000000,0.000000,68493,.,.,39208.000000,24661.000000,,1.5898787559304164,57313,.,.,31794.000000,23014.000000,,1.3815069088380985,11180,.,.,7414.000000,1647.000000,,4.501517911353977,214575,.,.,124130.000000,81994.000000,,1.513891260336122,57458,.,.,31846.000000,23035.000000,,1.3825048838723681,8049,.,.,4798.000000,2555.000000,,1.8778864970645792,149068,.,.,87486.000000,56404.000000,,1.5510602084958514
INDEL,*,AllTandemRepeats,PASS,*,DP,*,0.836772,0.877128,0.694713,0.856475,4573,2434,168369990.000000,29936912.000000,0.000000,68493,.,.,39208.000000,24661.000000,,1.5898787559304164,57313,.,.,31794.000000,23014.000000,,1.3815069088380985,11180,.,.,7414.000000,1647.000000,,4.501517911353977,214575,.,.,124130.000000,81994.000000,,1.513891260336122,57458,.,.,31846.000000,23035.000000,,1.3825048838723681,8049,.,.,4798.000000,2555.000000,,1.8778864970645792,149068,.,.,87486.000000,56404.000000,,1.5510602084958514
INDEL,*,AllTandemRepeats_201to10000bp_slop5,ALL,*,DP,*,0.7901020000000001,0.877337,0.8807959999999999,0.8314379999999999,253,216,40176355.000000,6663345.000000,0.000000,5274,.,.,2824.000000,2304.000000,,1.2256944444444444,4167,.,.,2087.000000,2017.000000,,1.0347050074367874,1107,.,.,737.000000,287.000000,,2.56794425087108,39940,.,.,21528.000000,17860.000000,,1.2053751399776036,4177,.,.,2085.000000,2033.000000,,1.0255779636005902,584,.,.,395.000000,167.000000,,2.3652694610778444,35179,.,.,19048.000000,15660.000000,,1.2163473818646233
INDEL,*,AllTandemRepeats_201to10000bp_slop5,PASS,*,DP,*,0.7901020000000001,0.877337,0.8807959999999999,0.8314379999999999,253,216,40176355.000000,6663345.000000,0.000000,5274,.,.,2824.000000,2304.000000,,1.2256944444444444,4167,.,.,2087.000000,2017.000000,,1.0347050074367874,1107,.,.,737.000000,287.000000,,2.56794425087108,39940,.,.,21528.000000,17860.000000,,1.2053751399776036,4177,.,.,2085.000000,2033.000000,,1.0255779636005902,584,.,.,395.000000,167.000000,,2.3652694610778444,35179,.,.,19048.000000,15660.000000,,1.2163473818646233
