Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,DP,*,0.959808,0.974251,0.640699,0.9669760000000001,101,84,64274167,56246925.000000,0.000000,9181,.,.,6338.000000,2571.000000,,2.4651886425515364,8812,.,.,6055.000000,2537.000000,,2.3866771777690183,369,.,.,283.000000,34.000000,,8.323529411764707,25185,.,.,17779.000000,6513.000000,,2.7297712267772147,8816,.,.,6056.000000,2540.000000,,2.384251968503937,233,.,.,146.000000,65.000000,,2.246153846153846,16136,.,.,11577.000000,3908.000000,,2.9623848515864895
INDEL,*,*,PASS,*,DP,*,0.959808,0.974251,0.640699,0.9669760000000001,101,84,64274167,56246925.000000,0.000000,9181,.,.,6338.000000,2571.000000,,2.4651886425515364,8812,.,.,6055.000000,2537.000000,,2.3866771777690183,369,.,.,283.000000,34.000000,,8.323529411764707,25185,.,.,17779.000000,6513.000000,,2.7297712267772147,8816,.,.,6056.000000,2540.000000,,2.384251968503937,233,.,.,146.000000,65.000000,,2.246153846153846,16136,.,.,11577.000000,3908.000000,,2.9623848515864895
INDEL,*,AllAutosomes,ALL,*,DP,*,0.959808,0.974251,0.640699,0.9669760000000001,101,84,2756349822.000000,56138722.000000,0.000000,9181,.,.,6338.000000,2571.000000,,2.4651886425515364,8812,.,.,6055.000000,2537.000000,,2.3866771777690183,369,.,.,283.000000,34.000000,,8.323529411764707,25185,.,.,17779.000000,6513.000000,,2.7297712267772147,8816,.,.,6056.000000,2540.000000,,2.384251968503937,233,.,.,146.000000,65.000000,,2.246153846153846,16136,.,.,11577.000000,3908.000000,,2.9623848515864895
INDEL,*,AllAutosomes,PASS,*,DP,*,0.959808,0.974251,0.640699,0.9669760000000001,101,84,2756349822.000000,56138722.000000,0.000000,9181,.,.,6338.000000,2571.000000,,2.4651886425515364,8812,.,.,6055.000000,2537.000000,,2.3866771777690183,369,.,.,283.000000,34.000000,,8.323529411764707,25185,.,.,17779.000000,6513.000000,,2.7297712267772147,8816,.,.,6056.000000,2540.000000,,2.384251968503937,233,.,.,146.000000,65.000000,,2.246153846153846,16136,.,.,11577.000000,3908.000000,,2.9623848515864895
INDEL,*,AllHomopolymers_ge7bp_imperfectge11bp_slop5,ALL,*,DP,*,0.9766389999999999,0.9849479999999999,0.888459,0.980775,11,4,83977437.000000,648324.000000,0.000000,1541,.,.,1042.000000,476.000000,,2.189075630252101,1505,.,.,1011.000000,474.000000,,2.132911392405063,36,.,.,31.000000,2.000000,,15.5,13699,.,.,9790.000000,3313.000000,,2.9550256565046786,1505,.,.,1011.000000,474.000000,,2.132911392405063,23,.,.,11.000000,9.000000,,1.2222222222222223,12171,.,.,8768.000000,2830.000000,,3.0982332155477033
INDEL,*,AllHomopolymers_ge7bp_imperfectge11bp_slop5,PASS,*,DP,*,0.9766389999999999,0.9849479999999999,0.888459,0.980775,11,4,83977437.000000,648324.000000,0.000000,1541,.,.,1042.000000,476.000000,,2.189075630252101,1505,.,.,1011.000000,474.000000,,2.132911392405063,36,.,.,31.000000,2.000000,,15.5,13699,.,.,9790.000000,3313.000000,,2.9550256565046786,1505,.,.,1011.000000,474.000000,,2.132911392405063,23,.,.,11.000000,9.000000,,1.2222222222222223,12171,.,.,8768.000000,2830.000000,,3.0982332155477033
INDEL,*,AllTandemRepeats,ALL,*,DP,*,0.910176,0.942011,0.46324499999999996,0.9258200000000001,83,73,168369990.000000,1322659.000000,0.000000,3351,.,.,2492.000000,616.000000,,4.045454545454546,3050,.,.,2264.000000,592.000000,,3.824324324324324,301,.,.,228.000000,24.000000,,9.5,6040,.,.,4480.000000,1273.000000,,3.519245875883739,3054,.,.,2265.000000,595.000000,,3.80672268907563,188,.,.,116.000000,53.000000,,2.188679245283019,2798,.,.,2099.000000,625.000000,,3.3584
INDEL,*,AllTandemRepeats,PASS,*,DP,*,0.910176,0.942011,0.46324499999999996,0.9258200000000001,83,73,168369990.000000,1322659.000000,0.000000,3351,.,.,2492.000000,616.000000,,4.045454545454546,3050,.,.,2264.000000,592.000000,,3.824324324324324,301,.,.,228.000000,24.000000,,9.5,6040,.,.,4480.000000,1273.000000,,3.519245875883739,3054,.,.,2265.000000,595.000000,,3.80672268907563,188,.,.,116.000000,53.000000,,2.188679245283019,2798,.,.,2099.000000,625.000000,,3.3584
INDEL,*,AllTandemRepeats_201to10000bp_slop5,ALL,*,DP,*,0.796791,0.92,0.744296,0.853975,14,4,40176355.000000,364470.000000,0.000000,374,.,.,274.000000,86.000000,,3.186046511627907,298,.,.,213.000000,77.000000,,2.7662337662337664,76,.,.,61.000000,9.000000,,6.777777777777778,1271,.,.,896.000000,356.000000,,2.5168539325842696,299,.,.,213.000000,78.000000,,2.730769230769231,26,.,.,14.000000,12.000000,,1.1666666666666667,946,.,.,669.000000,266.000000,,2.5150375939849625
INDEL,*,AllTandemRepeats_201to10000bp_slop5,PASS,*,DP,*,0.796791,0.92,0.744296,0.853975,14,4,40176355.000000,364470.000000,0.000000,374,.,.,274.000000,86.000000,,3.186046511627907,298,.,.,213.000000,77.000000,,2.7662337662337664,76,.,.,61.000000,9.000000,,6.777777777777778,1271,.,.,896.000000,356.000000,,2.5168539325842696,299,.,.,213.000000,78.000000,,2.730769230769231,26,.,.,14.000000,12.000000,,1.1666666666666667,946,.,.,669.000000,266.000000,,2.5150375939849625
INDEL,*,AllTandemRepeats_51to200bp_slop5,ALL,*,DP,*,0.867195,0.913452,0.49070600000000003,0.8897229999999999,24,46,25887961.000000,435275.000000,0.000000,1009,.,.,769.000000,185.000000,,4.1567567567567565,875,.,.,661.000000,178.000000,,3.7134831460674156,134,.,.,108.000000,7.000000,,15.428571428571429,1883,.,.,1468.000000,339.000000,,4.330383480825959,876,.,.,661.000000,179.000000,,3.6927374301675977,83,.,.,59.000000,18.000000,,3.2777777777777777,924,.,.,748.000000,142.000000,,5.267605633802817
INDEL,*,AllTandemRepeats_51to200bp_slop5,PASS,*,DP,*,0.867195,0.913452,0.49070600000000003,0.8897229999999999,24,46,25887961.000000,435275.000000,0.000000,1009,.,.,769.000000,185.000000,,4.1567567567567565,875,.,.,661.000000,178.000000,,3.7134831460674156,134,.,.,108.000000,7.000000,,15.428571428571429,1883,.,.,1468.000000,339.000000,,4.330383480825959,876,.,.,661.000000,179.000000,,3.6927374301675977,83,.,.,59.000000,18.000000,,3.2777777777777777,924,.,.,748.000000,142.000000,,5.267605633802817
INDEL,*,AllTandemRepeats_ge10001bp_slop5,ALL,*,DP,*,0.0,,1.0,,0,0,73296207.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,288,.,.,160.000000,123.000000,,1.3008130081300813,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,288,.,.,160.000000,123.000000,,1.3008130081300813
INDEL,*,AllTandemRepeats_ge10001bp_slop5,PASS,*,DP,*,0.0,,1.0,,0,0,73296207.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,288,.,.,160.000000,123.000000,,1.3008130081300813,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,288,.,.,160.000000,123.000000,,1.3008130081300813
INDEL,*,AllTandemRepeats_ge101bp_slop5,ALL,*,DP,*,0.791849,0.9176469999999999,0.736958,0.8501190000000001,22,17,123639327.000000,540689.000000,0.000000,687,.,.,502.000000,155.000000,,3.238709677419355,544,.,.,388.000000,142.000000,,2.732394366197183,143,.,.,114.000000,13.000000,,8.76923076923077,2262,.,.,1581.000000,634.000000,,2.493690851735016,546,.,.,389.000000,143.000000,,2.7202797202797204,49,.,.,28.000000,20.000000,,1.4,1667,.,.,1164.000000,471.000000,,2.4713375796178343
INDEL,*,AllTandemRepeats_ge101bp_slop5,PASS,*,DP,*,0.791849,0.9176469999999999,0.736958,0.8501190000000001,22,17,123639327.000000,540689.000000,0.000000,687,.,.,502.000000,155.000000,,3.238709677419355,544,.,.,388.000000,142.000000,,2.732394366197183,143,.,.,114.000000,13.000000,,8.76923076923077,2262,.,.,1581.000000,634.000000,,2.493690851735016,546,.,.,389.000000,143.000000,,2.7202797202797204,49,.,.,28.000000,20.000000,,1.4,1667,.,.,1164.000000,471.000000,,2.4713375796178343
INDEL,*,AllTandemRepeats_le50bp_slop5,ALL,*,DP,*,0.95376,0.9596530000000001,0.24634299999999998,0.9566969999999999,45,23,29009467.000000,522914.000000,0.000000,1968,.,.,1449.000000,345.000000,,4.2,1877,.,.,1390.000000,337.000000,,4.1246290801186944,91,.,.,59.000000,8.000000,,7.375,2598,.,.,1956.000000,455.000000,,4.298901098901099,1879,.,.,1391.000000,338.000000,,4.115384615384615,79,.,.,43.000000,23.000000,,1.8695652173913044,640,.,.,522.000000,94.000000,,5.553191489361702
INDEL,*,AllTandemRepeats_le50bp_slop5,PASS,*,DP,*,0.95376,0.9596530000000001,0.24634299999999998,0.9566969999999999,45,23,29009467.000000,522914.000000,0.000000,1968,.,.,1449.000000,345.000000,,4.2,1877,.,.,1390.000000,337.000000,,4.1246290801186944,91,.,.,59.000000,8.000000,,7.375,2598,.,.,1956.000000,455.000000,,4.298901098901099,1879,.,.,1391.000000,338.000000,,4.115384615384615,79,.,.,43.000000,23.000000,,1.8695652173913044,640,.,.,522.000000,94.000000,,5.553191489361702
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,DP,*,0.9309850000000001,0.9556819999999999,0.757969,0.9431719999999999,94,77,252347427.000000,1970983.000000,0.000000,4883,.,.,3528.000000,1089.000000,,3.239669421487603,4546,.,.,3269.000000,1063.000000,,3.0752587017873942,337,.,.,259.000000,26.000000,,9.961538461538462,19671,.,.,14216.000000,4572.000000,,3.109361329833771,4550,.,.,3270.000000,1066.000000,,3.0675422138836774,211,.,.,127.000000,62.000000,,2.0483870967741935,14910,.,.,10819.000000,3444.000000,,3.141405342624855
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,DP,*,0.9309850000000001,0.9556819999999999,0.757969,0.9431719999999999,94,77,252347427.000000,1970983.000000,0.000000,4883,.,.,3528.000000,1089.000000,,3.239669421487603,4546,.,.,3269.000000,1063.000000,,3.0752587017873942,337,.,.,259.000000,26.000000,,9.961538461538462,19671,.,.,14216.000000,4572.000000,,3.109361329833771,4550,.,.,3270.000000,1066.000000,,3.0675422138836774,211,.,.,127.000000,62.000000,,2.0483870967741935,14910,.,.,10819.000000,3444.000000,,3.141405342624855
