Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,7625,7302,323,21333,305,13720,113,0.957639,0.959937,0.643135,0.958787,,,1.50168918919,1.84396575532
INDEL,PASS,7625,7302,323,21333,305,13720,113,0.957639,0.959937,0.643135,0.958787,,,1.50168918919,1.84396575532
SNP,ALL,63304,62953,351,85235,393,21886,37,0.994455,0.993796,0.256772,0.994126,2.31615336266,2.04177815834,1.34331728989,1.47125703347
SNP,PASS,63304,62953,351,85235,393,21886,37,0.994455,0.993796,0.256772,0.994126,2.31615336266,2.04177815834,1.34331728989,1.47125703347
