Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,DP,*,0.980721,0.979565,0.63923,0.980143,71,0,64274167,56246925.000000,0.000000,9181,.,.,6338.000000,2571.000000,,2.46518864255,9004,.,.,6201.000000,2563.000000,,2.41943035505,177,.,.,137.000000,8.000000,,17.125,25501,.,.,17976.000000,6629.000000,,2.71172122492,9012,.,.,6210.000000,2563.000000,,2.422941865,188,.,.,120.000000,47.000000,,2.55319148936,16301,.,.,11646.000000,4019.000000,,2.89773575516
INDEL,*,*,PASS,*,DP,*,0.980721,0.979565,0.63923,0.980143,71,0,64274167,56246925.000000,0.000000,9181,.,.,6338.000000,2571.000000,,2.46518864255,9004,.,.,6201.000000,2563.000000,,2.41943035505,177,.,.,137.000000,8.000000,,17.125,25501,.,.,17976.000000,6629.000000,,2.71172122492,9012,.,.,6210.000000,2563.000000,,2.422941865,188,.,.,120.000000,47.000000,,2.55319148936,16301,.,.,11646.000000,4019.000000,,2.89773575516
INDEL,*,AllAutosomes,ALL,*,DP,*,0.980721,0.979565,0.63923,0.980143,71,0,2756349822.000000,56138722.000000,0.000000,9181,.,.,6338.000000,2571.000000,,2.46518864255,9004,.,.,6201.000000,2563.000000,,2.41943035505,177,.,.,137.000000,8.000000,,17.125,25501,.,.,17976.000000,6629.000000,,2.71172122492,9012,.,.,6210.000000,2563.000000,,2.422941865,188,.,.,120.000000,47.000000,,2.55319148936,16301,.,.,11646.000000,4019.000000,,2.89773575516
INDEL,*,AllAutosomes,PASS,*,DP,*,0.980721,0.979565,0.63923,0.980143,71,0,2756349822.000000,56138722.000000,0.000000,9181,.,.,6338.000000,2571.000000,,2.46518864255,9004,.,.,6201.000000,2563.000000,,2.41943035505,177,.,.,137.000000,8.000000,,17.125,25501,.,.,17976.000000,6629.000000,,2.71172122492,9012,.,.,6210.000000,2563.000000,,2.422941865,188,.,.,120.000000,47.000000,,2.55319148936,16301,.,.,11646.000000,4019.000000,,2.89773575516
INDEL,*,AllHomopolymers_ge7bp_imperfectge11bp_slop5,ALL,*,DP,*,0.991564,0.987072,0.885518,0.989313,8,0,83977437.000000,648324.000000,0.000000,1541,.,.,1042.000000,476.000000,,2.18907563025,1528,.,.,1033.000000,476.000000,,2.17016806723,13,.,.,9.000000,0.000000,,,13513,.,.,9625.000000,3321.000000,,2.89822342668,1527,.,.,1033.000000,475.000000,,2.17473684211,20,.,.,12.000000,6.000000,,2.0,11966,.,.,8580.000000,2840.000000,,3.02112676056
INDEL,*,AllHomopolymers_ge7bp_imperfectge11bp_slop5,PASS,*,DP,*,0.991564,0.987072,0.885518,0.989313,8,0,83977437.000000,648324.000000,0.000000,1541,.,.,1042.000000,476.000000,,2.18907563025,1528,.,.,1033.000000,476.000000,,2.17016806723,13,.,.,9.000000,0.000000,,,13513,.,.,9625.000000,3321.000000,,2.89822342668,1527,.,.,1033.000000,475.000000,,2.17473684211,20,.,.,12.000000,6.000000,,2.0,11966,.,.,8580.000000,2840.000000,,3.02112676056
INDEL,*,AllTandemRepeats,ALL,*,DP,*,0.953447,0.954708,0.487634,0.954077,60,0,168369990.000000,1322659.000000,0.000000,3351,.,.,2492.000000,616.000000,,4.04545454545,3195,.,.,2369.000000,611.000000,,3.87725040917,156,.,.,123.000000,5.000000,,24.6,6550,.,.,4863.000000,1369.000000,,3.55222790358,3204,.,.,2378.000000,612.000000,,3.88562091503,152,.,.,94.000000,39.000000,,2.41025641026,3194,.,.,2391.000000,718.000000,,3.33008356546
INDEL,*,AllTandemRepeats,PASS,*,DP,*,0.953447,0.954708,0.487634,0.954077,60,0,168369990.000000,1322659.000000,0.000000,3351,.,.,2492.000000,616.000000,,4.04545454545,3195,.,.,2369.000000,611.000000,,3.87725040917,156,.,.,123.000000,5.000000,,24.6,6550,.,.,4863.000000,1369.000000,,3.55222790358,3204,.,.,2378.000000,612.000000,,3.88562091503,152,.,.,94.000000,39.000000,,2.41025641026,3194,.,.,2391.000000,718.000000,,3.33008356546
INDEL,*,AllTandemRepeats_201to10000bp_slop5,ALL,*,DP,*,0.941176,0.95664,0.768216,0.948845,3,0,40176355.000000,364470.000000,0.000000,374,.,.,274.000000,86.000000,,3.18604651163,352,.,.,254.000000,85.000000,,2.98823529412,22,.,.,20.000000,1.000000,,20.0,1592,.,.,1156.000000,409.000000,,2.82640586797,353,.,.,254.000000,86.000000,,2.95348837209,16,.,.,13.000000,3.000000,,4.33333333333,1223,.,.,889.000000,320.000000,,2.778125
INDEL,*,AllTandemRepeats_201to10000bp_slop5,PASS,*,DP,*,0.941176,0.95664,0.768216,0.948845,3,0,40176355.000000,364470.000000,0.000000,374,.,.,274.000000,86.000000,,3.18604651163,352,.,.,254.000000,85.000000,,2.98823529412,22,.,.,20.000000,1.000000,,20.0,1592,.,.,1156.000000,409.000000,,2.82640586797,353,.,.,254.000000,86.000000,,2.95348837209,16,.,.,13.000000,3.000000,,4.33333333333,1223,.,.,889.000000,320.000000,,2.778125
INDEL,*,AllTandemRepeats_51to200bp_slop5,ALL,*,DP,*,0.920714,0.926733,0.509232,0.923713,23,0,25887961.000000,435275.000000,0.000000,1009,.,.,769.000000,185.000000,,4.15675675676,929,.,.,699.000000,184.000000,,3.79891304348,80,.,.,70.000000,1.000000,,70.0,2058,.,.,1617.000000,346.000000,,4.67341040462,936,.,.,708.000000,183.000000,,3.86885245902,74,.,.,52.000000,16.000000,,3.25,1048,.,.,857.000000,147.000000,,5.82993197279
INDEL,*,AllTandemRepeats_51to200bp_slop5,PASS,*,DP,*,0.920714,0.926733,0.509232,0.923713,23,0,25887961.000000,435275.000000,0.000000,1009,.,.,769.000000,185.000000,,4.15675675676,929,.,.,699.000000,184.000000,,3.79891304348,80,.,.,70.000000,1.000000,,70.0,2058,.,.,1617.000000,346.000000,,4.67341040462,936,.,.,708.000000,183.000000,,3.86885245902,74,.,.,52.000000,16.000000,,3.25,1048,.,.,857.000000,147.000000,,5.82993197279
INDEL,*,AllTandemRepeats_ge10001bp_slop5,ALL,*,DP,*,0.0,,1.0,,0,0,73296207.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,277,.,.,127.000000,144.000000,,0.881944444444,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,277,.,.,127.000000,144.000000,,0.881944444444
INDEL,*,AllTandemRepeats_ge10001bp_slop5,PASS,*,DP,*,0.0,,1.0,,0,0,73296207.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,277,.,.,127.000000,144.000000,,0.881944444444,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,277,.,.,127.000000,144.000000,,0.881944444444
INDEL,*,AllTandemRepeats_ge101bp_slop5,ALL,*,DP,*,0.921397,0.946508,0.750925,0.933784,9,0,123639327.000000,540689.000000,0.000000,687,.,.,502.000000,155.000000,,3.23870967742,633,.,.,456.000000,154.000000,,2.96103896104,54,.,.,46.000000,1.000000,,46.0,2702,.,.,1923.000000,714.000000,,2.69327731092,637,.,.,460.000000,155.000000,,2.96774193548,36,.,.,28.000000,7.000000,,4.0,2029,.,.,1435.000000,552.000000,,2.59963768116
INDEL,*,AllTandemRepeats_ge101bp_slop5,PASS,*,DP,*,0.921397,0.946508,0.750925,0.933784,9,0,123639327.000000,540689.000000,0.000000,687,.,.,502.000000,155.000000,,3.23870967742,633,.,.,456.000000,154.000000,,2.96103896104,54,.,.,46.000000,1.000000,,46.0,2702,.,.,1923.000000,714.000000,,2.69327731092,637,.,.,460.000000,155.000000,,2.96774193548,36,.,.,28.000000,7.000000,,4.0,2029,.,.,1435.000000,552.000000,,2.59963768116
INDEL,*,AllTandemRepeats_le50bp_slop5,ALL,*,DP,*,0.972561,0.968639,0.246283,0.970596,34,0,29009467.000000,522914.000000,0.000000,1968,.,.,1449.000000,345.000000,,4.2,1914,.,.,1416.000000,342.000000,,4.14035087719,54,.,.,33.000000,3.000000,,11.0,2623,.,.,1963.000000,470.000000,,4.17659574468,1915,.,.,1416.000000,343.000000,,4.12827988338,62,.,.,29.000000,20.000000,,1.45,646,.,.,518.000000,107.000000,,4.84112149533
INDEL,*,AllTandemRepeats_le50bp_slop5,PASS,*,DP,*,0.972561,0.968639,0.246283,0.970596,34,0,29009467.000000,522914.000000,0.000000,1968,.,.,1449.000000,345.000000,,4.2,1914,.,.,1416.000000,342.000000,,4.14035087719,54,.,.,33.000000,3.000000,,11.0,2623,.,.,1963.000000,470.000000,,4.17659574468,1915,.,.,1416.000000,343.000000,,4.12827988338,62,.,.,29.000000,20.000000,,1.45,646,.,.,518.000000,107.000000,,4.84112149533
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,DP,*,0.96539,0.964855,0.755251,0.965122,68,0,252347427.000000,1970983.000000,0.000000,4883,.,.,3528.000000,1089.000000,,3.23966942149,4714,.,.,3396.000000,1084.000000,,3.13284132841,169,.,.,132.000000,5.000000,,26.4,19996,.,.,14433.000000,4678.000000,,3.0852928602,4722,.,.,3405.000000,1084.000000,,3.14114391144,172,.,.,106.000000,45.000000,,2.35555555556,15102,.,.,10922.000000,3549.000000,,3.07748661595
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,DP,*,0.96539,0.964855,0.755251,0.965122,68,0,252347427.000000,1970983.000000,0.000000,4883,.,.,3528.000000,1089.000000,,3.23966942149,4714,.,.,3396.000000,1084.000000,,3.13284132841,169,.,.,132.000000,5.000000,,26.4,19996,.,.,14433.000000,4678.000000,,3.0852928602,4722,.,.,3405.000000,1084.000000,,3.14114391144,172,.,.,106.000000,45.000000,,2.35555555556,15102,.,.,10922.000000,3549.000000,,3.07748661595
INDEL,*,BadPromoters,ALL,*,DP,*,1.0,1.0,0.5,1.0,0,0,197273.000000,5589.000000,0.000000,6,.,.,2.000000,2.000000,,1.0,6,.,.,2.000000,2.000000,,1.0,0,.,.,0.000000,0.000000,,,12,.,.,4.000000,5.000000,,0.8,6,.,.,2.000000,2.000000,,1.0,0,.,.,0.000000,0.000000,,,6,.,.,2.000000,3.000000,,0.666666666667
INDEL,*,BadPromoters,PASS,*,DP,*,1.0,1.0,0.5,1.0,0,0,197273.000000,5589.000000,0.000000,6,.,.,2.000000,2.000000,,1.0,6,.,.,2.000000,2.000000,,1.0,0,.,.,0.000000,0.000000,,,12,.,.,4.000000,5.000000,,0.8,6,.,.,2.000000,2.000000,,1.0,0,.,.,0.000000,0.000000,,,6,.,.,2.000000,3.000000,,0.666666666667
