Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,DP,*,0.947934,0.960191,0.631995,0.954023,122,106,64274167,56634842.000000,0.000000,7625,.,.,4445.000000,2960.000000,,1.5016891891891893,7228,.,.,4154.000000,2914.000000,,1.425531914893617,397,.,.,291.000000,46.000000,,6.326086956521739,20478,.,.,12606.000000,7260.000000,,1.7363636363636363,7236,.,.,4163.000000,2910.000000,,1.4305841924398626,300,.,.,217.000000,65.000000,,3.3384615384615386,12942,.,.,8226.000000,4285.000000,,1.9197199533255542
INDEL,*,*,PASS,*,DP,*,0.947934,0.960191,0.631995,0.954023,122,106,64274167,56634842.000000,0.000000,7625,.,.,4445.000000,2960.000000,,1.5016891891891893,7228,.,.,4154.000000,2914.000000,,1.425531914893617,397,.,.,291.000000,46.000000,,6.326086956521739,20478,.,.,12606.000000,7260.000000,,1.7363636363636363,7236,.,.,4163.000000,2910.000000,,1.4305841924398626,300,.,.,217.000000,65.000000,,3.3384615384615386,12942,.,.,8226.000000,4285.000000,,1.9197199533255542
INDEL,*,AllAutosomes,ALL,*,DP,*,0.947934,0.960191,0.631995,0.954023,122,106,2756349822.000000,56547514.000000,0.000000,7625,.,.,4445.000000,2960.000000,,1.5016891891891893,7228,.,.,4154.000000,2914.000000,,1.425531914893617,397,.,.,291.000000,46.000000,,6.326086956521739,20478,.,.,12606.000000,7260.000000,,1.7363636363636363,7236,.,.,4163.000000,2910.000000,,1.4305841924398626,300,.,.,217.000000,65.000000,,3.3384615384615386,12942,.,.,8226.000000,4285.000000,,1.9197199533255542
INDEL,*,AllAutosomes,PASS,*,DP,*,0.947934,0.960191,0.631995,0.954023,122,106,2756349822.000000,56547514.000000,0.000000,7625,.,.,4445.000000,2960.000000,,1.5016891891891893,7228,.,.,4154.000000,2914.000000,,1.425531914893617,397,.,.,291.000000,46.000000,,6.326086956521739,20478,.,.,12606.000000,7260.000000,,1.7363636363636363,7236,.,.,4163.000000,2910.000000,,1.4305841924398626,300,.,.,217.000000,65.000000,,3.3384615384615386,12942,.,.,8226.000000,4285.000000,,1.9197199533255542
INDEL,*,AllHomopolymers_ge7bp_imperfectge11bp_slop5,ALL,*,DP,*,0.9720850000000001,0.9712879999999999,0.8869100000000001,0.971686,8,8,83977437.000000,654063.000000,0.000000,1218,.,.,690.000000,519.000000,,1.329479768786127,1184,.,.,661.000000,514.000000,,1.2859922178988328,34,.,.,29.000000,5.000000,,5.8,10779,.,.,6716.000000,3676.000000,,1.8269858541893362,1184,.,.,661.000000,513.000000,,1.2884990253411306,35,.,.,30.000000,5.000000,,6.0,9560,.,.,6025.000000,3158.000000,,1.9078530715642812
INDEL,*,AllHomopolymers_ge7bp_imperfectge11bp_slop5,PASS,*,DP,*,0.9720850000000001,0.9712879999999999,0.8869100000000001,0.971686,8,8,83977437.000000,654063.000000,0.000000,1218,.,.,690.000000,519.000000,,1.329479768786127,1184,.,.,661.000000,514.000000,,1.2859922178988328,34,.,.,29.000000,5.000000,,5.8,10779,.,.,6716.000000,3676.000000,,1.8269858541893362,1184,.,.,661.000000,513.000000,,1.2884990253411306,35,.,.,30.000000,5.000000,,6.0,9560,.,.,6025.000000,3158.000000,,1.9078530715642812
INDEL,*,AllTandemRepeats,ALL,*,DP,*,0.8862399999999999,0.9164329999999999,0.458658,0.901083,111,94,168369990.000000,1384643.000000,0.000000,2936,.,.,1895.000000,834.000000,,2.2721822541966428,2602,.,.,1660.000000,795.000000,,2.088050314465409,334,.,.,235.000000,39.000000,,6.0256410256410255,5261,.,.,3476.000000,1569.000000,,2.2154238368387507,2610,.,.,1669.000000,792.000000,,2.1073232323232323,238,.,.,161.000000,59.000000,,2.7288135593220337,2413,.,.,1646.000000,718.000000,,2.2924791086350975
INDEL,*,AllTandemRepeats,PASS,*,DP,*,0.8862399999999999,0.9164329999999999,0.458658,0.901083,111,94,168369990.000000,1384643.000000,0.000000,2936,.,.,1895.000000,834.000000,,2.2721822541966428,2602,.,.,1660.000000,795.000000,,2.088050314465409,334,.,.,235.000000,39.000000,,6.0256410256410255,5261,.,.,3476.000000,1569.000000,,2.2154238368387507,2610,.,.,1669.000000,792.000000,,2.1073232323232323,238,.,.,161.000000,59.000000,,2.7288135593220337,2413,.,.,1646.000000,718.000000,,2.2924791086350975
INDEL,*,AllTandemRepeats_201to10000bp_slop5,ALL,*,DP,*,0.819876,0.8844879999999999,0.7538590000000001,0.850957,5,20,40176355.000000,406613.000000,0.000000,322,.,.,190.000000,121.000000,,1.5702479338842976,264,.,.,150.000000,107.000000,,1.4018691588785046,58,.,.,40.000000,14.000000,,2.857142857142857,1231,.,.,785.000000,431.000000,,1.8213457076566126,268,.,.,155.000000,107.000000,,1.4485981308411215,35,.,.,29.000000,5.000000,,5.8,928,.,.,601.000000,319.000000,,1.884012539184953
INDEL,*,AllTandemRepeats_201to10000bp_slop5,PASS,*,DP,*,0.819876,0.8844879999999999,0.7538590000000001,0.850957,5,20,40176355.000000,406613.000000,0.000000,322,.,.,190.000000,121.000000,,1.5702479338842976,264,.,.,150.000000,107.000000,,1.4018691588785046,58,.,.,40.000000,14.000000,,2.857142857142857,1231,.,.,785.000000,431.000000,,1.8213457076566126,268,.,.,155.000000,107.000000,,1.4485981308411215,35,.,.,29.000000,5.000000,,5.8,928,.,.,601.000000,319.000000,,1.884012539184953
INDEL,*,AllTandemRepeats_51to200bp_slop5,ALL,*,DP,*,0.86475,0.9136770000000001,0.444237,0.88854,33,34,25887961.000000,447520.000000,0.000000,939,.,.,634.000000,248.000000,,2.556451612903226,812,.,.,535.000000,238.000000,,2.2478991596638656,127,.,.,99.000000,10.000000,,9.9,1605,.,.,1101.000000,446.000000,,2.468609865470852,815,.,.,538.000000,239.000000,,2.2510460251046025,77,.,.,59.000000,17.000000,,3.4705882352941178,713,.,.,504.000000,190.000000,,2.6526315789473682
INDEL,*,AllTandemRepeats_51to200bp_slop5,PASS,*,DP,*,0.86475,0.9136770000000001,0.444237,0.88854,33,34,25887961.000000,447520.000000,0.000000,939,.,.,634.000000,248.000000,,2.556451612903226,812,.,.,535.000000,238.000000,,2.2478991596638656,127,.,.,99.000000,10.000000,,9.9,1605,.,.,1101.000000,446.000000,,2.468609865470852,815,.,.,538.000000,239.000000,,2.2510460251046025,77,.,.,59.000000,17.000000,,3.4705882352941178,713,.,.,504.000000,190.000000,,2.6526315789473682
INDEL,*,AllTandemRepeats_ge10001bp_slop5,ALL,*,DP,*,0.0,,1.0,,0,0,73296207.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,330,.,.,229.000000,95.000000,,2.4105263157894736,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,330,.,.,229.000000,95.000000,,2.4105263157894736
INDEL,*,AllTandemRepeats_ge10001bp_slop5,PASS,*,DP,*,0.0,,1.0,,0,0,73296207.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,330,.,.,229.000000,95.000000,,2.4105263157894736,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,330,.,.,229.000000,95.000000,,2.4105263157894736
INDEL,*,AllTandemRepeats_ge101bp_slop5,ALL,*,DP,*,0.8338610000000001,0.89899,0.731949,0.865201,14,33,123639327.000000,589207.000000,0.000000,632,.,.,385.000000,216.000000,,1.7824074074074074,527,.,.,304.000000,199.000000,,1.5276381909547738,105,.,.,81.000000,17.000000,,4.764705882352941,2216,.,.,1454.000000,717.000000,,2.0278940027894,534,.,.,312.000000,199.000000,,1.5678391959798994,60,.,.,50.000000,9.000000,,5.555555555555555,1622,.,.,1092.000000,509.000000,,2.1453831041257367
INDEL,*,AllTandemRepeats_ge101bp_slop5,PASS,*,DP,*,0.8338610000000001,0.89899,0.731949,0.865201,14,33,123639327.000000,589207.000000,0.000000,632,.,.,385.000000,216.000000,,1.7824074074074074,527,.,.,304.000000,199.000000,,1.5276381909547738,105,.,.,81.000000,17.000000,,4.764705882352941,2216,.,.,1454.000000,717.000000,,2.0278940027894,534,.,.,312.000000,199.000000,,1.5678391959798994,60,.,.,50.000000,9.000000,,5.555555555555555,1622,.,.,1092.000000,509.000000,,2.1453831041257367
INDEL,*,AllTandemRepeats_le50bp_slop5,ALL,*,DP,*,0.9110450000000001,0.923775,0.210979,0.917366,73,40,29009467.000000,530510.000000,0.000000,1675,.,.,1071.000000,465.000000,,2.303225806451613,1526,.,.,975.000000,450.000000,,2.1666666666666665,149,.,.,96.000000,15.000000,,6.4,2095,.,.,1361.000000,597.000000,,2.2797319932998326,1527,.,.,976.000000,446.000000,,2.188340807174888,126,.,.,73.000000,37.000000,,1.972972972972973,442,.,.,312.000000,114.000000,,2.736842105263158
INDEL,*,AllTandemRepeats_le50bp_slop5,PASS,*,DP,*,0.9110450000000001,0.923775,0.210979,0.917366,73,40,29009467.000000,530510.000000,0.000000,1675,.,.,1071.000000,465.000000,,2.303225806451613,1526,.,.,975.000000,450.000000,,2.1666666666666665,149,.,.,96.000000,15.000000,,6.4,2095,.,.,1361.000000,597.000000,,2.2797319932998326,1527,.,.,976.000000,446.000000,,2.188340807174888,126,.,.,73.000000,37.000000,,1.972972972972973,442,.,.,312.000000,114.000000,,2.736842105263158
