depth	G4	notinrefseq_cds	refseq_cds	gc15_slop50	gc15to20_slop50	gc20to25_slop50	gc25to30_slop50	gc30to55_slop50	gc55to60_slop50	gc60to65_slop50	gc65to70_slop50	gc70to75_slop50	gc75to80_slop50	gc80to85_slop50	gc85_slop50	gclt25orgt65_slop50	gclt30orgt55_slop50	AllHomopolymers_ge7bp_imperfectge11bp_slop5	AllTandemRepeats	AllTandemRepeats_201to10000bp_slop5	AllTandemRepeats_51to200bp_slop5	AllTandemRepeats_ge10001bp_slop5	AllTandemRepeats_ge101bp_slop5	AllTandemRepeats_le50bp_slop5	AllTandemRepeatsandHomopolymers_slop5	SimpleRepeat_diTR_10to49_slop5	SimpleRepeat_diTR_50to149_slop5	SimpleRepeat_diTR_ge150_slop5	SimpleRepeat_homopolymer_4to6_AT_slop5	SimpleRepeat_homopolymer_4to6_GC_slop5	SimpleRepeat_homopolymer_4to6_slop5	SimpleRepeat_homopolymer_7to11_AT_slop5	SimpleRepeat_homopolymer_7to11_GC_slop5	SimpleRepeat_homopolymer_7to11_slop5	SimpleRepeat_homopolymer_ge12_AT_slop5	SimpleRepeat_homopolymer_ge12_GC_slop5	SimpleRepeat_homopolymer_ge12_slop5	SimpleRepeat_homopolymer_ge21_AT_slop5	SimpleRepeat_homopolymer_ge21_GC_slop5	SimpleRepeat_homopolymer_ge21_slop5	SimpleRepeat_imperfecthomopolge11_AT_slop5	SimpleRepeat_imperfecthomopolge11_GC_slop5	SimpleRepeat_imperfecthomopolge11_slop5	SimpleRepeat_imperfecthomopolge21_AT_slop5	SimpleRepeat_imperfecthomopolge21_GC_slop5	SimpleRepeat_imperfecthomopolge21_slop5	SimpleRepeat_quadTR_19to49_slop5	SimpleRepeat_quadTR_50to149_slop5	SimpleRepeat_quadTR_ge150_slop5	SimpleRepeat_triTR_14to49_slop5	SimpleRepeat_triTR_50to149_slop5	SimpleRepeat_triTR_ge150_slop5	notinAllHomopolymers_ge7bp_imperfectge11bp_slop5	notinAllTandemRepeatsandHomopolymers_slop5	notinallTandemRepeats	notinsatellites_slop5	satellites_slop5	lowmappabilityall	nonunique_l100_m2_e1	nonunique_l250_m0_e0	notinlowmappabilityall	KIR	L1H_gt500	LD_discordant_haplotypes_slop5bp	MHC	VDJ	allOtherDifficultregions	collapsed_duplication_FP_regions	contigs_lt500kb	false_duplications_correct_copy	false_duplications_incorrect_copy	gaps_slop15kb	gnomAD_InbreedingCoeff_slop1bp_merge1000bp	population_CNV_FP_regions	notinsegdups	notinsegdups_gt10kb	segdups	segdups_gt10kb	alldifficultregions	alllowmapandsegdupregions	notinalldifficultregions	notinalllowmapandsegdupregions	AllAutosomes	chrX_PAR	chrX_XTR	chrX_ampliconic	chrX_nonPAR	chrY_PAR	chrY_XTR	chrY_ampliconic	chrY_nonPAR
0	0.06734160955006659	0.05761846545971554	0.0311543060085941	0.1215166371524887	0.03604658262683417	0.029698277649619173	0.028310756998210753	0.06724744678532071	0.032859225235312796	0.04900747584642166	0.07763200913665465	0.0777464046682192	0.07171677370454194	0.11986461903013948	0.08578309891215355	0.046873790946387564	0.0356653138857849	0.03691512995329924	0.42579513130576296	0.16519047086277489	0.04255198004972273	0.8611325685652464	0.568378514386446	0.02878494803093073	0.2963817023583125	0.04389269287602239	0.055310703225126004	0.7465224111282844	0.05294390411598911	0.044975383137142895	0.0513778344680329	0.03562355736906367	0.08693825282011011	0.037474390604081975	0.028194665096713267	0.09706857376988118	0.02849658104371261	0.0347059111979253	0.12066856909906237	0.03474775375432581	0.029720944194205505	0.12793040228383687	0.035349006548431365	0.030832591211869768	0.21441495539770708	0.03294717673396323	0.04327078588755356	0.07350336960870361	0.47620335316387236	0.04346194875724584	0.1433559072248149	0.7860802732707088	0.05791068950706749	0.03482031181808562	0.03488390003252986	0.03660395515647696	0.8398666873028815	0.6020159153303909	0.6020244291188945	0.9625457102100226	0.00683910826572776	0.03031417090742568	0.7762568451093849	0.010041569025986945	0.037017782916481994	0.2402430560258546	0.5167302669390984	0.36871043896143624	0.6508355504666975	0.17657206342793658	0.9999948580883813	0.6177361055465082	0.3635146741290533	0.4696038669517756	0.03390593770796318	0.034300007872651445	0.44555511044613455	0.4790508723588021	0.2538428004522762	0.5009111946577371	0.004151112717182616	0.00573044216341078	0.04881212679396977	0.08942120969146634	0.22339557542641672	0.5937379608729569	0.06502703057127457	1.0	0.9954044166293723	0.9993820283003974	0.994840406025362
1	0.022488713148131573	0.007074764451115892	0.004433505599200853	0.044842819324014384	0.008667594522455838	0.005506978163469092	0.005145191056435103	0.007100509153526944	0.005856363605652554	0.009483868372452816	0.01702123329071071	0.017925389709488135	0.01987806332643459	0.03855091365206998	0.0322039996622279	0.010587238243844064	0.006920827398273382	0.009756013392025765	0.015324607431526248	0.036736732339207975	0.015087012839674781	0.00691387754894329	0.017745162912444518	0.007132947323713324	0.013471462897063738	0.018142123339793575	0.04134719563292818	0.03323029366306028	0.006612503948475141	0.00984638099519431	0.007364817088673116	0.006327580517550498	0.03436780502519163	0.007326237970324885	0.01090329571405678	0.07897840851243466	0.011199802707548884	0.017928885996553155	0.11740725642070933	0.017977307362605964	0.008108958071683606	0.07824055442195282	0.012121756804588962	0.012310436698957776	0.15685468896913	0.013974682585574813	0.023213632648424014	0.06906689906060333	0.1343969713358572	0.015777753503686546	0.06859889820695463	0.0631938514090521	0.006964084072345535	0.006439333307955578	0.006540011147660878	0.007049067800091702	0.006851350214766925	0.03717384192401532	0.037173582167098526	0.006894881876145784	0.0042522276904108985	0.010706707171558858	0.03927601050328547	0.0071044809411343795	0.005101641526291722	0.02282144136844918	0.018701824352876855	0.031213155692984256	0.019771743299744574	0.007158064841935158	0.0	0.018527126779641204	0.039726446503296126	0.03470000989417748	0.0059338551009378016	0.005987256004842622	0.02545951241716246	0.026412138415534338	0.019847879407609376	0.03184522411217904	0.0035807304403974827	0.004160219327966785	0.006742499029573468	0.02841336859212896	0.0643264964529611	0.009138076768022673	0.013021075781986826	0.0	0.0018786347274259499	0.00032938670717039904	0.001221296548418885
2	0.026732638029599378	0.012214596021027768	0.008743357369502248	0.04895965586927347	0.015633778552279494	0.011338310328214404	0.011056192907069254	0.012143499178341259	0.010704251112429952	0.013829754064299255	0.01995056998741388	0.022111313775443134	0.027630862424351667	0.04352389561937718	0.04861348224677189	0.015894843641905344	0.012240834560411229	0.016083903584721216	0.016992600641004968	0.038108808029001136	0.023739799360791684	0.004317303895411668	0.01743209909254844	0.01375254498815852	0.01669019989651014	0.027426367329383	0.06263603153854266	0.025502318392581144	0.01194843227583161	0.014506217772866354	0.012540835815628235	0.012233208558971106	0.04070620042998018	0.013233081981901372	0.019923063450233213	0.10240746948759018	0.020281786083239512	0.0313767912954106	0.10680799021606197	0.03141350763564784	0.015321015368098902	0.07845982221657383	0.018925794745286526	0.022185732664978898	0.14279844820366142	0.023573856295780578	0.030557781624299375	0.08829677367332318	0.1149269875608437	0.02079219787914535	0.07598512228499246	0.05081127241673783	0.012058958267424025	0.011749296719272214	0.01188087373126115	0.01237630134398951	0.004533173118477714	0.03424654072119636	0.034247467429219164	0.004815039797941422	0.010128962636842419	0.011712879652741497	0.029279094337970032	0.013136931172683811	0.007320708725400393	0.030412170778688002	0.017382135131301085	0.0299622739248917	0.01704418166458434	0.009036662963337036	0.0	0.01555520839005459	0.03501002219837293	0.029571030932632397	0.011365329089803405	0.011408790252577612	0.025591137460438174	0.026201707636028644	0.022613378670318048	0.030669469548745148	0.009350485093392574	0.010023590662228833	0.011500673734148394	0.04663992986628241	0.066609318167081	0.013011680868177987	0.025555791005234692	0.0	0.0008333152007395745	7.914302456755308e-05	0.0005370540196636064
3	0.03319478416966335	0.021025021732938284	0.016030720860029768	0.05653296062058784	0.02588653379075012	0.021155379825524154	0.021024738619051075	0.02081878108703599	0.018899757402154445	0.021318870039172908	0.025971640307863295	0.030817832282477402	0.0394703197112664	0.05549317876042522	0.06537175123819175	0.02502749873947546	0.021289181000666464	0.02600225820180723	0.021747082125502293	0.04361525578913269	0.034980931870223386	0.004196301726772846	0.020135276213530343	0.023995477062711976	0.02316314087085976	0.04037389269429181	0.07794826886383902	0.08268933539412673	0.021131175069023216	0.02244358686245686	0.021433979346080233	0.021776673004417556	0.05180966225462997	0.02282619272927646	0.032994535184638796	0.10993158763859401	0.03332798926927928	0.04802000846921432	0.10395434162250305	0.04804723465726895	0.026341901590404976	0.07492015749625205	0.029112340991454846	0.035941026899639086	0.10982672661046278	0.03679159814904095	0.03907771741962562	0.09774811515905235	0.13115197404002163	0.030474793477470525	0.08640654058037124	0.04184457728437233	0.020818468576609486	0.020760183867785692	0.020919307059093378	0.021394228907259658	0.00481247315636497	0.033519394438265133	0.03352032195938129	0.0037305118170915044	0.019803709168212398	0.01515708545371284	0.024129333715315223	0.022565188209024086	0.013834868003726745	0.04171371367427176	0.019200448804897196	0.03131633534810221	0.017351692995005857	0.01249085950914049	0.0	0.016251955632944855	0.033670476681433796	0.028413186273025987	0.02055501463221328	0.020587253919999778	0.02779776122240285	0.027923279303426175	0.028394589384361714	0.03182553524849768	0.018957702642911516	0.01970420144059181	0.019722231396795468	0.07553481998004817	0.06992987093322088	0.022310119607030117	0.04572027229144015	0.0	0.0005133974384231818	8.180846321879191e-05	0.00038144627708264336
4	0.041837054785231455	0.03325522349155484	0.026568943804580775	0.06268407861739764	0.03901199985524667	0.03463283427422816	0.034813904843639866	0.03288922972490139	0.030298551541541482	0.03188510201285211	0.03490120662493462	0.04281974293990538	0.05510586479654928	0.06874547661242518	0.08447056059154175	0.03743539298477065	0.03380464568195622	0.039558697177195346	0.0280636769058429	0.05009409141272273	0.04854843531323305	0.005009836320725301	0.023790423899670694	0.03752088930141322	0.03188904715878082	0.05525503089745545	0.08829385688763036	0.02936630602782071	0.03391381897112123	0.03344820906350426	0.033799870307050985	0.035379697392600516	0.06023729607803088	0.036239656445202446	0.04918957981207535	0.11360673445822625	0.04946920687965842	0.06704099826347357	0.09539339584182634	0.06705479886973363	0.041015005550919685	0.07271375079724829	0.04281876861637922	0.05227319402017404	0.08458238189676287	0.052645569306822536	0.048343405805368195	0.10085255907282263	0.051379123850730124	0.04329760061675375	0.09228393978736096	0.009393680614859094	0.03298929701386979	0.03329845504211013	0.03348848472185514	0.033899200342715846	0.005892847472345893	0.0333600265705528	0.033359789611805836	0.00314349522045191	0.033160337498188835	0.020000902975303627	0.02064861498111075	0.03592361104848652	0.025609604718344444	0.054369512636097704	0.022639291947559415	0.03285092997682138	0.01898110914415019	0.021108978891021108	0.0	0.018755983458298417	0.03345840538201329	0.02813551679909353	0.033289703736353114	0.03330619733096013	0.03131214328552505	0.030814226245556162	0.03628975379983274	0.033876572492608406	0.03233539711440944	0.0330959601924924	0.031345978406074754	0.10291892732263958	0.07380416016092411	0.030358246087263747	0.07019740297148598	0.0	0.0006054326035013352	5.4333941736791627e-05	0.00028536547681038484
5	0.051775632886060706	0.047738814534750505	0.03956489984799727	0.06837885984068566	0.054351870468686406	0.050329473898168324	0.05088406531096489	0.04721087682983242	0.0442139225732639	0.04456038549024943	0.046154468000997026	0.055926676485699836	0.0705560164457125	0.07940093111971247	0.09804753040866752	0.05178608917415041	0.04858584269994058	0.054747372201892755	0.03493203866080885	0.05705858582741018	0.06222197259954154	0.006075198406924385	0.027719004002666563	0.05284523152390218	0.041526284315948264	0.06954982038602034	0.09618808068088479	0.07264296754250386	0.04891717085129863	0.046738034464454105	0.04840866731790795	0.05090816872646172	0.07014809995620057	0.0515680667892443	0.06640955449433197	0.10316484771731169	0.06656755890004443	0.08422818278970678	0.09661638809620872	0.08423421278216973	0.05696830937078009	0.06963184192007983	0.05768438837787815	0.06859661224237948	0.07069996760506625	0.06862125180063593	0.0586776071881442	0.0962656734100192	0.047593293672255274	0.056957089198542185	0.09089792624302608	0.013663535439795047	0.04743426422640707	0.04821897017605545	0.048417139850557914	0.04870889679408921	0.007378861142926157	0.033216783132488485	0.03321528719149779	0.0026369750492119	0.048980256462758776	0.025702547035338582	0.018739313782916284	0.051752949648788016	0.04126358474513017	0.06333050538234185	0.0270039000338274	0.0351976121208522	0.020913868145290976	0.03271588728411272	0.0	0.021889867311837796	0.033638913612471594	0.028943767187744954	0.04837759109772466	0.04837388389973725	0.0354661021195066	0.03425690198566717	0.045253391799143956	0.03623833984783718	0.04829000727849381	0.048969649202107404	0.0454848575457778	0.1200197790903058	0.07691082230564293	0.03933979423834133	0.09281005618742101	0.0	0.0004660566666098185	4.0904231609395955e-05	0.000190384676893511
6	0.06189490466758901	0.062426638131571864	0.05400802361668307	0.07191678981788203	0.0695232347953466	0.06655726015885675	0.06706863563766446	0.061726191838306035	0.05860163897610843	0.05806124142020993	0.05744473810306343	0.06882844844066165	0.0821292922010145	0.08493087474178895	0.10341333392076307	0.06618791282814208	0.06364033575245637	0.06950295470436899	0.04147161260744863	0.06291795261167918	0.07426421107479264	0.007619330151695298	0.03126274700605577	0.06803792706705021	0.0508000226211936	0.08128904124658459	0.10271759453093289	0.010046367851622875	0.06412072933008581	0.06049376535852944	0.06327905473142637	0.06663895830144252	0.07517919087369013	0.06691909263629381	0.08083768978794624	0.08888640568157832	0.08087229734772157	0.0959957451429572	0.07623318385650224	0.09598612566276153	0.07221733988288985	0.06772001503102305	0.07195431998956792	0.08233975011304498	0.05160275910021096	0.08198573910915677	0.06870641854255015	0.08881779922528463	0.015413737155219038	0.06932337372534736	0.08405558089757535	0.0034158838599487617	0.06211715500419652	0.06341297868514374	0.06359783993613309	0.06373309772494479	0.009243046800442264	0.032661966942548575	0.03266199148687493	0.0023309003893824095	0.0650773001704385	0.03806040904781254	0.016667913582071668	0.06851352865947574	0.06070205009217277	0.07087013466218299	0.03194976803037849	0.03849873726567177	0.02317004753212692	0.048454095545904456	0.0	0.024986347755334377	0.034677316405869726	0.030661830115617305	0.06370910313790398	0.06368443730468394	0.039425700812411126	0.03747578427565352	0.05387144121754922	0.03817077941099902	0.06461597768394299	0.06513741339376539	0.060282882337276855	0.12374095437709541	0.08002261595927261	0.04414937557859685	0.10793552574660649	0.0	0.00018877500313154794	3.3830567496492897e-06	0.0001455808162645714
7	0.07069831214224408	0.0751822516721053	0.06741398664795833	0.07596668439843028	0.08113200455553812	0.0802485727007439	0.08094596752982022	0.07429737281214019	0.07187620765708115	0.07025331470083117	0.06774162061239838	0.07895252413214272	0.08954102834861892	0.08870365441569292	0.10035869928370286	0.07827282185517147	0.07682175316497042	0.08135544789250951	0.046481513718685856	0.06642645904537632	0.08331281864956457	0.00908858762636926	0.03379542821354892	0.08046893795049734	0.058087035696226856	0.08839920075920231	0.09435355256050906	0.0	0.07708012568975517	0.07269003931198757	0.07606422356635248	0.07962050084639205	0.0795068195213006	0.07959849649083113	0.09096057134594504	0.06975329335369564	0.09086622408512794	0.1013949189081662	0.05055034651447207	0.1013701701749373	0.08392029334902149	0.06542574431413897	0.08285984829316655	0.09136898156376888	0.04276131254790105	0.09080931028907763	0.07820355548169232	0.07951377151168741	0.021092482422931314	0.08001563133425124	0.06961647777114986	0.008966695132365499	0.07490717673406616	0.07669132202674481	0.07683290158955346	0.07678629250830421	0.011046085180378322	0.031220415609283653	0.03122070451928175	0.0021158548164051222	0.07915666511563363	0.04529711112401076	0.014794195091776015	0.08306701268566606	0.08159347131518661	0.07215092146464056	0.03618641982746798	0.04012715426518743	0.02470986051659303	0.06273790526209473	0.0	0.028082132321434815	0.0353000771927703	0.03153956564109074	0.07707580752987518	0.07702665717134571	0.04217738517906927	0.03962624564177881	0.06062586915586514	0.03893171686508581	0.07900444346040834	0.07929616494930063	0.07358674954140128	0.11210058545531494	0.07759587874524344	0.04608649707483154	0.11333455985713807	0.0	4.734077181336327e-05	2.8704723936418214e-06	0.00012057696203255696
8	0.07653740679619651	0.08402884910291238	0.07849025426044577	0.07325789193907489	0.0884058592681881	0.08926465992876859	0.09011316216929283	0.08305569829126686	0.08196766782601747	0.0793634272337442	0.07575084212051687	0.08414873545316116	0.09204793630239747	0.08415397871297177	0.09549404676675001	0.08601765774531688	0.08594322637885123	0.08845241371203078	0.04930707663521272	0.06747189982764738	0.08780780378956844	0.010149420146665979	0.03494834616820585	0.08872889667362727	0.062334057402534955	0.09139323901634995	0.08717204613806262	0.0	0.08583569454286932	0.08170123696992701	0.08486974830233089	0.08807189217713554	0.07853232392433997	0.08772639981377359	0.09512358318613195	0.056803367229113125	0.09495756756811269	0.09945311428257754	0.034243783122706886	0.09942137346413944	0.09067549248386751	0.0608579921346014	0.08896984634052572	0.09450163972773429	0.03307443723679116	0.09379374143377957	0.0817285685916332	0.06766354154713576	0.004326663061114116	0.0847120039549799	0.06798484157338854	0.0012809564474807857	0.08383207253835076	0.0859990442950695	0.08607351633537422	0.08585868863942035	0.012367334299502618	0.028887612845894733	0.028888633408434755	0.0019155325595435163	0.08906751559307041	0.04967009152299685	0.013050642404734143	0.09211081098341012	0.09908145103255027	0.06711868733820857	0.038643335461609404	0.040570440014442655	0.024838089031815433	0.0750954449045551	0.0	0.029221022664900762	0.03478346293287141	0.03150251894915703	0.08640972071160577	0.08634299204003358	0.043397195681197924	0.04036563138239989	0.06441086705560477	0.038365780612301024	0.08925314388949446	0.0892662167557078	0.08333653267324644	0.09298619638304641	0.06884688930262327	0.04555813313110262	0.10820694442912349	0.0	3.2050584643829795e-05	1.8453036816268853e-06	9.041156767142956e-05
9	0.07902192716987606	0.08795660437079757	0.08598102844564127	0.06889591580473386	0.09077409915854444	0.09305851205897848	0.09375065180751176	0.0869206786234228	0.08764276094073667	0.08453908805190069	0.07992239347557087	0.08454345312316328	0.08853555952806033	0.0765645095251613	0.07974725835527016	0.08893482736829302	0.090139726010024	0.09056699360805688	0.04985095621850426	0.06642994368204881	0.08744941326201781	0.0109171952103879	0.03491260511309642	0.09170854466233386	0.06340064248009947	0.0879148595899056	0.07332040001661942	0.0	0.0895296185762575	0.08624130665771891	0.0887548772431492	0.09161034892872377	0.07467552524533524	0.09100546698653744	0.09322888609867985	0.047404427558634735	0.09302994313069082	0.09139048577277213	0.034243783122706886	0.09136266946058355	0.09216461061810019	0.055113489715595154	0.09004820697327132	0.09184722397456005	0.025110024256694296	0.09107885947829988	0.08374001144567085	0.055600869616456966	0.0027041644131963224	0.0876108395401041	0.051826379872978	0.012809564474807857	0.08785600078164708	0.09024139883968658	0.09025128227042696	0.08990717131947848	0.01334382697810749	0.02597512618883013	0.025975566846498554	0.001786092873266233	0.0936744557916031	0.05904813503350683	0.010719214723090502	0.09641476122793434	0.1084319121579332	0.06060352332320771	0.03927511070393318	0.039349626319969716	0.024057780464980385	0.08401979598020402	0.0	0.028757655303742656	0.033954470383899316	0.030761765826053132	0.09064722431051392	0.09057336425371844	0.04291721944430368	0.03954973134545003	0.06500341093755962	0.03653021523055193	0.09413579291948185	0.09391046860039975	0.08826700154607589	0.07038923349547196	0.0584478864947549	0.04108141468647318	0.09586230182843512	0.0	1.2643808620960376e-05	1.8453036816268853e-06	8.664618183953567e-05
