Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,DP,*,0.8791959999999999,0.9536709999999999,0.716979,0.9149200000000001,7397,1550,3019006526,1649388765.000000,0.000000,242137,.,.,132998.000000,102499.000000,,1.2975541224792437,212886,.,.,111687.000000,98189.000000,,1.137469573984866,29251,.,.,21311.000000,4310.000000,,4.944547563805105,789493,.,.,373439.000000,402318.000000,,0.9282184739434974,213091,.,.,111770.000000,98211.000000,,1.138059891458187,10352,.,.,6728.000000,3349.000000,,2.0089578978799643,566050,.,.,254941.000000,300758.000000,,0.847661575086947
INDEL,*,*,PASS,*,DP,*,0.8791959999999999,0.9536709999999999,0.716979,0.9149200000000001,7397,1550,3019006526,1649388765.000000,0.000000,242137,.,.,132998.000000,102499.000000,,1.2975541224792437,212886,.,.,111687.000000,98189.000000,,1.137469573984866,29251,.,.,21311.000000,4310.000000,,4.944547563805105,789493,.,.,373439.000000,402318.000000,,0.9282184739434974,213091,.,.,111770.000000,98211.000000,,1.138059891458187,10352,.,.,6728.000000,3349.000000,,2.0089578978799643,566050,.,.,254941.000000,300758.000000,,0.847661575086947
INDEL,*,AllAutosomes,ALL,*,DP,*,0.8791959999999999,0.9536709999999999,0.708655,0.9149200000000001,7397,1550,2756349822.000000,1646723427.000000,0.000000,242137,.,.,132998.000000,102499.000000,,1.2975541224792437,212886,.,.,111687.000000,98189.000000,,1.137469573984866,29251,.,.,21311.000000,4310.000000,,4.944547563805105,766937,.,.,370480.000000,382817.000000,,0.9677731135242166,213091,.,.,111770.000000,98211.000000,,1.138059891458187,10352,.,.,6728.000000,3349.000000,,2.0089578978799643,543494,.,.,251982.000000,281257.000000,,0.8959137017034243
INDEL,*,AllAutosomes,PASS,*,DP,*,0.8791959999999999,0.9536709999999999,0.708655,0.9149200000000001,7397,1550,2756349822.000000,1646723427.000000,0.000000,242137,.,.,132998.000000,102499.000000,,1.2975541224792437,212886,.,.,111687.000000,98189.000000,,1.137469573984866,29251,.,.,21311.000000,4310.000000,,4.944547563805105,766937,.,.,370480.000000,382817.000000,,0.9677731135242166,213091,.,.,111770.000000,98211.000000,,1.138059891458187,10352,.,.,6728.000000,3349.000000,,2.0089578978799643,543494,.,.,251982.000000,281257.000000,,0.8959137017034243
INDEL,*,AllHomopolymers_ge7bp_imperfectge11bp_slop5,ALL,*,DP,*,0.9339799999999999,0.964778,0.8995270000000001,0.9491290000000001,897,147,83977437.000000,22032627.000000,0.000000,43214,.,.,23115.000000,19562.000000,,1.1816276454350272,40361,.,.,20921.000000,19078.000000,,1.0966034175490094,2853,.,.,2194.000000,484.000000,,4.533057851239669,416520,.,.,201070.000000,206408.000000,,0.9741385992790977,40375,.,.,20932.000000,19028.000000,,1.1000630649569056,1474,.,.,1009.000000,427.000000,,2.3629976580796255,374671,.,.,179129.000000,186953.000000,,0.9581499093355015
INDEL,*,AllHomopolymers_ge7bp_imperfectge11bp_slop5,PASS,*,DP,*,0.9339799999999999,0.964778,0.8995270000000001,0.9491290000000001,897,147,83977437.000000,22032627.000000,0.000000,43214,.,.,23115.000000,19562.000000,,1.1816276454350272,40361,.,.,20921.000000,19078.000000,,1.0966034175490094,2853,.,.,2194.000000,484.000000,,4.533057851239669,416520,.,.,201070.000000,206408.000000,,0.9741385992790977,40375,.,.,20932.000000,19028.000000,,1.1000630649569056,1474,.,.,1009.000000,427.000000,,2.3629976580796255,374671,.,.,179129.000000,186953.000000,,0.9581499093355015
INDEL,*,AllTandemRepeats,ALL,*,DP,*,0.753521,0.89861,0.584964,0.8196950000000001,5712,1226,168369990.000000,37177703.000000,0.000000,86344,.,.,51308.000000,29041.000000,,1.7667435694363143,65062,.,.,36970.000000,25518.000000,,1.4487812524492516,21282,.,.,14338.000000,3523.000000,,4.069826852114675,174903,.,.,90769.000000,79608.000000,,1.1401994774394533,65231,.,.,37028.000000,25583.000000,,1.4473673924090216,7360,.,.,4965.000000,2162.000000,,2.2964847363552265,102312,.,.,48776.000000,51863.000000,,0.9404777972735862
INDEL,*,AllTandemRepeats,PASS,*,DP,*,0.753521,0.89861,0.584964,0.8196950000000001,5712,1226,168369990.000000,37177703.000000,0.000000,86344,.,.,51308.000000,29041.000000,,1.7667435694363143,65062,.,.,36970.000000,25518.000000,,1.4487812524492516,21282,.,.,14338.000000,3523.000000,,4.069826852114675,174903,.,.,90769.000000,79608.000000,,1.1401994774394533,65231,.,.,37028.000000,25583.000000,,1.4473673924090216,7360,.,.,4965.000000,2162.000000,,2.2964847363552265,102312,.,.,48776.000000,51863.000000,,0.9404777972735862
INDEL,*,AllTandemRepeats_201to10000bp_slop5,ALL,*,DP,*,0.69976,0.89212,0.821739,0.7843180000000001,364,161,40176355.000000,8854581.000000,0.000000,7091,.,.,3898.000000,2961.000000,,1.3164471462343803,4962,.,.,2493.000000,2398.000000,,1.0396163469557964,2129,.,.,1405.000000,563.000000,,2.4955595026642983,31252,.,.,14945.000000,16023.000000,,0.9327217125382263,4970,.,.,2495.000000,2402.000000,,1.0387177352206494,601,.,.,414.000000,175.000000,,2.3657142857142857,25681,.,.,12036.000000,13446.000000,,0.895136099955377
INDEL,*,AllTandemRepeats_201to10000bp_slop5,PASS,*,DP,*,0.69976,0.89212,0.821739,0.7843180000000001,364,161,40176355.000000,8854581.000000,0.000000,7091,.,.,3898.000000,2961.000000,,1.3164471462343803,4962,.,.,2493.000000,2398.000000,,1.0396163469557964,2129,.,.,1405.000000,563.000000,,2.4955595026642983,31252,.,.,14945.000000,16023.000000,,0.9327217125382263,4970,.,.,2495.000000,2402.000000,,1.0387177352206494,601,.,.,414.000000,175.000000,,2.3657142857142857,25681,.,.,12036.000000,13446.000000,,0.895136099955377
