Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrY
aviti_hq | KMS12BM.md	49.78000000000003	45.710000000000015	58.91000000000001	33.269999999999975	37.779999999999994	59.35000000000002	75.81000000000003	72.17000000000002	54.20999999999998	42.110000000000014	68.37000000000002	62.01000000000004	41.32000000000001	50.1	47.89999999999997	46.09999999999998	48.609999999999985	58.830000000000005	48.02000000000005	64.71999999999998	48.899999999999984	35.11999999999998	28.939999999999984	0.6900000000000004
aviti_hq | MM1S.md	57.520000000000024	52.19000000000003	60.14000000000001	51.76	51.85999999999996	48.260000000000026	61.19000000000002	45.49000000000001	43.470000000000006	52.67000000000003	52.960000000000036	48.61000000000001	31.480000000000018	22.100000000000005	45.339999999999975	43.58999999999997	53.04	51.62000000000001	54.53000000000007	52.49999999999997	55.15000000000001	40.339999999999954	38.63	0.7200000000000004
aviti_hq | OPM2.md	63.660000000000025	46.480000000000025	46.62999999999998	60.15000000000003	42.029999999999994	46.620000000000005	49.65000000000002	48.81	40.61000000000001	56.190000000000005	62.61000000000004	55.57000000000002	40.150000000000034	33.21	39.839999999999975	57.26999999999997	50.90999999999999	59.489999999999995	60.17000000000006	57.00999999999999	39.35999999999998	36.13999999999997	38.18	0.8100000000000005
aviti_hq | REH.md	45.35000000000004	47.10000000000002	44.05999999999999	46.07	45.96999999999996	47.25	47.290000000000006	46.61	40.74	47.560000000000024	46.820000000000014	47.35	41.490000000000016	39.330000000000005	39.67999999999998	65.45999999999998	48.39999999999999	46.22000000000002	46.480000000000054	49.36999999999999	47.289999999999985	38.06999999999998	22.549999999999994	0.7800000000000005
aviti_ngi | KMS12BM.md	17.090000000000003	15.64	20.150000000000002	11.39	12.930000000000001	20.269999999999996	26.039999999999992	24.64999999999999	18.66999999999999	14.450000000000003	23.489999999999995	21.26	14.129999999999997	17.220000000000002	16.5	16.040000000000003	16.93	20.169999999999998	17.039999999999996	22.309999999999995	16.769999999999996	12.280000000000003	9.98	0.24
aviti_ngi | MM1S.md	20.370000000000008	18.4	21.200000000000003	18.18	18.25	16.999999999999996	21.65	16.050000000000004	15.449999999999996	18.58	18.669999999999998	17.18	11.11	7.82	16.1	15.580000000000002	19.009999999999998	18.25	19.919999999999995	18.639999999999997	19.479999999999997	14.510000000000003	13.72	0.24
aviti_ngi | OPM2.md	25.310000000000006	18.43	18.48	23.809999999999995	16.64	18.46	19.78	19.370000000000005	16.219999999999995	22.309999999999995	24.89999999999999	22.119999999999997	15.929999999999996	13.250000000000002	15.880000000000003	23.039999999999992	20.539999999999996	23.579999999999995	24.699999999999992	22.779999999999994	15.68	14.640000000000004	15.260000000000002	0.31000000000000005
aviti_ngi | REH.md	15.2	15.700000000000003	14.700000000000001	15.329999999999998	15.290000000000003	15.71	15.850000000000001	15.55	13.729999999999997	15.920000000000002	15.670000000000002	15.880000000000003	13.839999999999996	13.180000000000001	13.330000000000002	22.229999999999993	16.51	15.410000000000004	16.199999999999996	16.650000000000002	15.849999999999998	13.050000000000002	7.57	0.25
xplus_sns | KMS12BM.md	50.29000000000003	46.25000000000002	59.910000000000004	33.89999999999998	38.33999999999999	60.44000000000001	76.91000000000003	73.12000000000002	55.19	42.380000000000024	69.06000000000004	62.75000000000002	42.33	50.400000000000006	48.83999999999997	46.20999999999998	48.62999999999998	60.50000000000003	47.850000000000044	65.32000000000001	49.47999999999998	34.68999999999998	29.87999999999998	0.8200000000000005
xplus_sns | MM1S.md	58.310000000000024	52.92000000000004	61.169999999999995	53.019999999999996	52.71999999999997	49.21000000000002	62.150000000000034	46.20000000000001	44.270000000000024	53.14000000000004	53.52000000000003	49.56	32.29000000000002	22.320000000000004	46.17999999999997	43.929999999999964	53.08999999999998	53.26000000000003	54.49000000000007	52.94999999999999	55.59999999999999	39.969999999999956	39.980000000000004	0.8600000000000005
xplus_sns | OPM2.md	73.82000000000008	53.81000000000004	54.16999999999998	70.35000000000004	48.80999999999999	54.11000000000002	57.77000000000003	56.78000000000002	47.330000000000005	64.79	72.37000000000003	64.49000000000002	47.070000000000036	38.18	46.18999999999997	65.78999999999996	58.48999999999998	69.57999999999998	68.81000000000012	66.07	45.709999999999965	41.09999999999996	45.13000000000002	1.0500000000000007
xplus_sns | REH.md	46.33000000000004	48.22000000000003	45.28999999999999	47.58999999999998	47.05999999999996	48.64	48.54	47.70999999999999	41.92000000000001	48.34000000000004	47.65000000000001	48.46999999999999	43.01000000000002	40.14000000000001	40.589999999999975	66.25999999999998	48.85999999999999	48.02000000000001	46.80000000000004	50.420000000000016	48.33999999999998	38.11999999999997	23.499999999999993	0.9100000000000006
