# This file was produced by samtools stats (1.19.2+htslib-1.19.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -r /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa -
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	0dcdaee7	5d4d1bd6	61034279
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	60	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	60
SN	is sorted:	1
SN	1st fragments:	0
SN	last fragments:	60
SN	reads mapped:	60
SN	reads mapped and paired:	60	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	60	# proper-pair bit set
SN	reads paired:	60	# paired-end technology bit set
SN	reads duplicated:	1	# PCR or optical duplicate bit set
SN	reads MQ0:	0	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	3
SN	total length:	9000	# ignores clipping
SN	total first fragment length:	0	# ignores clipping
SN	total last fragment length:	9000	# ignores clipping
SN	bases mapped:	9000	# ignores clipping
SN	bases mapped (cigar):	9103	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	150
SN	mismatches:	128	# from NM fields
SN	error rate:	1.406130e-02	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	0
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	0
SN	maximum last fragment length:	150
SN	average quality:	35.3
SN	insert size average:	803.1
SN	insert size standard deviation:	3.1
SN	inward oriented pairs:	28
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	3	0	0	0	0	3	3	5	9	33	0	0	0	0	0	0	0	0	0
LFQ	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	2	1	3	1	2	9	37	0	0	0	0	0	0
LFQ	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	0	2	0	2	1	0	0	0	2	2	1	3	3	9	30	0	0	0	0	0	0
LFQ	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	1	1	1	4	2	3	2	1	11	28	0	0	0	0	0	0
LFQ	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	1	1	3	0	0	2	2	1	2	11	31	0	0	0	0	0	0
LFQ	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	1	0	0	0	1	2	2	2	1	0	10	35	0	0	0	0	0	0
LFQ	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	1	0	0	1	1	2	2	2	1	7	7	31	0	0	0	0	0	0
LFQ	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	2	0	0	0	0	0	0	2	0	2	3	2	0	17	25	2	0	0	0	0	0
LFQ	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	3	3	4	3	5	4	15	13	0	0
LFQ	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	2	1	1	0	3	3	0	0	2	0	1	2	1	0	0	2	1	11	6	13	7	0	0
LFQ	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	2	1	2	1	1	1	0	1	1	0	1	5	3	10	3	15	8	0	0
LFQ	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	2	2	2	1	1	1	0	2	0	0	2	4	1	5	6	16	10	0	0
LFQ	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	2	0	0	1	4	0	3	1	1	0	1	3	3	2	2	7	3	13	10	0	0
LFQ	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	2	1	2	0	2	1	0	0	2	3	1	1	0	0	0	0	2	1	1	4	0	7	6	10	11	0	0
LFQ	15	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	2	0	2	0	0	1	0	1	1	2	2	0	1	0	2	0	2	1	8	3	12	15	0	0
